,indice,indice_original_upper_pivot,valor_rsi,resist_slope,resist_intercept,inicio_janela,fim_janela,mapeado,x_min,x_max,num_zeros
10,29.0,461.0,84.87809422182973,-0.12377388179729111,141.93785373038094,394.0,593.0,1.0,461.0,580.0,3.0
11,30.0,461.0,84.87809422182973,-0.12379145040886429,141.94595286031617,395.0,594.0,1.0,461.0,580.0,3.0
12,31.0,461.0,84.87809422182973,-0.123771168326847,141.93660282050618,409.0,608.0,1.0,461.0,595.0,3.0
13,32.0,461.0,84.87809422182973,-0.1237712906052328,141.93665919084205,417.0,616.0,1.0,461.0,609.0,3.0
14,33.0,461.0,84.87809422182973,-0.12378721482478763,141.94400025605682,424.0,623.0,1.0,461.0,609.0,3.0
15,34.0,540.0,75.0983871728427,-0.1365453298500905,148.83286529189155,436.0,635.0,1.0,461.0,624.0,3.0
17,36.0,540.0,75.0983871728427,-0.28605498036652244,229.56807657076482,461.0,660.0,1.0,540.0,639.0,3.0
19,38.0,670.0,58.20452124103473,-0.1299624403358397,145.27935626604733,476.0,675.0,1.0,499.0,670.0,3.0
20,39.0,670.0,58.20452124103473,-0.12997011549547066,145.28449862300008,477.0,676.0,1.0,499.0,670.0,3.0
21,40.0,677.0,58.36612194246579,-0.12214003821401526,141.0549278133541,487.0,686.0,1.0,499.0,677.0,4.0
22,41.0,677.0,58.36612194246579,-0.12215771847926295,141.06689735292682,494.0,693.0,1.0,499.0,677.0,4.0
23,42.0,677.0,58.36612194246579,-0.12214521858467803,141.0584349242928,499.0,698.0,1.0,499.0,694.0,4.0
24,43.0,540.0,75.0983871728427,-0.12213235601658595,141.0498594217991,526.0,725.0,1.0,540.0,694.0,3.0
39,92.0,1102.0,83.37460099914134,-0.2343180657579069,341.5931094643547,1039.0,1238.0,1.0,1102.0,1222.0,4.0
40,93.0,1102.0,83.37460099914134,-0.23432974152066882,341.6059761549184,1041.0,1240.0,1.0,1102.0,1222.0,4.0
41,94.0,1102.0,83.37460099914134,-0.23433125316523062,341.6076419872255,1048.0,1247.0,1.0,1102.0,1241.0,4.0
42,95.0,1102.0,83.37460099914134,-0.23431883310312096,341.5939550787806,1053.0,1252.0,1.0,1102.0,1248.0,4.0
43,96.0,1102.0,83.37460099914134,-0.23433801906234566,341.6150980058462,1061.0,1260.0,1.0,1102.0,1248.0,4.0
73,158.0,1687.0,65.15397575443038,-0.04159038864668863,135.3169614013941,1601.0,1800.0,1.0,1687.0,1787.0,3.0
74,159.0,1687.0,65.15397575443038,-0.044708347051704324,140.57695723065558,1607.0,1806.0,1.0,1687.0,1787.0,3.0
75,160.0,1687.0,65.15397575443038,-0.04310955306649716,137.87979177761108,1610.0,1809.0,1.0,1687.0,1807.0,4.0
76,161.0,1687.0,65.15397575443038,-0.043106550077163595,137.87472573460536,1617.0,1816.0,1.0,1687.0,1807.0,4.0
