;indice_original_upper_pivot;resist_slope;resist_intercept;valor_rsi;mapeado;x_min;x_max;num_zeros;inicio_janela;fim_janela;indice;resist_slope_rounded
0;30,0;-0,2174228662282796;76,54063930821283;70,01795332136444;1;30,0;69,0;3,0;27,0;79,0;0,0;-0,21742
1;37,0;0,05229641957330761;65,93942861105332;67,8743961352657;1;37,0;86,0;3,0;37,0;86,0;4,0;0,0523
2;42,0;0,2287660857161532;51,645385653482826;61,25356125356126;1;42,0;86,0;3,0;42,0;91,0;5,0;0,22877
3;104,0;0,5550175440521685;26,96025634342996;84,68208092485548;1;61,0;110,0;3,0;60,0;110,0;12,0;0,55502
4;104,0;0,6307235794940979;19,08682865746931;84,68208092485548;1;69,0;121,0;3,0;69,0;130,0;16,0;0,63072
5;133,0;-0,5186544736390175;146,18351794607588;77,20247295208655;1;133,0;158,0;3,0;110,0;159,0;33,0;-0,51865
6;133,0;-0,19102781912704764;102,60917289598389;77,20247295208655;1;104,0;168,0;3,0;121,0;170,0;39,0;-0,19103
7;178,0;-0,29796040305534177;124,52132674385084;71,484375;1;178,0;195,0;3,0;151,0;200,0;47,0;-0,29796
8;195,0;-0,328060403045457;130,11992674201227;66,14814814814815;1;178,0;195,0;3,0;158,0;211,0;49,0;-0,32806
9;215,0;0,012168375800868986;69,31840410744532;71,93460490463215;1;30,0;97,0;4,0;165,0;227,0;51,0;0,01217
10;215,0;0,08340560757024247;54,00239927703002;71,93460490463215;1;186,0;250,0;3,0;206,0;255,0;63,0;0,08341
11;250,0;0,08340560757024247;54,00239927703002;74,85380116959064;1;186,0;260,0;3,0;210,0;264,0;65,0;0,08341
12;267,0;-0,6517922109449787;247,08974481210527;73,06122448979592;1;267,0;302,0;3,0;250,0;305,0;82,0;-0,65179
13;279,0;0,005013491467127078;61,938904649772084;63,33766876910054;1;42,0;69,0;3,0;279,0;328,0;96,0;0,00501
14;285,0;0,18173561458920576;5,211103127584828;57,00575328550847;1;285,0;331,0;3,0;285,0;334,0;99,0;0,18174
15;297,0;-0,6517922109449787;247,08974481210524;53,50745816144656;1;267,0;302,0;3,0;260,0;309,0;89,0;-0,65179
16;321,0;-0,04333705969148514;77,45943157168661;63,548235410719876;1;168,0;195,0;3,0;271,0;324,0;92,0;-0,04334
17;321,0;0,005013491467127078;61,938904649772084;63,548235410719876;1;42,0;69,0;3,0;276,0;325,0;95,0;0,00501
18;331,0;-0,042535645069779644;78,36501280381134;64,28571428571428;1;275,0;375,0;4,0;331,0;380,0;118,0;-0,04254
19;375,0;-0,042535645069779644;78,36501280381134;62,41414590264397;1;168,0;375,0;4,0;325,0;375,0;116,0;-0,04254
20;402,0;-0,1437122835717046;116,3062522420332;58,53391424620795;1;375,0;418,0;3,0;368,0;424,0;130,0;-0,14371
21;471,0;-0,10997396323613004;132,45811729631436;80,6603806120971;1;471,0;504,0;3,0;455,0;504,0;154,0;-0,10997
22;504,0;-0,10997396323613004;132,45811729631436;77,03123982530481;1;471,0;504,0;3,0;471,0;520,0;157,0;-0,10997
23;504,0;0,3073715704936182;-77,88403170347875;77,03123982530481;1;500,0;547,0;3,0;504,0;553,0;166,0;0,30737
24;547,0;-1,2120555367618056;753,242595965238;90,24821735653039;1;547,0;569,0;3,0;519,0;577,0;169,0;-1,21206
