;ponto;evento;reta;x_rompimento;y_rompimento;inicio_janela;fim_janela
0;181,0;2,0;2,0;181,0;51,84696569920845;83,0;133,0
2;182,0;2,0;4,0;182,0;46,300211416490484;103,0;153,0
11;191,0;2,0;7,0;191,0;53,18664643399089;133,0;183,0
24;197,0;2,0;1,0;197,0;40,812720848056536;45,0;95,0
53;225,0;2,0;6,0;225,0;31,92182410423453;149,0;199,0
78;229,0;2,0;9,0;229,0;28,064516129032256;151,0;201,0
131;300,0;2,0;17,0;299,0;32,04982953746472;242,0;292,0
142;307,0;2,0;14,0;307,0;20,32862292573479;186,0;236,0
203;388,0;2,0;23,0;384,0;40,26293501476666;334,0;384,0
202;388,0;2,0;21,0;388,0;27,85770060215009;315,0;365,0
209;389,0;2,0;20,0;389,0;19,51014019652129;321,0;371,0
338;490,0;2,0;30,0;485,0;28,335843102177236;436,0;486,0
391;523,0;2,0;28,0;523,0;7,3476821961710925;403,0;453,0
443;594,0;2,0;33,0;594,0;26,32978888672875;532,0;582,0
493;609,0;2,0;36,0;604,0;33,56890995209555;546,0;596,0
602;693,0;2,0;37,0;693,0;17,712171895072572;592,0;642,0
633;746,0;2,0;40,0;746,0;51,372547736309045;685,0;735,0
642;766,0;2,0;39,0;765,0;65,10416032850097;699,0;749,0
676;841,0;2,0;44,0;841,0;77,15877056243937;784,0;834,0
678;844,0;2,0;43,0;842,0;72,89473268133803;790,0;840,0
767;985,0;2,0;46,0;984,0;33,96226618798242;855,0;905,0
799;1026,0;2,0;45,0;1026,0;34,05574355096677;861,0;911,0
900;1141,0;2,0;54,0;1138,0;50,96776337081168;1083,0;1133,0
912;1145,0;2,0;55,0;1141,0;40,594054264081926;1091,0;1141,0
1044;1262,0;2,0;58,0;1262,0;47,668387893761576;1193,0;1243,0
1076;1302,0;2,0;59,0;1302,0;50,427360180757944;1217,0;1267,0
1125;1346,0;2,0;62,0;1346,0;17,836251847047336;1292,0;1342,0
