;ponto;evento;reta;x_rompimento;y_rompimento;inicio_janela;fim_janela
0;187,0;2,0;2,0;187,0;49,503076481344046;72,0;172,0
1;190,0;2,0;2,0;187,0;49,503076481344046;72,0;172,0
2;191,0;2,0;2,0;187,0;49,503076481344046;72,0;172,0
3;260,0;2,0;8,0;260,0;50,497511563379646;124,0;224,0
4;261,0;2,0;8,0;260,0;50,497511563379646;124,0;224,0
5;262,0;2,0;8,0;260,0;50,497511563379646;124,0;224,0
6;263,0;2,0;8,0;260,0;50,497511563379646;124,0;224,0
7;264,0;2,0;8,0;260,0;50,497511563379646;124,0;224,0
8;265,0;2,0;8,0;260,0;50,497511563379646;124,0;224,0
9;271,0;2,0;7,0;271,0;48,81889756826086;127,0;227,0
10;272,0;2,0;7,0;271,0;48,81889756826086;127,0;227,0
11;273,0;2,0;7,0;271,0;48,81889756826086;127,0;227,0
12;274,0;2,0;7,0;271,0;48,81889756826086;127,0;227,0
13;281,0;2,0;6,0;281,0;49,85815382154279;169,0;269,0
14;282,0;2,0;6,0;281,0;49,85815382154279;169,0;269,0
15;282,0;2,0;7,0;281,0;49,85815382154279;127,0;227,0
16;283,0;2,0;6,0;281,0;49,85815382154279;169,0;269,0
17;283,0;2,0;7,0;281,0;49,85815382154279;127,0;227,0
18;284,0;2,0;6,0;281,0;49,85815382154279;169,0;269,0
19;284,0;2,0;7,0;281,0;49,85815382154279;127,0;227,0
20;286,0;2,0;6,0;281,0;49,85815382154279;169,0;269,0
21;319,0;2,0;5,0;316,0;51,09033908733299;186,0;286,0
22;331,0;2,0;5,0;327,0;51,55713193252733;186,0;286,0
23;361,0;2,0;6,0;358,0;62,173479344375316;169,0;269,0
24;362,0;2,0;6,0;358,0;62,173479344375316;169,0;269,0
25;362,0;2,0;22,0;362,0;60,4094583839484;246,0;346,0
26;363,0;2,0;22,0;362,0;60,4094583839484;246,0;346,0
27;365,0;2,0;22,0;362,0;60,4094583839484;246,0;346,0
28;366,0;2,0;21,0;366,0;58,74625512435077;258,0;358,0
29;366,0;2,0;22,0;362,0;60,4094583839484;246,0;346,0
30;369,0;2,0;21,0;366,0;58,74625512435077;258,0;358,0
31;371,0;2,0;20,0;366,0;58,74625512435077;266,0;366,0
32;374,0;2,0;5,0;374,0;54,919912430950596;186,0;286,0
33;375,0;2,0;5,0;374,0;54,919912430950596;186,0;286,0
34;376,0;2,0;5,0;374,0;54,919912430950596;186,0;286,0
35;376,0;2,0;19,0;372,0;58,22221713384226;272,0;372,0
36;395,0;2,0;23,0;391,0;46,91837202687726;291,0;391,0
37;399,0;2,0;24,0;399,0;45,06969807308457;294,0;394,0
38;423,0;2,0;17,0;423,0;47,10982536002212;301,0;401,0
39;423,0;2,0;24,0;423,0;47,10982536002212;294,0;394,0
40;426,0;2,0;17,0;423,0;47,10982536002212;301,0;401,0
41;426,0;2,0;24,0;423,0;47,10982536002212;294,0;394,0
42;427,0;2,0;17,0;423,0;47,10982536002212;301,0;401,0
43;427,0;2,0;24,0;423,0;47,10982536002212;294,0;394,0
44;431,0;2,0;17,0;426,0;47,03017806666674;301,0;401,0
