;ponto;evento;reta;x_rompimento;y_rompimento;inicio_janela;fim_janela
0;344,0;2,0;1,0;344,0;45,01510034338083;222,0;292,0
1;345,0;2,0;1,0;344,0;45,01510034338083;222,0;292,0
2;347,0;2,0;1,0;344,0;45,01510034338083;222,0;292,0
3;348,0;2,0;1,0;344,0;45,01510034338083;222,0;292,0
4;349,0;2,0;1,0;344,0;45,01510034338083;222,0;292,0
5;369,0;2,0;1,0;369,0;39,56834927249762;222,0;292,0
6;370,0;2,0;1,0;369,0;39,56834927249762;222,0;292,0
7;371,0;2,0;1,0;369,0;39,56834927249762;222,0;292,0
8;372,0;2,0;1,0;369,0;39,56834927249762;222,0;292,0
9;373,0;2,0;1,0;369,0;39,56834927249762;222,0;292,0
10;374,0;2,0;1,0;369,0;39,56834927249762;222,0;292,0
11;404,0;2,0;1,0;404,0;50,83055257378148;222,0;292,0
12;405,0;2,0;1,0;404,0;50,83055257378148;222,0;292,0
13;406,0;2,0;1,0;404,0;50,83055257378148;222,0;292,0
14;407,0;2,0;1,0;404,0;50,83055257378148;222,0;292,0
15;408,0;2,0;1,0;404,0;50,83055257378148;222,0;292,0
16;409,0;2,0;1,0;404,0;50,83055257378148;222,0;292,0
17;439,0;2,0;1,0;435,0;67,21764388145215;222,0;292,0
18;440,0;2,0;1,0;435,0;67,21764388145215;222,0;292,0
19;670,0;2,0;10,0;670,0;19,26038322742987;573,0;643,0
20;670,0;2,0;11,0;670,0;19,26038322742987;581,0;651,0
21;730,0;2,0;10,0;730,0;15,572527886605045;573,0;643,0
22;730,0;2,0;11,0;730,0;15,572527886605045;581,0;651,0
23;731,0;2,0;9,0;731,0;12,361316657477545;608,0;678,0
24;731,0;2,0;10,0;730,0;15,572527886605045;573,0;643,0
25;731,0;2,0;11,0;730,0;15,572527886605045;581,0;651,0
26;732,0;2,0;9,0;731,0;12,361316657477545;608,0;678,0
27;732,0;2,0;10,0;730,0;15,572527886605045;573,0;643,0
28;732,0;2,0;11,0;730,0;15,572527886605045;581,0;651,0
29;732,0;2,0;12,0;732,0;12,082649790616088;624,0;694,0
30;733,0;2,0;9,0;731,0;12,361316657477545;608,0;678,0
31;733,0;2,0;10,0;730,0;15,572527886605045;573,0;643,0
32;733,0;2,0;11,0;730,0;15,572527886605045;581,0;651,0
33;733,0;2,0;12,0;732,0;12,082649790616088;624,0;694,0
34;734,0;2,0;9,0;731,0;12,361316657477545;608,0;678,0
35;734,0;2,0;10,0;730,0;15,572527886605045;573,0;643,0
36;734,0;2,0;11,0;730,0;15,572527886605045;581,0;651,0
37;734,0;2,0;12,0;732,0;12,082649790616088;624,0;694,0
38;735,0;2,0;9,0;731,0;12,361316657477545;608,0;678,0
39;735,0;2,0;10,0;730,0;15,572527886605045;573,0;643,0
40;735,0;2,0;11,0;730,0;15,572527886605045;581,0;651,0
41;735,0;2,0;12,0;732,0;12,082649790616088;624,0;694,0
42;791,0;2,0;10,0;791,0;20,6122511737007;573,0;643,0
43;791,0;2,0;11,0;791,0;20,6122511737007;581,0;651,0
44;792,0;2,0;10,0;791,0;20,6122511737007;573,0;643,0
45;792,0;2,0;11,0;791,0;20,6122511737007;581,0;651,0
46;793,0;2,0;10,0;791,0;20,6122511737007;573,0;643,0
47;793,0;2,0;11,0;791,0;20,6122511737007;581,0;651,0
48;795,0;2,0;10,0;791,0;20,6122511737007;573,0;643,0
49;795,0;2,0;11,0;791,0;20,6122511737007;581,0;651,0
50;796,0;2,0;10,0;791,0;20,6122511737007;573,0;643,0
51;796,0;2,0;11,0;791,0;20,6122511737007;581,0;651,0
52;806,0;2,0;10,0;806,0;20,809202032596957;573,0;643,0
53;806,0;2,0;11,0;806,0;20,809202032596957;581,0;651,0
54;807,0;2,0;10,0;806,0;20,809202032596957;573,0;643,0
