;indice_original_lower_pivot;support_slope;support_intercept;valor_rsi;mapeado;x_min;x_max;num_zeros;inicio_janela;fim_janela;indice;support_slope_rounded
0;70,0;-0,2414838513014704;45,19566829308701;28,291798701984078;1;35,0;128,0;3,0;70,0;139,0;12,0;-0,24148
1;250,0;0,22102960783044984;-25,12918781621562;30,12821414139684;1;195,0;284,0;4,0;222,0;291,0;42,0;0,22103
2;292,0;-0,7318462578364962;235,52540276563525;21,826295477378395;1;264,0;329,0;3,0;272,0;341,0;59,0;-0,73185
3;292,0;-0,6667147091029315;216,5069905354344;21,826295477378395;1;264,0;329,0;3,0;259,0;333,0;55,0;-0,66671
4;350,0;-0,6800007504773239;268,39239615541567;30,392133488352314;1;308,0;378,0;4,0;300,0;387,0;65,0;-0,68
5;350,0;-0,05131760542594778;48,35329538743404;30,392133488352314;1;350,0;378,0;3,0;318,0;387,0;68,0;-0,05132
6;378,0;-0,05131760542594778;48,35329538743404;28,955240536425777;1;350,0;409,0;3,0;329,0;419,0;70,0;-0,05132
7;464,0;-0,82688729077055;414,0757220418744;30,400019124339238;1;428,0;497,0;3,0;412,0;511,0;86,0;-0,82689
8;523,0;-0,2644487393024108;166,96166859053335;28,654977935372514;1;471,0;523,0;3,0;471,0;540,0;95,0;-0,26445
9;608,0;-0,036326299941776136;43,59900418841988;21,51261382381999;1;350,0;670,0;6,0;608,0;677,0;118,0;-0,03633
10;608,0;0,013062002715319364;13,570916172905816;21,51261382381999;1;128,0;631,0;4,0;573,0;642,0;109,0;0,01306
11;631,0;0,013062002715319364;13,570916172905816;21,813039886272335;1;128,0;659,0;4,0;581,0;669,0;111,0;0,01306
12;670,0;-0,0654527348421145;63,11371557164659;19,26038322742987;1;523,0;694,0;4,0;624,0;700,0;119,0;-0,06545
13;909,0;0,028944251850497378;-8,736070544729142;17,574254387372974;1;857,0;927,0;3,0;845,0;942,0;159,0;0,02894
14;946,0;-0,3555332180265064;369,1746593534041;32,84023510032901;1;915,0;983,0;3,0;927,0;996,0;178,0;-0,35553
15;946,0;-0,2997069777648246;316,36303606585307;32,84023510032901;1;915,0;983,0;3,0;913,0;984,0;174,0;-0,29971
16;1008,0;-0,13085281453393013;171,53695427088869;39,637317220687116;1;983,0;1052,0;3,0;1008,0;1077,0;190,0;-0,13085
17;1052,0;-1,3040259751678422;1405,7151192577644;33,87979338119419;1;1027,0;1085,0;3,0;1015,0;1096,0;191,0;-1,30403
18;1149,0;0,024506534122720167;-5,516494392966695;22,641513314038775;1;857,0;1085,0;3,0;1140,0;1218,0;207,0;0,02451
19;1194,0;0,0228227018624022;-3,505998674147044;23,744307349561183;1;857,0;1085,0;3,0;1153,0;1222,0;211,0;0,02282
20;1194,0;0,024506534122720167;-5,516494392966695;23,744307349561183;1;857,0;1085,0;3,0;1134,0;1203,0;206,0;0,02451
21;1223,0;-0,06510421196933999;101,47873644095313;21,856285202450323;1;1194,0;1258,0;3,0;1188,0;1263,0;212,0;-0,0651
22;1258,0;-0,013193649763476917;63,13223027709857;46,534618874644615;1;1258,0;1289,0;4,0;1230,0;1299,0;223,0;-0,01319
23;1323,0;-0,6125032896334526;836,2542477332747;25,912395548216963;1;1289,0;1369,0;3,0;1299,0;1369,0;234,0;-0,6125
24;1323,0;-0,5964143655102118;814,9686011182272;25,912395548216963;1;1289,0;1341,0;3,0;1289,0;1358,0;232,0;-0,59641
25;1323,0;0,33019796390664485;-410,9395107002742;25,912395548216963;1;1323,0;1387,0;4,0;1323,0;1392,0;241,0;0,3302
26;1341,0;0,33019796390664485;-410,9395107002742;31,85595889853657;1;1323,0;1379,0;3,0;1317,0;1386,0;240,0;0,3302
27;1341,0;0,34285613373928436;-427,9141164458438;31,85595889853657;1;1323,0;1387,0;4,0;1317,0;1403,0;239,0;0,34286
