;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;media_pontos_ponderados
0;42;1;50;2;2;3;6;0,01;0,05;CSCO;7,5908962731761465
1;42;1;50;2;2;3;6;0,01;0,06;CSCO;6,06512354422415
2;42;1;50;2;2;3;6;0,01;0,07;CSCO;5,420940182942518
3;42;1;50;2;2;3;6;0,02;0,05;CSCO;6,2731922888272695
4;42;1;50;2;2;3;6;0,02;0,06;CSCO;4,923916597843759
5;42;1;50;2;2;3;6;0,02;0,07;CSCO;4,342076812008959
6;42;1;50;2;2;3;6;0,03;0,05;CSCO;7,523920107510728
7;42;1;50;2;2;3;6;0,03;0,06;CSCO;6,025185837476581
8;42;1;50;2;2;3;6;0,03;0,07;CSCO;5,242790982960344
9;42;1;60;2;2;3;6;0,01;0,05;CSCO;7,3208949052102765
10;42;1;60;2;2;3;6;0,01;0,06;CSCO;5,309892330049699
11;42;1;60;2;2;3;6;0,01;0,07;CSCO;5,357455530172457
12;42;1;60;2;2;3;6;0,02;0,05;CSCO;6,312158162495504
13;42;1;60;2;2;3;6;0,02;0,06;CSCO;4,638842005542184
14;42;1;60;2;2;3;6;0,02;0,07;CSCO;4,7631424333465135
15;42;1;60;2;2;3;6;0,03;0,05;CSCO;7,548543838770056
16;42;1;60;2;2;3;6;0,03;0,06;CSCO;6,3002951063932695
17;42;1;60;2;2;3;6;0,03;0,07;CSCO;6,449677723074484
18;42;1;70;2;2;3;6;0,01;0,05;CSCO;5,077025458479676
19;42;1;70;2;2;3;6;0,01;0,06;CSCO;4,380221700434555
20;42;1;70;2;2;3;6;0,01;0,07;CSCO;3,1626104513814544
21;42;1;70;2;2;3;6;0,02;0,05;CSCO;3,5703565514164524
22;42;1;70;2;2;3;6;0,02;0,06;CSCO;2,3014001307450735
23;42;1;70;2;2;3;6;0,02;0,07;CSCO;1,8537653891255679
24;42;1;70;2;2;3;6;0,03;0,05;CSCO;4,324697437060001
25;42;1;70;2;2;3;6;0,03;0,06;CSCO;3,5571554080932186
26;42;1;70;2;2;3;6;0,03;0,07;CSCO;2,6501840730317467
