indice;indice_original_upper_pivot;valor_rsi;resist_slope;resist_intercept;inicio_janela;fim_janela;mapeado;x_min;x_max;num_zeros
0,0;61,0;57,544292279675986;-0,19922343892072725;69,69692205384035;28,0;77,0;1,0;61,0;72,0;2,0
1,0;61,0;57,544292279675986;-0,10566767502710335;63,99002045632929;28,0;77,0;1,0;30,0;72,0;5,0
2,0;61,0;57,544292279675986;-0,19922343892072725;69,69692205384035;30,0;79,0;1,0;61,0;72,0;2,0
3,0;61,0;57,544292279675986;-0,10566767502710335;63,99002045632929;30,0;79,0;1,0;30,0;72,0;5,0
4,0;37,0;60,080316480326466;-0,10566767502710335;63,99002045632929;31,0;80,0;1,0;30,0;72,0;5,0
5,0;37,0;60,080316480326466;-0,04748996071842981;61,83744502690837;31,0;80,0;1,0;30,0;72,0;4,0
6,0;33,0;60,270276323200186;-0,04748996071842981;61,83744502690837;33,0;82,0;1,0;30,0;81,0;4,0
7,0;37,0;60,080316480326466;-0,10566767502710335;63,99002045632929;37,0;86,0;1,0;30,0;81,0;5,0
8,0;92,0;66,35293555045713;0,2841497829284241;40,211155521042116;42,0;91,0;1,0;61,0;81,0;2,0
9,0;92,0;66,35293555045713;0,2841497829284241;40,211155521042116;43,0;92,0;1,0;61,0;92,0;3,0
11,0;92,0;66,35293555045713;0,2841497829284241;40,211155521042116;46,0;95,0;1,0;61,0;92,0;3,0
12,0;92,0;66,35293555045713;-0,9946309757022398;157,8589853150632;47,0;96,0;1,0;92,0;96,0;2,0
13,0;92,0;66,35293555045713;0,2841497829284241;40,211155521042116;47,0;96,0;1,0;61,0;96,0;3,0
14,0;92,0;66,35293555045713;-0,9946309757022398;157,8589853150632;56,0;105,0;1,0;92,0;96,0;2,0
15,0;92,0;66,35293555045713;0,2841497829284241;40,211155521042116;56,0;105,0;1,0;61,0;96,0;3,0
16,0;92,0;66,35293555045713;-0,9946309757022398;157,8589853150632;61,0;110,0;1,0;92,0;96,0;2,0
17,0;92,0;66,35293555045713;0,2841497829284241;40,211155521042116;61,0;110,0;1,0;61,0;96,0;3,0
18,0;92,0;66,35293555045713;-0,9946309757022398;157,8589853150632;64,0;113,0;1,0;92,0;96,0;2,0
19,0;92,0;66,35293555045713;0,35576063060977986;33,62295753435738;64,0;113,0;1,0;43,0;56,0;2,0
20,0;92,0;66,35293555045713;-0,9946309757022398;157,8589853150632;65,0;114,0;1,0;92,0;114,0;2,0
21,0;92,0;66,35293555045713;0,35576063060977986;33,62295753435738;65,0;114,0;1,0;43,0;56,0;2,0
22,0;92,0;66,35293555045713;-0,9946309757022398;157,8589853150632;67,0;116,0;1,0;92,0;114,0;2,0
23,0;92,0;66,35293555045713;0,6909516776131686;2,785381210045628;67,0;116,0;1,0;72,0;114,0;2,0
24,0;92,0;66,35293555045713;-0,9946309757022398;157,8589853150632;71,0;120,0;1,0;92,0;117,0;2,0
25,0;92,0;66,35293555045713;0,6909516776131686;2,785381210045628;71,0;120,0;1,0;72,0;117,0;2,0
26,0;92,0;66,35293555045713;-0,9946309757022398;157,8589853150632;72,0;121,0;1,0;92,0;121,0;2,0
27,0;92,0;66,35293555045713;0,6909516776131686;2,785381210045628;72,0;121,0;1,0;72,0;121,0;2,0
28,0;129,0;38,13291838458116;-0,7627031666452966;136,52162688182443;79,0;128,0;1,0;92,0;121,0;2,0
29,0;129,0;38,13291838458116;-0,7627031666452966;136,52162688182443;81,0;130,0;1,0;92,0;129,0;3,0
31,0;140,0;54,26979889326598;-0,2517320136914824;89,51228081007352;92,0;141,0;1,0;92,0;140,0;2,0
32,0;96,0;62,374411647648174;-0,18419574441777717;80,05720311175477;96,0;145,0;1,0;96,0;140,0;2,0
33,0;140,0;54,26979889326598;-0,029539873298422288;58,4053811550451;97,0;146,0;1,0;61,0;81,0;2,0
34,0;140,0;54,26979889326598;1,2716687730908958;-123,76382933945945;97,0;146,0;1,0;114,0;140,0;4,0
