;ponto;evento;reta;x_rompimento;y_rompimento;inicio_janela;fim_janela
0;116,0;1,0;0,0;115,0;57,86290322580645;23,0;113,0
1;139,0;2,0;3,0;139,0;36,6;24,0;114,0
2;149,0;2,0;12,0;149,0;28,473804100227795;56,0;146,0
3;162,0;1,0;5,0;162,0;54,861111111111114;58,0;148,0
4;171,0;2,0;19,0;171,0;48,034934497816586;77,0;167,0
5;172,0;2,0;13,0;172,0;31,213872832369944;58,0;148,0
6;177,0;2,0;18,0;177,0;26,86567164179104;63,0;153,0
7;178,0;2,0;16,0;178,0;24,884792626728114;83,0;173,0
8;186,0;2,0;4,0;184,0;21,785714285714278;88,0;178,0
9;193,0;2,0;7,0;193,0;18,983957219251337;89,0;179,0
10;202,0;1,0;6,0;202,0;46,41509433962264;74,0;164,0
11;221,0;1,0;20,0;221,0;72,81976744186046;125,0;215,0
12;231,0;2,0;27,0;231,0;34,13793103448276;129,0;219,0
13;243,0;2,0;26,0;242,0;27,060439560439562;146,0;236,0
14;252,0;1,0;21,0;252,0;33,38278931750742;148,0;238,0
15;253,0;1,0;17,0;253,0;40,54421768707482;121,0;211,0
16;265,0;1,0;22,0;263,0;59,30018416206262;170,0;260,0
17;266,0;1,0;12,0;266,0;78,82797731568999;131,0;221,0
18;285,0;2,0;36,0;285,0;40,765765765765764;170,0;260,0
19;298,0;2,0;35,0;298,0;35,437997724687136;204,0;294,0
20;337,0;1,0;26,0;337,0;77,63496887273439;198,0;288,0
21;348,0;2,0;48,0;348,0;49,49592177365212;241,0;331,0
22;355,0;2,0;47,0;355,0;47,29656810966648;260,0;350,0
23;366,0;2,0;46,0;366,0;47,01569057754475;268,0;358,0
24;374,0;1,0;38,0;374,0;52,08117491173792;279,0;369,0
25;379,0;2,0;33,0;379,0;40,25726955510323;213,0;303,0
26;380,0;2,0;24,0;380,0;36,422405430024966;157,0;247,0
27;387,0;1,0;39,0;387,0;57,31332930817374;289,0;379,0
28;395,0;2,0;43,0;395,0;40,922191891391414;291,0;381,0
29;408,0;2,0;31,0;408,0;29,746245580069655;198,0;288,0
30;410,0;2,0;57,0;410,0;25,912583116625697;294,0;384,0
31;431,0;1,0;43,0;431,0;35,12210016422627;322,0;412,0
32;435,0;1,0;44,0;435,0;37,58976237051858;341,0;431,0
33;439,0;1,0;40,0;439,0;44,056161377489865;303,0;393,0
34;443,0;1,0;45,0;438,0;43,02505286652056;350,0;440,0
35;447,0;1,0;47,0;447,0;60,72811963789037;338,0;428,0
36;450,0;1,0;48,0;450,0;64,20048188997741;350,0;440,0
37;457,0;2,0;58,0;456,0;66,21983636108092;320,0;410,0
38;473,0;2,0;69,0;473,0;57,541669991280244;370,0;460,0
39;485,0;2,0;68,0;485,0;56,17398934668798;390,0;480,0
40;499,0;2,0;75,0;499,0;53,82114560762194;406,0;496,0
41;506,0;2,0;73,0;503,0;51,30830044843243;413,0;503,0
42;512,0;2,0;72,0;512,0;42,54118613483303;403,0;493,0
43;522,0;2,0;66,0;518,0;37,55065937048067;426,0;516,0
44;522,0;2,0;61,0;522,0;31,200727922899603;359,0;449,0
45;532,0;2,0;63,0;532,0;24,640374112883862;421,0;511,0
46;542,0;1,0;52,0;542,0;51,06599442822069;392,0;482,0
47;543,0;1,0;53,0;543,0;56,70764627350493;408,0;498,0
48;558,0;1,0;67,0;555,0;56,22407320423242;463,0;553,0
49;558,0;2,0;79,0;556,0;53,03326364603781;465,0;555,0
50;562,0;2,0;70,0;562,0;31,801563927088452;435,0;525,0
51;587,0;1,0;68,0;587,0;50,18142644439742;469,0;559,0
52;597,0;1,0;70,0;597,0;49,533287202488694;498,0;588,0
53;598,0;1,0;71,0;598,0;52,78637593561926;504,0;594,0
54;606,0;1,0;72,0;606,0;54,634146227998336;508,0;598,0
55;611,0;1,0;73,0;611,0;56,12376729338388;456,0;546,0
56;627,0;1,0;75,0;627,0;56,89580302507293;521,0;611,0
57;632,0;2,0;82,0;632,0;42,223159504998605;518,0;608,0
