indice;indice_original_lower_pivot;valor_rsi;support_slope;support_intercept;inicio_janela;fim_janela;mapeado;x_min;x_max;num_zeros
0,0;41,0;20,442553485697587;0,8839117852734413;-15,797829710513504;25,0;74,0;1,0;41,0;73,0;3,0
1,0;41,0;20,442553485697587;0,09295624238564244;16,631347547886246;25,0;74,0;1,0;36,0;73,0;2,0
2,0;41,0;20,442553485697587;0,8839117852734413;-15,797829710513504;26,0;75,0;1,0;41,0;73,0;3,0
3,0;41,0;20,442553485697587;0,09295624238564244;16,631347547886246;26,0;75,0;1,0;36,0;73,0;2,0
4,0;41,0;20,442553485697587;0,8839117852734413;-15,797829710513504;27,0;76,0;1,0;41,0;76,0;3,0
5,0;41,0;20,442553485697587;0,09295624238564244;16,631347547886246;27,0;76,0;1,0;36,0;76,0;2,0
6,0;41,0;20,442553485697587;0,8839117852734413;-15,797829710513504;32,0;81,0;1,0;41,0;76,0;3,0
7,0;41,0;20,442553485697587;0,09295624238564244;16,631347547886246;32,0;81,0;1,0;36,0;76,0;2,0
8,0;41,0;20,442553485697587;0,5994579053855768;-4,135220635111061;35,0;84,0;1,0;41,0;82,0;2,0
9,0;41,0;20,442553485697587;0,09295624238564244;16,631347547886246;35,0;84,0;1,0;36,0;82,0;2,0
10,0;41,0;20,442553485697587;0,5994579053855768;-4,135220635111061;36,0;85,0;1,0;41,0;85,0;2,0
11,0;41,0;20,442553485697587;0,09295624238564244;16,631347547886246;36,0;85,0;1,0;36,0;85,0;2,0
12,0;41,0;20,442553485697587;0,5994579053855768;-4,135220635111061;39,0;88,0;1,0;41,0;85,0;2,0
13,0;41,0;20,442553485697587;0,5994579053855768;-4,135220635111061;41,0;90,0;1,0;41,0;89,0;2,0
14,0;50,0;43,88753079038846;0,03539990050368047;42,11753576520444;49,0;98,0;1,0;50,0;89,0;2,0
15,0;50,0;43,88753079038846;0,03539990050368047;42,11753576520444;50,0;99,0;1,0;50,0;89,0;2,0
16,0;99,0;31,4172450778497;-0,42112297022393186;73,10841913001894;55,0;104,0;1,0;59,0;99,0;2,0
17,0;99,0;31,4172450778497;0,9725117622228284;-64,86141938221031;58,0;107,0;1,0;99,0;105,0;2,0
18,0;99,0;31,4172450778497;-0,42112297022393186;73,10841913001894;58,0;107,0;1,0;59,0;105,0;2,0
19,0;99,0;31,4172450778497;0,9725117622228284;-64,86141938221031;59,0;108,0;1,0;99,0;108,0;3,0
20,0;99,0;31,4172450778497;-0,42112297022393186;73,10841913001894;59,0;108,0;1,0;59,0;108,0;2,0
21,0;99,0;31,4172450778497;0,8850528566785099;-56,20298773332277;61,0;110,0;1,0;99,0;108,0;3,0
22,0;99,0;31,4172450778497;-0,5313153526083971;84,01746498608102;61,0;110,0;1,0;70,0;108,0;2,0
23,0;99,0;31,4172450778497;0,14004325272621188;17,552963057954724;69,0;118,0;1,0;99,0;111,0;2,0
24,0;99,0;31,4172450778497;-0,5313153526083971;84,01746498608102;69,0;118,0;1,0;70,0;111,0;2,0
25,0;99,0;31,4172450778497;0,14004325272621188;17,552963057954724;70,0;119,0;1,0;99,0;119,0;2,0
26,0;99,0;31,4172450778497;-0,5313153526083971;84,01746498608102;70,0;119,0;1,0;70,0;119,0;2,0
27,0;99,0;31,4172450778497;0,14004325272621188;17,552963057954724;73,0;122,0;1,0;99,0;119,0;2,0
28,0;99,0;31,4172450778497;-0,6657879052537695;97,33024769797288;73,0;122,0;1,0;73,0;119,0;2,0
29,0;99,0;31,4172450778497;0,14004325272621188;17,552963057954724;76,0;125,0;1,0;99,0;119,0;2,0
30,0;99,0;31,4172450778497;-0,8001813252150903;110,63519627414364;76,0;125,0;1,0;82,0;119,0;2,0
31,0;99,0;31,4172450778497;0,14004325272621188;17,552963057954724;80,0;129,0;1,0;99,0;119,0;2,0
32,0;99,0;31,4172450778497;-0,8001813252150903;110,63519627414364;80,0;129,0;1,0;82,0;119,0;2,0
33,0;99,0;31,4172450778497;0,14004325272621188;17,552963057954724;82,0;131,0;1,0;99,0;130,0;3,0
34,0;99,0;31,4172450778497;-0,8001813252150903;110,63519627414364;82,0;131,0;1,0;82,0;130,0;2,0
35,0;99,0;31,4172450778497;0,14004325272621188;17,552963057954724;83,0;132,0;1,0;99,0;130,0;3,0
36,0;99,0;31,4172450778497;-1,2998142002698434;160,0988509045642;83,0;132,0;1,0;85,0;130,0;2,0
37,0;99,0;31,4172450778497;-0,04590108036402415;35,961452033888094;85,0;134,0;1,0;99,0;133,0;2,0
38,0;99,0;31,4172450778497;-1,2998142002698434;160,0988509045642;85,0;134,0;1,0;85,0;133,0;2,0
39,0;99,0;31,4172450778497;-0,04590108036402415;35,961452033888094;88,0;137,0;1,0;99,0;133,0;2,0
40,0;99,0;31,4172450778497;-1,9867152812518014;228,10205792177806;88,0;137,0;1,0;89,0;133,0;2,0
41,0;99,0;31,4172450778497;-0,04590108036402415;35,961452033888094;89,0;138,0;1,0;99,0;138,0;2,0
42,0;99,0;31,4172450778497;-1,9867152812518014;228,10205792177806;89,0;138,0;1,0;89,0;138,0;2,0
43,0;133,0;29,85660834547288;0,7419673360516412;-68,8250473493954;99,0;148,0;1,0;133,0;138,0;2,0
44,0;133,0;29,85660834547288;-0,04590108036402415;35,961452033888094;99,0;148,0;1,0;99,0;138,0;2,0
45,0;133,0;29,85660834547288;0,7419673360516412;-68,8250473493954;105,0;154,0;1,0;133,0;138,0;2,0
46,0;133,0;29,85660834547288;-0,14732526204960744;49,450868198070665;105,0;154,0;1,0;111,0;138,0;2,0
47,0;133,0;29,85660834547288;0,7419673360516412;-68,8250473493954;107,0;156,0;1,0;133,0;138,0;2,0
48,0;133,0;29,85660834547288;-0,14732526204960744;49,450868198070665;107,0;156,0;1,0;111,0;138,0;2,0
49,0;133,0;29,85660834547288;0,7419673360516412;-68,8250473493954;108,0;157,0;1,0;133,0;157,0;2,0
50,0;133,0;29,85660834547288;-0,14732526204960744;49,450868198070665;108,0;157,0;1,0;111,0;157,0;2,0
51,0;133,0;29,85660834547288;0,7419673360516412;-68,8250473493954;111,0;160,0;1,0;133,0;157,0;2,0
52,0;133,0;29,85660834547288;-0,14732526204960744;49,450868198070665;111,0;160,0;1,0;111,0;157,0;2,0
53,0;133,0;29,85660834547288;0,7419673360516412;-68,8250473493954;119,0;168,0;1,0;133,0;161,0;2,0
54,0;133,0;29,85660834547288;-1,2442914427299077;195,34737022855057;119,0;168,0;1,0;119,0;161,0;2,0
55,0;133,0;29,85660834547288;0,7419673360516412;-68,8250473493954;123,0;172,0;1,0;133,0;161,0;2,0
56,0;133,0;29,85660834547288;-2,2314592069448387;326,6406828691364;123,0;172,0;1,0;130,0;161,0;2,0
57,0;173,0;33,278438174602414;0,08554574572823839;18,479024163617172;129,0;178,0;1,0;36,0;173,0;4,0
58,0;173,0;33,278438174602414;0,08554574572823839;18,479024163617172;130,0;179,0;1,0;36,0;179,0;5,0
59,0;179,0;34,016395765296934;0,1229929317824201;12,000660976243736;133,0;182,0;1,0;133,0;179,0;3,0
60,0;138,0;33,566445025731085;-0,008228767175104882;34,70201489589556;137,0;186,0;1,0;138,0;183,0;3,0
61,0;138,0;33,566445025731085;-0,008228767175104882;34,70201489589556;138,0;187,0;1,0;138,0;187,0;3,0
62,0;173,0;33,278438174602414;0,1229929317824201;12,000660976243736;146,0;195,0;1,0;133,0;187,0;3,0
63,0;173,0;33,278438174602414;-1,1328272275676698;229,25754854380932;146,0;195,0;1,0;157,0;187,0;2,0
64,0;173,0;33,278438174602414;-0,07853717082660631;46,86536872760531;149,0;198,0;1,0;173,0;196,0;3,0
65,0;173,0;33,278438174602414;-1,1328272275676698;229,25754854380932;149,0;198,0;1,0;157,0;196,0;2,0
66,0;173,0;33,278438174602414;-0,07853717082660631;46,86536872760531;157,0;206,0;1,0;173,0;199,0;3,0
