;ponto;evento;reta;x_rompimento;y_rompimento;inicio_janela;fim_janela
0;91,0;1,0;3,0;88,0;51,72727698333845;38,0;88,0
1;113,0;1,0;4,0;113,0;45,73412311710783;47,0;97,0
11;117,0;1,0;6,0;117,0;50,949721218052176;63,0;113,0
17;144,0;1,0;7,0;144,0;43,23844506389868;71,0;121,0
20;147,0;1,0;11,0;147,0;47,88462307325792;82,0;132,0
26;162,0;1,0;14,0;158,0;60,409557054576;103,0;153,0
27;185,0;1,0;20,0;185,0;46,783628340135465;132,0;182,0
31;200,0;1,0;21,0;197,0;44,55851981140749;140,0;190,0
32;200,0;1,0;22,0;200,0;49,08654052918468;147,0;197,0
39;213,0;1,0;23,0;213,0;46,84066100814039;154,0;204,0
54;229,0;1,0;30,0;226,0;42,19858603740116;176,0;226,0
61;236,0;1,0;31,0;236,0;50,3768146068596;178,0;228,0
66;245,0;1,0;32,0;245,0;52,77221096117762;167,0;217,0
78;255,0;1,0;29,0;255,0;60,024297253395275;170,0;220,0
84;276,0;1,0;35,0;276,0;43,07568718684046;217,0;267,0
89;287,0;1,0;36,0;287,0;50,621880692091956;228,0;278,0
112;308,0;1,0;44,0;304,0;42,354529241267876;255,0;305,0
104;307,0;1,0;38,0;307,0;51,92083727922001;243,0;293,0
136;314,0;1,0;47,0;314,0;65,77736055149904;260,0;310,0
146;347,0;1,0;49,0;347,0;62,177646358315506;293,0;343,0
153;357,0;1,0;50,0;357,0;62,79068441154991;297,0;347,0
209;414,0;1,0;60,0;414,0;61,876237778307384;345,0;395,0
246;426,0;1,0;65,0;426,0;70,02142193450892;365,0;415,0
256;430,0;1,0;66,0;430,0;73,49399805312451;376,0;426,0
264;475,0;1,0;67,0;474,0;76,68624358156862;413,0;463,0
270;502,0;1,0;75,0;502,0;73,23340514820752;446,0;496,0
273;516,0;1,0;77,0;513,0;57,024786093053464;463,0;513,0
278;536,0;1,0;78,0;536,0;36,222508776760854;468,0;518,0
304;551,0;1,0;86,0;548,0;59,080447573567746;498,0;548,0
309;554,0;1,0;80,0;554,0;68,09046972082245;458,0;508,0
315;606,0;1,0;79,0;605,0;26,18817955042094;502,0;552,0
325;614,0;1,0;94,0;612,0;34,18369233631749;561,0;611,0
330;633,0;1,0;101,0;633,0;45,418842808496194;578,0;628,0
358;647,0;1,0;100,0;644,0;53,37837942331038;594,0;644,0
361;648,0;1,0;91,0;648,0;72,51657720439398;537,0;587,0
380;662,0;1,0;102,0;662,0;43,796993559471275;609,0;659,0
384;672,0;1,0;103,0;670,0;28,169027057085714;619,0;669,0
390;678,0;1,0;104,0;677,0;37,198089889452234;625,0;675,0
420;692,0;1,0;105,0;692,0;60,15935846269351;637,0;687,0
428;707,0;1,0;107,0;707,0;58,86213547011954;649,0;699,0
436;710,0;1,0;112,0;710,0;61,86613039072804;654,0;704,0
463;715,0;1,0;114,0;715,0;81,07143295054652;660,0;710,0
467;737,0;1,0;117,0;735,0;41,06089880028059;680,0;730,0
499;745,0;1,0;118,0;743,0;55,191256071207704;692,0;742,0
531;805,0;1,0;128,0;805,0;26,854259747342525;746,0;796,0
542;810,0;1,0;130,0;810,0;29,47600844729871;755,0;805,0
543;811,0;1,0;124,0;811,0;30,269076993936267;717,0;767,0
560;817,0;1,0;134,0;817,0;43,52942654829447;763,0;813,0
585;836,0;1,0;135,0;836,0;61,74332463096525;774,0;824,0
591;837,0;1,0;136,0;837,0;63,92692333987841;777,0;827,0
593;859,0;1,0;141,0;859,0;38,59648703480268;805,0;855,0
596;868,0;1,0;142,0;868,0;35,45455175983348;809,0;859,0
630;879,0;1,0;150,0;879,0;58,873713637903776;825,0;875,0
680;924,0;1,0;143,0;924,0;49,11817099091453;832,0;882,0
716;949,0;1,0;158,0;948,0;52,39898573316999;886,0;936,0
746;961,0;1,0;161,0;959,0;57,99087434059316;908,0;958,0
740;960,0;1,0;162,0;960,0;68,22916925367372;891,0;941,0
771;990,0;1,0;167,0;990,0;44,57516633194582;930,0;980,0
775;991,0;1,0;168,0;991,0;46,01889432521591;938,0;988,0
779;994,0;1,0;169,0;994,0;45,90164344498086;941,0;991,0
786;999,0;1,0;170,0;999,0;49,37833404364739;944,0;994,0
822;1010,0;1,0;163,0;1010,0;69,46425396574544;913,0;963,0
841;1021,0;1,0;180,0;1021,0;81,95714186138956;962,0;1012,0
865;1083,0;1,0;187,0;1083,0;41,58077054166011;1018,0;1068,0
882;1093,0;1,0;188,0;1093,0;48,672564628992696;1035,0;1085,0
884;1094,0;1,0;189,0;1094,0;48,316255632681056;1040,0;1090,0
886;1097,0;1,0;190,0;1097,0;52,33495135492415;1043,0;1093,0
928;1122,0;1,0;198,0;1122,0;43,57460211921351;1049,0;1099,0
932;1123,0;1,0;199,0;1123,0;50,840341858788385;1060,0;1110,0
941;1125,0;1,0;182,0;1125,0;59,470196868614806;985,0;1035,0
967;1128,0;1,0;183,0;1128,0;59,949931536018546;999,0;1049,0
989;1135,0;1,0;184,0;1134,0;62,51481135475731;1009,0;1059,0
992;1135,0;1,0;194,0;1135,0;62,95427219962699;1040,0;1090,0
1050;1163,0;1,0;207,0;1158,0;48,441560468256405;1110,0;1160,0
1063;1169,0;1,0;208,0;1169,0;66,45019777385207;1112,0;1162,0
1092;1217,0;1,0;216,0;1217,0;37,89683898769799;1150,0;1200,0
1147;1233,0;1,0;220,0;1233,0;47,80702439285558;1169,0;1219,0
1209;1247,0;1,0;221,0;1247,0;50,185877823354026;1180,0;1230,0
1304;1276,0;1,0;225,0;1276,0;60,43736277903965;1218,0;1268,0
1357;1314,0;1,0;233,0;1314,0;61,72842703991137;1256,0;1306,0
1374;1325,0;1,0;226,0;1325,0;73,8872840221683;1232,0;1282,0
1380;1326,0;1,0;228,0;1326,0;80,8184436409615;1200,0;1250,0
1388;1335,0;1,0;238,0;1331,0;56,64845014834939;1282,0;1332,0
1458;1394,0;1,0;248,0;1389,0;44,17549211581667;1340,0;1390,0
1426;1390,0;1,0;245,0;1390,0;56,09754896165819;1326,0;1376,0
1473;1413,0;1,0;251,0;1409,0;38,7192278001565;1359,0;1409,0
1483;1417,0;1,0;252,0;1417,0;49,9199979980426;1363,0;1413,0
1531;1421,0;1,0;253,0;1420,0;53,39653205525715;1368,0;1418,0
1532;1421,0;1,0;254,0;1421,0;70,68968109190658;1344,0;1394,0
1564;1433,0;1,0;257,0;1432,0;48,62221471715093;1378,0;1428,0
1594;1448,0;1,0;258,0;1448,0;65,6923046676356;1395,0;1445,0
