;ponto;evento;reta;x_rompimento;y_rompimento;inicio_janela;fim_janela
0;75,0;2,0;4,0;71,0;57,36964481732238;21,0;71,0
1;76,0;2,0;2,0;76,0;41,26095242734408;21,0;71,0
6;79,0;2,0;1,0;79,0;34,225930443504296;26,0;76,0
29;124,0;2,0;14,0;120,0;39,26898635181394;71,0;121,0
31;149,0;2,0;18,0;149,0;83,03213424370335;93,0;143,0
39;169,0;2,0;21,0;167,0;59,01637037604494;113,0;163,0
44;171,0;2,0;16,0;171,0;44,623626142616594;76,0;126,0
60;200,0;2,0;20,0;195,0;50,862066535563656;123,0;173,0
62;202,0;2,0;27,0;202,0;46,23338673169886;130,0;180,0
65;213,0;2,0;26,0;213,0;55,32380761356894;152,0;202,0
70;219,0;2,0;25,0;219,0;52,931326815120386;157,0;207,0
81;226,0;2,0;35,0;225,0;50,55969624775593;173,0;223,0
95;245,0;2,0;28,0;245,0;62,546826512592794;176,0;226,0
110;259,0;2,0;39,0;256,0;58,61601520910186;206,0;256,0
128;263,0;2,0;38,0;259,0;53,133922021464485;210,0;260,0
114;260,0;2,0;36,0;260,0;47,77778585121701;180,0;230,0
131;264,0;2,0;34,0;264,0;41,43971441718247;186,0;236,0
143;281,0;2,0;46,0;276,0;53,386911344450404;226,0;276,0
144;286,0;2,0;45,0;286,0;58,3932828488888;231,0;281,0
154;290,0;2,0;33,0;290,0;35,98135200351284;186,0;236,0
184;309,0;2,0;54,0;305,0;46,831498699935736;255,0;305,0
194;322,0;2,0;53,0;322,0;52,12762158301409;258,0;308,0
201;343,0;2,0;62,0;338,0;72,4474933496378;290,0;340,0
197;341,0;2,0;52,0;341,0;68,34970393852896;272,0;322,0
204;345,0;2,0;51,0;345,0;60,43957802826304;275,0;325,0
219;349,0;2,0;50,0;349,0;56,83711098914557;280,0;330,0
241;354,0;2,0;58,0;354,0;52,485504165733204;291,0;341,0
263;365,0;2,0;63,0;361,0;54,10236275617494;304,0;354,0
273;373,0;2,0;66,0;373,0;47,18256897982767;308,0;358,0
311;395,0;2,0;75,0;390,0;62,88434600579521;341,0;391,0
312;398,0;2,0;74,0;395,0;63,455122554905905;345,0;395,0
316;402,0;2,0;73,0;399,0;66,14089908102318;349,0;399,0
352;409,0;2,0;65,0;409,0;42,99423987511797;329,0;379,0
383;441,0;2,0;81,0;440,0;49,1489560294625;388,0;438,0
384;466,0;2,0;82,0;466,0;88,43921118975693;386,0;436,0
386;468,0;2,0;71,0;468,0;84,83188345138888;360,0;410,0
390;469,0;2,0;87,0;469,0;82,05123932212231;404,0;454,0
432;480,0;2,0;80,0;480,0;55,7963221807367;392,0;442,0
442;481,0;2,0;70,0;481,0;47,42748498028059;365,0;415,0
487;487,0;2,0;90,0;484,0;38,7585043835838;434,0;484,0
493;500,0;2,0;97,0;497,0;55,08571079799107;447,0;497,0
503;525,0;2,0;96,0;525,0;64,76345359616498;458,0;508,0
556;532,0;2,0;100,0;529,0;44,619513800810715;479,0;529,0
557;537,0;2,0;109,0;535,0;52,88929562477129;484,0;534,0
560;545,0;2,0;108,0;542,0;49,791374905269286;492,0;542,0
589;558,0;2,0;106,0;558,0;45,75425104608889;481,0;531,0
628;613,0;2,0;119,0;613,0;61,66418210777507;559,0;609,0
648;622,0;2,0;114,0;622,0;56,17501844084661;526,0;576,0
654;623,0;2,0;117,0;623,0;50,252531090753216;554,0;604,0
705;650,0;2,0;129,0;647,0;63,66588165700977;597,0;647,0
718;656,0;2,0;128,0;654,0;65,79512254464329;602,0;652,0
726;657,0;2,0;127,0;656,0;61,01695803792544;604,0;654,0
750;663,0;2,0;120,0;663,0;44,93122850465673;578,0;628,0
754;665,0;2,0;12,0;665,0;40,778319586351245;52,0;102,0
766;674,0;2,0;126,0;673,0;50,98576319455296;615,0;665,0
810;698,0;2,0;137,0;698,0;39,24641487944944;633,0;683,0
841;708,0;2,0;136,0;708,0;32,52664519474308;617,0;667,0
853;726,0;2,0;147,0;723,0;42,19518457293747;673,0;723,0
861;738,0;2,0;146,0;738,0;46,56397960746227;677,0;727,0
865;739,0;2,0;145,0;739,0;44,6354009496563;683,0;733,0
884;749,0;2,0;144,0;746,0;44,25861472990975;696,0;746,0
889;753,0;2,0;143,0;749,0;39,21709673004279;699,0;749,0
903;779,0;2,0;155,0;779,0;53,91441385779429;717,0;767,0
905;780,0;2,0;154,0;780,0;52,29659132636625;727,0;777,0
913;798,0;2,0;153,0;798,0;60,39342622007654;734,0;784,0
924;809,0;2,0;165,0;809,0;69,81326199907403;755,0;805,0
942;811,0;2,0;152,0;811,0;67,59465365309916;737,0;787,0
984;825,0;2,0;164,0;825,0;65,53806527320481;767,0;817,0
987;826,0;2,0;151,0;826,0;60,55405584945768;739,0;789,0
1040;840,0;2,0;162,0;840,0;61,66596422312221;762,0;812,0
1065;844,0;2,0;170,0;844,0;55,427743846503816;791,0;841,0
1077;851,0;2,0;142,0;851,0;53,4963905679634;705,0;755,0
1081;852,0;2,0;166,0;852,0;51,775416329190065;798,0;848,0
1108;871,0;2,0;180,0;867,0;60,22908584857088;818,0;868,0
1109;877,0;2,0;179,0;874,0;61,064930606352284;824,0;874,0
1111;884,0;2,0;178,0;883,0;63,77999087464606;826,0;876,0
1140;891,0;2,0;177,0;888,0;61,96385200138788;837,0;887,0
1156;899,0;2,0;176,0;899,0;51,54858910064328;844,0;894,0
1171;902,0;2,0;141,0;902,0;40,10607097254967;708,0;758,0
1198;917,0;2,0;187,0;913,0;48,54005801154519;864,0;914,0
