;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;start_date;end_date;final_balance;return_acum;return_ann;sharpe_ratio;sortino_ratio;volatility;max_drawdown;trades;win_rate;profit_factor;avg_trade_return
0;49;3;50;2;3;4;6;0,01;0,05;MAR;2008-01-15;2013-10-29;87939451,41243705;779,3945141243705;37,56087802695336;1,7710323858686592;5,051101840985021;21,20846480654866;-8,596582313568602;71;71,83098591549296;5,559043054611805;3,1094262202242318
1;49;3;50;2;3;4;6;0,01;0,06;MAR;2008-01-15;2013-10-29;88316697,01560342;783,1669701560342;37,64727912134709;1,7032342245771683;4,731598767505805;22,103406905584645;-10,237696542384288;68;72,05882352941177;5,700543349747095;3,255311670383132
2;49;3;50;2;3;4;6;0,01;0,07;MAR;2008-01-15;2013-10-29;78812152,61404487;688,1215261404487;35,367451064907684;1,5545864255122874;4,016725823903505;22,750392313024953;-10,237690252379162;64;70,3125;5,098096053019019;3,2783465761873076
3;49;3;50;2;3;4;6;0,02;0,05;MAR;2008-01-15;2013-10-29;87419365,33962752;774,1936533962752;37,44124191602089;1,6945418443118108;4,621730201930597;22,095200565098214;-10,92053259306539;69;73,91304347826086;4,937897958045342;3,1921106529600562
4;49;3;50;2;3;4;6;0,02;0,06;MAR;2008-01-15;2013-10-29;87947344,21947646;779,4734421947646;37,56268896428927;1,6297928950694955;4,3591183477705995;23,047522834297038;-10,23769650681433;66;74,24242424242425;4,918154597139138;3,3490317268218828
5;49;3;50;2;3;4;6;0,02;0,07;MAR;2008-01-15;2013-10-29;92228313,52676621;822,2831352676621;38,52507769502023;1,6076083943955222;4,234482218552432;23,964217796651944;-10,237691045055685;63;73,01587301587301;4,8902425749891245;3,5893992999229907
6;49;3;50;2;3;4;6;0,03;0,05;MAR;2008-01-15;2013-10-29;82942436,48924537;729,4243648924537;36,38549686766888;1,5878464581315215;4,1553079061679625;22,91499702715907;-12,234082430658233;69;75,36231884057972;4,210815437022736;3,1135201846628435
7;49;3;50;2;3;4;6;0,03;0,06;MAR;2008-01-15;2013-10-29;88909339,93399608;789,0933993399608;37,78237908795219;1,571308521260342;4,13790345391493;24,04516909107516;-11,415414515316936;66;75,75757575757575;4,395375330052116;3,3660683844001893
8;49;3;50;2;3;4;6;0,03;0,07;MAR;2008-01-15;2013-10-29;93237121,8311906;832,371218311906;38,74630171537638;1,5534412325486766;4,041981657411201;24,942238498334877;-12,779573762979247;63;74,60317460317461;4,386475371186927;3,6072888075518117
9;49;3;60;2;3;4;6;0,01;0,05;MAR;2008-01-15;2013-10-29;61009815,8588034;510,098158588034;30,377950263154617;1,5934501760000959;4,261883394428651;19,064261136429025;-12,063843219838954;64;70,3125;5,241521536023571;2,866006330159676
10;49;3;60;2;3;4;6;0,01;0,06;MAR;2008-01-15;2013-10-29;47780209,428518504;377,80209428518504;25,78637179188632;1,331903076253269;3,099904606795432;19,360546763226257;-11,877613551142673;63;63,49206349206349;3,9160371419165063;2,513656204296688
11;49;3;60;2;3;4;6;0,01;0,07;MAR;2008-01-15;2013-10-29;38408572,94585445;284,08572945854445;21,821853590992557;1,095721196484041;2,3574142228559323;19,91551652100434;-11,877607584226391;59;59,32203389830508;3,2736864158556522;2,3070515303665884
12;49;3;60;2;3;4;6;0,02;0,05;MAR;2008-01-15;2013-10-29;71244245,6725745;612,442456725745;33,37769442103973;1,621000815176784;4,249161710033567;20,590794346639242;-8,84581349881196;60;76,66666666666667;5,681749832276636;3,326687319451871
13;49;3;60;2;3;4;6;0,02;0,06;MAR;2008-01-15;2013-10-29;63118390,560079955;531,1839056007996;31,02936038348698;1,470226717858695;3,543056039712052;21,105153379799514;-12,02168930591353;59;71,1864406779661;4,747375078086291;3,1720292163511576
14;49;3;60;2;3;4;6;0,02;0,07;MAR;2008-01-15;2013-10-29;54625992,67761652;446,2599267761652;28,281299103293712;1,303619458589931;2,9908564817234824;21,694443817127716;-12,021688286029974;55;67,27272727272727;4,125247857333429;3,1352838463299726
15;49;3;60;2;3;4;6;0,03;0,05;MAR;2008-01-15;2013-10-29;73310760,62114939;633,1076062114939;33,93827319316281;1,5761521192398673;4,07445862652391;21,532358951197082;-14,340976247122528;60;78,33333333333333;4,884649275405918;3,375939754293511
16;49;3;60;2;3;4;6;0,03;0,06;MAR;2008-01-15;2013-10-29;66226344,11107698;562,2634411107698;31,956440467571177;1,4464155893856672;3,478121359336227;22,093539852639424;-13,487803813721811;59;72,88135593220339;4,2091489957847745;3,2561158473560337
17;49;3;60;2;3;4;6;0,03;0,07;MAR;2008-01-15;2013-10-29;59589092,13772038;495,8909213772039;29,92812111352081;1,3208084973510619;3,0754724512729466;22,658940469828096;-13,487802937748828;55;69,0909090909091;3,9474390575603073;3,298484410724667
18;49;3;70;2;3;4;6;0,01;0,05;MAR;2008-01-15;2013-10-29;90138057,72635655;801,3805772635654;38,06004927553563;2,0156105911112925;6,049168965566006;18,882640051296566;-9,829453381211628;67;76,11940298507463;7,797974506575284;3,336171903828289
19;49;3;70;2;3;4;6;0,01;0,06;MAR;2008-01-15;2013-10-29;68048129,03768364;580,4812903768363;32,482739907849314;1,6792238359799856;4,204379340968478;19,34390115948573;-9,829449102703903;62;70,96774193548387;6,076578044757702;3,141282635303022
20;49;3;70;2;3;4;6;0,01;0,07;MAR;2008-01-15;2013-10-29;59890237,761594;498,90237761593994;30,024228287348254;1,4743088643641082;3,4615188355198105;20,364951343013296;-9,969579065682964;60;66,66666666666666;4,833347251325326;3,028159466018532
21;49;3;70;2;3;4;6;0,02;0,05;MAR;2008-01-15;2013-10-29;92413522,10941419;824,1352210941418;38,56584676688723;1,936055468717206;5,4611495704652455;19,919804669873553;-9,829453075486539;63;79,36507936507937;6,751763036822972;3,5926977582794395
22;49;3;70;2;3;4;6;0,02;0,06;MAR;2008-01-15;2013-10-29;89632951,1540293;796,329511540293;37,94629678055222;1,712842405418105;4,571927722456762;22,153991902885846;-9,82945046546787;58;77,58620689655173;6,698868243816709;3,853674064218926
23;49;3;70;2;3;4;6;0,02;0,07;MAR;2008-01-15;2013-10-29;90288290,94932343;802,8829094932343;38,093777584649516;1,6168750650085038;4,181403090593036;23,560124346681768;-9,75494781533277;57;73,68421052631578;5,638917300155801;3,9358739238052554
24;49;3;70;2;3;4;6;0,03;0,05;MAR;2008-01-15;2013-10-29;81273430,29923978;712,7343029923978;35,97944076394883;1,786849742197432;4,728181909162486;20,13568344012073;-19,293021595062953;63;79,36507936507937;5,065697188353459;3,3816920647875115
25;49;3;70;2;3;4;6;0,03;0,06;MAR;2008-01-15;2013-10-29;82191492,88090765;721,9149288090765;36,20366922358564;1,6083363249312779;4,11906496850748;22,510011533273413;-19,293020657609873;58;77,58620689655173;5,1099943533254475;3,6985980469549817
26;49;3;70;2;3;4;6;0,03;0,07;MAR;2008-01-15;2013-10-29;80016898,86898306;700,1689886898306;35,669014651202936;1,4837224398264879;3,578054701486477;24,040220524921228;-18,943220538074012;56;75,0;4,303998211648664;3,783485505600326
