;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;media_pontos_ponderados
0;49;3;80;2;3;4;6;0,01;0,05;NEM;5,950908022142803
1;49;3;80;2;3;4;6;0,01;0,06;NEM;5,469735455144566
2;49;3;80;2;3;4;6;0,01;0,07;NEM;5,152906393668682
3;49;3;80;2;3;4;6;0,02;0,05;NEM;5,561665181124113
4;49;3;80;2;3;4;6;0,02;0,06;NEM;5,411358509906253
5;49;3;80;2;3;4;6;0,02;0,07;NEM;4,822512873387797
6;49;3;80;2;3;4;6;0,03;0,05;NEM;4,854620259582051
7;49;3;80;2;3;4;6;0,03;0,06;NEM;4,4213581025791715
8;49;3;80;2;3;4;6;0,03;0,07;NEM;3,76345124229679
9;49;3;90;2;3;4;6;0,01;0,05;NEM;4,772419203756462
10;49;3;90;2;3;4;6;0,01;0,06;NEM;4,425361864702266
11;49;3;90;2;3;4;6;0,01;0,07;NEM;4,597901461087837
12;49;3;90;2;3;4;6;0,02;0,05;NEM;5,266849990771672
13;49;3;90;2;3;4;6;0,02;0,06;NEM;5,023030039524807
14;49;3;90;2;3;4;6;0,02;0,07;NEM;4,575288482354529
15;49;3;90;2;3;4;6;0,03;0,05;NEM;4,590226864183876
16;49;3;90;2;3;4;6;0,03;0,06;NEM;3,7275357566070086
17;49;3;90;2;3;4;6;0,03;0,07;NEM;3,6469451452770527
18;49;3;100;2;3;4;6;0,01;0,05;NEM;7,4090195016573945
19;49;3;100;2;3;4;6;0,01;0,06;NEM;6,450686797117669
20;49;3;100;2;3;4;6;0,01;0,07;NEM;6,6392476777840175
21;49;3;100;2;3;4;6;0,02;0,05;NEM;7,297602830332598
22;49;3;100;2;3;4;6;0,02;0,06;NEM;6,88935749774914
23;49;3;100;2;3;4;6;0,02;0,07;NEM;6,735859955608833
24;49;3;100;2;3;4;6;0,03;0,05;NEM;6,395428724567779
25;49;3;100;2;3;4;6;0,03;0,06;NEM;5,098363485315166
26;49;3;100;2;3;4;6;0,03;0,07;NEM;5,276546069315346
