;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;media_pontos_ponderados
0;42;3;50;2;3;3;6;0,01;0,05;COF;6,364165466387573
1;42;3;50;2;3;3;6;0,01;0,06;COF;5,615012083505808
2;42;3;50;2;3;3;6;0,01;0,07;COF;3,559815835230128
3;42;3;50;2;3;3;6;0,02;0,05;COF;5,363529357125559
4;42;3;50;2;3;3;6;0,02;0,06;COF;5,21194980450654
5;42;3;50;2;3;3;6;0,02;0,07;COF;3,2812679171826082
6;42;3;50;2;3;3;6;0,03;0,05;COF;4,74110180904039
7;42;3;50;2;3;3;6;0,03;0,06;COF;4,692051596575031
8;42;3;50;2;3;3;6;0,03;0,07;COF;3,485125450900248
9;42;3;60;2;3;3;6;0,01;0,05;COF;5,57587879139955
10;42;3;60;2;3;3;6;0,01;0,06;COF;5,74568824112432
11;42;3;60;2;3;3;6;0,01;0,07;COF;3,8883476983660374
12;42;3;60;2;3;3;6;0,02;0,05;COF;4,727908634669647
13;42;3;60;2;3;3;6;0,02;0,06;COF;5,579598686643521
14;42;3;60;2;3;3;6;0,02;0,07;COF;3,391151049008325
15;42;3;60;2;3;3;6;0,03;0,05;COF;4,121802794605971
16;42;3;60;2;3;3;6;0,03;0,06;COF;5,0375083516086985
17;42;3;60;2;3;3;6;0,03;0,07;COF;3,00063878329972
18;42;3;70;2;3;3;6;0,01;0,05;COF;6,916539208238502
19;42;3;70;2;3;3;6;0,01;0,06;COF;7,7817500667253565
20;42;3;70;2;3;3;6;0,01;0,07;COF;4,284071905622822
21;42;3;70;2;3;3;6;0,02;0,05;COF;5,97654427078116
22;42;3;70;2;3;3;6;0,02;0,06;COF;7,15194806004787
23;42;3;70;2;3;3;6;0,02;0,07;COF;2,6847839704079517
24;42;3;70;2;3;3;6;0,03;0,05;COF;5,714697213784106
25;42;3;70;2;3;3;6;0,03;0,06;COF;6,815409525419511
26;42;3;70;2;3;3;6;0,03;0,07;COF;2,5191347798430193
