;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;media_pontos_ponderados
0;35;3;50;2;3;3;6;0,01;0,05;MCO;6,3723014640293085
1;35;3;50;2;3;3;6;0,01;0,06;MCO;5,705810783381194
2;35;3;50;2;3;3;6;0,01;0,07;MCO;4,838511641656152
3;35;3;50;2;3;3;6;0,02;0,05;MCO;6,8526740224396665
4;35;3;50;2;3;3;6;0,02;0,06;MCO;5,608551449607342
5;35;3;50;2;3;3;6;0,02;0,07;MCO;4,524313578188619
6;35;3;50;2;3;3;6;0,03;0,05;MCO;5,952688217023235
7;35;3;50;2;3;3;6;0,03;0,06;MCO;4,761756420122124
8;35;3;50;2;3;3;6;0,03;0,07;MCO;4,1637338652728415
9;35;3;60;2;3;3;6;0,01;0,05;MCO;5,9306293697143655
10;35;3;60;2;3;3;6;0,01;0,06;MCO;5,1096711424437675
11;35;3;60;2;3;3;6;0,01;0,07;MCO;3,3713172895733976
12;35;3;60;2;3;3;6;0,02;0,05;MCO;5,854355269106567
13;35;3;60;2;3;3;6;0,02;0,06;MCO;5,252387992535083
14;35;3;60;2;3;3;6;0,02;0,07;MCO;3,573469671670319
15;35;3;60;2;3;3;6;0,03;0,05;MCO;4,897636912346625
16;35;3;60;2;3;3;6;0,03;0,06;MCO;4,572208551654017
17;35;3;60;2;3;3;6;0,03;0,07;MCO;3,512301390067922
18;35;3;70;2;3;3;6;0,01;0,05;MCO;5,379604676650046
19;35;3;70;2;3;3;6;0,01;0,06;MCO;4,596650665252173
20;35;3;70;2;3;3;6;0,01;0,07;MCO;3,499241078835726
21;35;3;70;2;3;3;6;0,02;0,05;MCO;5,433185251944421
22;35;3;70;2;3;3;6;0,02;0,06;MCO;4,127051123155634
23;35;3;70;2;3;3;6;0,02;0,07;MCO;3,326084178912974
24;35;3;70;2;3;3;6;0,03;0,05;MCO;3,743818074639789
25;35;3;70;2;3;3;6;0,03;0,06;MCO;2,8141751087161873
26;35;3;70;2;3;3;6;0,03;0,07;MCO;2,5325248486816188
