;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;cenario;return_ann;sharpe_ratio;max_drawdown;trades;min_return_ann;min_sharpe_ratio;min_max_drawdown;min_trades;max_return_ann;max_sharpe_ratio;max_max_drawdown;max_trades;Pontos_return_ann;Pontos_sharpe_ratio;Pontos_max_drawdown;Pontos_trades;Pontos_ponderados
0;49;3;50;2;3;3;6;0,01;0,05;MMM;in_sample_1_2x;13,990186878555866;0,865147611684468;-14,884863385702229;60,0;6,211166559353631;0,4793234398528289;-21,832594120529958;44,0;23,924775042358306;1,1409092673929442;-12,882971232351581;60,0;4,391550330733469;5,8318082971365435;7,763154740302006;10,0;6,085917475253643
27;49;3;50;2;3;3;6;0,01;0,05;MMM;in_sample_2_2x;19,037413949274296;1,1958954944867788;-14,061819087404093;58,0;9,607566316510896;0,5960692654076977;-25,912762130751833;40,0;19,037413949274296;1,1958954944867788;-10,838508979750817;62,0;10,0;10,0;7,86171157180067;8,181818181818182;9,434789964802693
54;49;3;50;2;3;3;6;0,01;0,05;MMM;in_sample_3_2x;9,72342587699937;0,7180899876088898;-10,95120954102915;25,0;0,5897890330028188;0,04601725623193198;-21,364719982343427;18,0;12,132763837491446;0,8632180640288837;-8,4768652153702;25,0;7,912723538515242;8,224083052349924;8,080096051361647;10,0;8,323776110229604
81;49;3;50;2;3;3;6;0,01;0,05;MMM;out_of_sample_val_1;-3,1089164697607696;-0,8012323646713233;-6,6224356451085375;6,0;-3,266108916842825;-0,8758212479257126;-7,761481387393021;4,0;9,342547654323408;1,03278449288743;-3,796464574135383;6,0;0,12467025824267947;0,39080299120661466;2,872738744703201;10,0;2,0040507859777814
108;49;3;50;2;3;3;6;0,01;0,05;MMM;out_of_sample_val_2;25,62195266377747;1,5002228422655373;-7,956134398598513;22,0;12,639838134480819;0,5396010040179984;-20,767519230380714;16,0;30,79955757503754;1,5867312750821623;-7,956134398598513;24,0;7,14885192570941;9,173852239715032;10,0;7,5;8,184894322365471
1;49;3;50;2;3;3;6;0,01;0,06;MMM;in_sample_1_2x;13,809602975902013;0,8395698829185739;-14,222796948134208;57,0;6,211166559353631;0,4793234398528289;-21,832594120529958;44,0;23,924775042358306;1,1409092673929442;-12,882971232351581;60,0;4,289603907548654;5,4451958924997;8,50292494720374;8,125;5,769589779264157
28;49;3;50;2;3;3;6;0,01;0,06;MMM;in_sample_2_2x;15,597203962229367;0,8927910331874199;-17,999174849207378;50,0;9,607566316510896;0,5960692654076977;-25,912762130751833;40,0;19,037413949274296;1,1958954944867788;-10,838508979750817;62,0;6,351786241919604;4,946795478338485;5,249737550691821;4,545454545454546;5,534877396940307
55;49;3;50;2;3;3;6;0,01;0,06;MMM;in_sample_3_2x;6,268030585421047;0,44900270836859896;-13,033452050956607;23,0;0,5897890330028188;0,04601725623193198;-21,364719982343427;18,0;12,132763837491446;0,8632180640288837;-8,4768652153702;25,0;4,919218527801148;4,931290428151364;6,464433439098614;7,142857142857143;5,461075288808847
82;49;3;50;2;3;3;6;0,01;0,06;MMM;out_of_sample_val_1;-2,7820905225071524;-0,7135559371013677;-6,200980436553416;6,0;-3,266108916842825;-0,8758212479257126;-7,761481387393021;4,0;9,342547654323408;1,03278449288743;-3,796464574135383;6,0;0,3838778474167794;0,8501772123729094;3,9356729727395656;10,0;2,3982372771051033
109;49;3;50;2;3;3;6;0,01;0,06;MMM;out_of_sample_val_2;21,671179292518406;1,3466903898046247;-14,404723527107077;20,0;12,639838134480819;0,5396010040179984;-20,767519230380714;16,0;30,79955757503754;1,5867312750821623;-7,956134398598513;24,0;4,973282317273903;7,707631114191819;4,9665167246314805;5,0;5,757375129262405
