;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;cenario;return_ann;sharpe_ratio;max_drawdown;trades;janela_rsi;ordem
0;50;2;3;4;6;0,01;0,05;BEN;out_of_sample_final_1;18,115267768885342;1,5907072301294198;-9,18900146789927;23,0;21;3
1;50;2;3;4;6;0,01;0,05;BEN;out_of_sample_final_2;15,043689739813535;1,1717112426044325;-10,09975191396707;18,0;21;3
0;80;2;3;3;6;0,01;0,05;BAC;out_of_sample_final_1;4,701815071308468;0,609306699704391;-8,51972081350768;19,0;28;3
1;80;2;3;3;6;0,01;0,05;BAC;out_of_sample_final_2;18,190168050921727;1,4625644270408609;-5,902296029833021;19,0;28;3
0;50;2;3;3;6;0,02;0,06;CL;out_of_sample_final_1;12,56206831283877;0,8890595371610625;-10,00574763390537;28,0;49;3
1;50;2;3;3;6;0,02;0,06;CL;out_of_sample_final_2;8,583749744494185;0,7792176948359534;-18,217116369645414;21,0;49;3
0;70;2;3;3;6;0,01;0,06;COF;out_of_sample_final_1;23,273333622414995;1,1642618271606242;-14,859940734332833;38,0;42;3
1;70;2;3;3;6;0,01;0,06;COF;out_of_sample_final_2;-1,8159833475618223;-0,1541912114775801;-16,345506002238995;23,0;42;3
0;50;2;3;3;6;0,02;0,06;MMC;out_of_sample_final_1;25,75805832468374;1,409884088270747;-9,129383457381357;25,0;21;3
1;50;2;3;3;6;0,02;0,06;MMC;out_of_sample_final_2;4,099871172484049;0,4315272328029008;-13,066924746113695;17,0;21;3
0;50;2;3;3;6;0,01;0,05;DHR;out_of_sample_final_1;3,674177585789829;0,3578962506283532;-15,615487310650044;25,0;28;3
1;50;2;3;3;6;0,01;0,05;DHR;out_of_sample_final_2;-1,4700850612802574;-0,1167339298742867;-22,903543399949232;20,0;28;3
0;50;2;3;4;6;0,01;0,06;HAS;out_of_sample_final_1;7,820877872674314;0,601651768056834;-12,727526301961955;19,0;21;3
1;50;2;3;4;6;0,01;0,06;HAS;out_of_sample_final_2;17,301087929569235;1,0848437238597992;-10,66740612228303;26,0;21;3
0;50;2;3;3;6;0,01;0,05;PFE;out_of_sample_final_1;11,781691052725195;0,771633843320191;-20,88143911603033;33,0;49;3
1;50;2;3;3;6;0,01;0,05;PFE;out_of_sample_final_2;19,084239832459858;1,2228903115796297;-11,160098064352786;32,0;49;3
0;50;2;3;3;6;0,03;0,05;MMM;out_of_sample_final_1;1,484913412658817;0,1117250503338434;-19,868654317308053;33,0;49;3
1;50;2;3;3;6;0,03;0,05;MMM;out_of_sample_final_2;2,7613535668210787;0,1853532779949989;-20,449503042235484;17,0;49;3
0;80;2;3;3;6;0,01;0,05;ED;out_of_sample_final_1;7,50333905922369;0,6621955331810314;-9,027161472885323;29,0;42;3
1;80;2;3;3;6;0,01;0,05;ED;out_of_sample_final_2;3,260199459676194;0,3613093310907456;-8,932702915682311;16,0;42;3
0;50;2;3;3;6;0,01;0,05;ORCL;out_of_sample_final_1;28,225651066251032;1,4434231833537154;-12,517268433980666;36,0;49;3
1;50;2;3;3;6;0,01;0,05;ORCL;out_of_sample_final_2;2,3755065139167364;0,1628322749118418;-23,83275703757297;33,0;49;3
0;80;2;3;3;6;0,01;0,06;PNC;out_of_sample_final_1;4,037502307482499;0,3187344180015639;-17,46405997985483;29,0;42;3
1;80;2;3;3;6;0,01;0,06;PNC;out_of_sample_final_2;10,963879857234923;0,7560561362206241;-9,639289008731232;27,0;42;3
0;50;2;3;3;6;0,02;0,05;MU;out_of_sample_final_1;12,887655219683536;0,6571689389984733;-24,736704842333733;34,0;42;3
1;50;2;3;3;6;0,02;0,05;MU;out_of_sample_final_2;0,8291566920586524;0,0513476566675753;-36,12877053582767;35,0;42;3
0;50;2;3;3;6;0,02;0,05;MCO;out_of_sample_final_1;10,128411387276293;0,8586899460272002;-9,279129394627784;30,0;35;3
1;50;2;3;3;6;0,02;0,05;MCO;out_of_sample_final_2;10,300211260281046;0,854974446073106;-10,438193179726118;20,0;35;3
0;50;2;3;3;6;0,01;0,05;FDX;out_of_sample_final_1;13,993840878882224;1,0730469811979937;-10,34847134362884;25,0;28;3
1;50;2;3;3;6;0,01;0,05;FDX;out_of_sample_final_2;14,774548504877115;0,8484347410205847;-6,640799196354264;20,0;28;3
0;100;2;3;3;6;0,01;0,06;WY;out_of_sample_final_1;3,901011118456643;0,3428936618038732;-21,76748360248505;28,0;42;3
1;100;2;3;3;6;0,01;0,06;WY;out_of_sample_final_2;7,588158533480049;0,6933236894302052;-10,542353937879168;19,0;42;3
0;60;2;3;3;6;0,01;0,07;CINF;out_of_sample_final_1;5,642405026723751;0,4992829822333452;-8,07016517927538;24,0;42;3
1;60;2;3;3;6;0,01;0,07;CINF;out_of_sample_final_2;5,586548502730615;0,4354061936165755;-11,908590284185973;31,0;42;3
0;70;2;3;4;6;0,01;0,05;AEE;out_of_sample_final_1;11,34093510328511;1,0260400964980132;-10,953183718404649;30,0;42;3
1;70;2;3;4;6;0,01;0,05;AEE;out_of_sample_final_2;16,193617912651682;1,3340215047788009;-5,749872950719914;18,0;42;3
0;50;2;3;4;6;0,03;0,05;TJX;out_of_sample_final_1;19,56233651108508;1,4772119315066614;-9,703361049403735;27,0;35;3
1;50;2;3;4;6;0,03;0,05;TJX;out_of_sample_final_2;8,44946126248285;0,6483288589148062;-9,161295860813212;24,0;35;3
0;50;2;3;3;6;0,01;0,05;SO;out_of_sample_final_1;15,085881966766902;1,2826019625787264;-8,450415415771095;24,0;49;3
1;50;2;3;3;6;0,01;0,05;SO;out_of_sample_final_2;10,7126765384016;1,0113654477306102;-8,071893884804737;24,0;49;3
0;70;2;3;3;6;0,01;0,05;ITW;out_of_sample_final_1;8,539293202122478;0,7206867616920016;-14,018406957660245;34,0;42;3
1;70;2;3;3;6;0,01;0,05;ITW;out_of_sample_final_2;8,655297894556323;0,8527275740187586;-7,146020030978118;21,0;42;3
