;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;media_pontos_ponderados
0;42;2;50;2;2;4;6;0,01;0,05;AEE;7,677718393504267
1;42;2;50;2;2;4;6;0,01;0,06;AEE;6,407543264212142
2;42;2;50;2;2;4;6;0,01;0,07;AEE;5,030165659142287
3;42;2;50;2;2;4;6;0,02;0,05;AEE;6,377923046936092
4;42;2;50;2;2;4;6;0,02;0,06;AEE;5,285041485749821
5;42;2;50;2;2;4;6;0,02;0,07;AEE;4,200416035226709
6;42;2;50;2;2;4;6;0,03;0,05;AEE;6,710317544032401
7;42;2;50;2;2;4;6;0,03;0,06;AEE;5,467897983125181
8;42;2;50;2;2;4;6;0,03;0,07;AEE;4,166840632882602
9;42;2;60;2;2;4;6;0,01;0,05;AEE;6,700142052231996
10;42;2;60;2;2;4;6;0,01;0,06;AEE;5,964217375688721
11;42;2;60;2;2;4;6;0,01;0,07;AEE;5,083938155474906
12;42;2;60;2;2;4;6;0,02;0,05;AEE;5,205197835494382
13;42;2;60;2;2;4;6;0,02;0,06;AEE;4,76526270832772
14;42;2;60;2;2;4;6;0,02;0,07;AEE;4,373588505966278
15;42;2;60;2;2;4;6;0,03;0,05;AEE;5,890859612372051
16;42;2;60;2;2;4;6;0,03;0,06;AEE;5,247614913135486
17;42;2;60;2;2;4;6;0,03;0,07;AEE;5,1277117948763244
18;42;2;70;2;2;4;6;0,01;0,05;AEE;6,269095041264421
19;42;2;70;2;2;4;6;0,01;0,06;AEE;4,624923196837615
20;42;2;70;2;2;4;6;0,01;0,07;AEE;3,4789409794353707
21;42;2;70;2;2;4;6;0,02;0,05;AEE;5,484502661106613
22;42;2;70;2;2;4;6;0,02;0,06;AEE;4,468571557485118
23;42;2;70;2;2;4;6;0,02;0,07;AEE;3,2343636918534697
24;42;2;70;2;2;4;6;0,03;0,05;AEE;5,498169433189853
25;42;2;70;2;2;4;6;0,03;0,06;AEE;5,077043287053071
26;42;2;70;2;2;4;6;0,03;0,07;AEE;3,622295632189091
