;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;media_pontos_ponderados
0;49;2;50;2;2;3;6;0,01;0,05;AEP;7,944392876244518
1;49;2;50;2;2;3;6;0,01;0,06;AEP;5,738316900706358
2;49;2;50;2;2;3;6;0,01;0,07;AEP;5,96687326071271
3;49;2;50;2;2;3;6;0,02;0,05;AEP;8,025487755522558
4;49;2;50;2;2;3;6;0,02;0,06;AEP;5,713407674499898
5;49;2;50;2;2;3;6;0,02;0,07;AEP;5,9351763733353415
6;49;2;50;2;2;3;6;0,03;0,05;AEP;6,261212994915124
7;49;2;50;2;2;3;6;0,03;0,06;AEP;4,061780651164247
8;49;2;50;2;2;3;6;0,03;0,07;AEP;3,928478702430538
9;49;2;60;2;2;3;6;0,01;0,05;AEP;6,284885298602163
10;49;2;60;2;2;3;6;0,01;0,06;AEP;5,067925319075309
11;49;2;60;2;2;3;6;0,01;0,07;AEP;5,579060694924831
12;49;2;60;2;2;3;6;0,02;0,05;AEP;4,868278056124032
13;49;2;60;2;2;3;6;0,02;0,06;AEP;3,980923588368597
14;49;2;60;2;2;3;6;0,02;0,07;AEP;4,84162438011911
15;49;2;60;2;2;3;6;0,03;0,05;AEP;4,82988659617569
16;49;2;60;2;2;3;6;0,03;0,06;AEP;2,603489445411141
17;49;2;60;2;2;3;6;0,03;0,07;AEP;3,737842474672243
18;49;2;70;2;2;3;6;0,01;0,05;AEP;5,314406738443037
19;49;2;70;2;2;3;6;0,01;0,06;AEP;3,810828078719953
20;49;2;70;2;2;3;6;0,01;0,07;AEP;4,592217774567958
21;49;2;70;2;2;3;6;0,02;0,05;AEP;3,246997212729301
22;49;2;70;2;2;3;6;0,02;0,06;AEP;2,0982312965025907
23;49;2;70;2;2;3;6;0,02;0,07;AEP;2,617368954371363
24;49;2;70;2;2;3;6;0,03;0,05;AEP;3,738024501271841
25;49;2;70;2;2;3;6;0,03;0,06;AEP;1,691592613927512
26;49;2;70;2;2;3;6;0,03;0,07;AEP;1,8285533369057034
