;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;media_pontos_ponderados
0;28;2;50;2;2;4;6;0,01;0,05;COST;7,565396269252233
1;28;2;50;2;2;4;6;0,01;0,06;COST;6,073089245902339
2;28;2;50;2;2;4;6;0,01;0,07;COST;5,22226729475113
3;28;2;50;2;2;4;6;0,02;0,05;COST;7,639191727417421
4;28;2;50;2;2;4;6;0,02;0,06;COST;6,760158552523189
5;28;2;50;2;2;4;6;0,02;0,07;COST;5,695294193337594
6;28;2;50;2;2;4;6;0,03;0,05;COST;7,292137206595467
7;28;2;50;2;2;4;6;0,03;0,06;COST;6,934797589777912
8;28;2;50;2;2;4;6;0,03;0,07;COST;5,191628458109336
9;28;2;60;2;2;4;6;0,01;0,05;COST;3,640294601018931
10;28;2;60;2;2;4;6;0,01;0,06;COST;3,8171502232191137
11;28;2;60;2;2;4;6;0,01;0,07;COST;3,3999900249885293
12;28;2;60;2;2;4;6;0,02;0,05;COST;4,168663065713972
13;28;2;60;2;2;4;6;0,02;0,06;COST;4,300948157029014
14;28;2;60;2;2;4;6;0,02;0,07;COST;4,071608192058461
15;28;2;60;2;2;4;6;0,03;0,05;COST;3,1971906700391832
16;28;2;60;2;2;4;6;0,03;0,06;COST;3,273158681547205
17;28;2;60;2;2;4;6;0,03;0,07;COST;3,017294463723136
18;28;2;70;2;2;4;6;0,01;0,05;COST;4,2545466327125245
19;28;2;70;2;2;4;6;0,01;0,06;COST;3,6694283012259463
20;28;2;70;2;2;4;6;0,01;0,07;COST;3,966810888437144
21;28;2;70;2;2;4;6;0,02;0,05;COST;3,6637840499501806
22;28;2;70;2;2;4;6;0,02;0,06;COST;3,1919597281717023
23;28;2;70;2;2;4;6;0,02;0,07;COST;3,4318792708818022
24;28;2;70;2;2;4;6;0,03;0,05;COST;2,8235386744239306
25;28;2;70;2;2;4;6;0,03;0,06;COST;2,247066054411696
26;28;2;70;2;2;4;6;0,03;0,07;COST;2,603035764973764
