;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;cenario;return_ann;sharpe_ratio;max_drawdown;trades;min_return_ann;min_sharpe_ratio;min_max_drawdown;min_trades;max_return_ann;max_sharpe_ratio;max_max_drawdown;max_trades;Pontos_return_ann;Pontos_sharpe_ratio;Pontos_max_drawdown;Pontos_trades;Pontos_ponderados
0;35;2;50;2;2;3;6;0,01;0,05;JNJ;in_sample_1_2x;13,590962619383973;0,843180823050188;-13,392003843094846;98,0;1,9086251547825617;0,10946753823035756;-29,173801249881294;62,0;15,513173745058628;0,9574832851592833;-13,392003843094846;98,0;8,587082024133775;8,652118636675798;10,0;10,0;9,009354763678989
27;35;2;50;2;2;3;6;0,01;0,05;JNJ;in_sample_2_2x;8,341174848859279;0,6765074823192898;-15,133655778608912;84,0;7,719955594438566;0,6290980442227777;-17,075296288826614;54,0;15,2572758822336;1,1151649780704633;-10,259493340109394;84,0;0,8241911325257537;0,9753685098721068;2,8487333404835775;10,0;2,4674348225435785
54;35;2;50;2;2;3;6;0,01;0,05;JNJ;in_sample_3_2x;11,667258940977199;0,8863183522656917;-7,590622998789176;47,0;-1,4897692869884627;-0,1166335085471765;-15,375154983910377;30,0;12,651621951916603;0,9481468344894882;-7,362390058551083;47,0;9,303913600642577;9,419331107790113;9,715163314581003;10,0;9,495080904584139
81;35;2;50;2;2;3;6;0,01;0,05;JNJ;out_of_sample_val_1;-2,05168155924933;-0,33170967027024195;-8,886735555085956;14,0;-10,153141445251224;-1,471673682358839;-14,556581079004394;11,0;1,5829835923132363;0,2039219624208059;-8,886735555085956;14,0;6,903010883124631;6,8033359697500995;10,0;10,0;7,759386369839157
108;35;2;50;2;2;3;6;0,01;0,05;JNJ;out_of_sample_val_2;32,001611588329105;1,6628460822477327;-14,284988655197184;41,0;8,662704084443607;0,5978313074821389;-17,467161179252024;24,0;33,506684518424265;1,6628460822477327;-8,484687280012848;41,0;9,394190100054749;10,0;3,5426460012584875;10,0;8,81788804306039
1;35;2;50;2;2;3;6;0,01;0,06;JNJ;in_sample_1_2x;6,157398337616682;0,3749463082692218;-19,115570607258626;92,0;1,9086251547825617;0,10946753823035756;-29,173801249881294;62,0;15,513173745058628;0,9574832851592833;-13,392003843094846;98,0;3,123053407204526;3,130587739676899;6,3733112163114285;8,333333333333334;4,33385432151602
28;35;2;50;2;2;3;6;0,01;0,06;JNJ;in_sample_2_2x;11,454186536275014;0,8870858235824961;-14,76346324043385;82,0;7,719955594438566;0,6290980442227777;-17,075296288826614;54,0;15,2572758822336;1,1151649780704633;-10,259493340109394;84,0;4,954321694254098;5,307659529881984;3,391871897980657;9,333333333333334;5,457641339120037
55;35;2;50;2;2;3;6;0,01;0,06;JNJ;in_sample_3_2x;12,651621951916603;0,9481468344894882;-7,362414178553656;44,0;-1,4897692869884627;-0,1166335085471765;-15,375154983910377;30,0;12,651621951916603;0,9481468344894882;-7,362390058551083;47,0;10,000000000000002;10,0;9,99996989802796;8,235294117647058;9,747894859382146
82;35;2;50;2;2;3;6;0,01;0,06;JNJ;out_of_sample_val_1;-2,05168155924933;-0,33170967027024195;-8,886735555085956;14,0;-10,153141445251224;-1,471673682358839;-14,556581079004394;11,0;1,5829835923132363;0,2039219624208059;-8,886735555085956;14,0;6,903010883124631;6,8033359697500995;10,0;10,0;7,759386369839157
109;35;2;50;2;2;3;6;0,01;0,06;JNJ;out_of_sample_val_2;24,04083424545298;1,2727827948008834;-17,467148960694388;36,0;8,662704084443607;0,5978313074821389;-17,467161179252024;24,0;33,506684518424265;1,6628460822477327;-8,484687280012848;41,0;6,189881771109331;6,337484730832013;1,360266422474672e-05;7,0588235294117645;5,471921701009715
2;35;2;50;2;2;3;6;0,01;0,07;JNJ;in_sample_1_2x;2,568082115029391;0,15858234507071678;-20,561515261532726;85,0;1,9086251547825617;0,10946753823035756;-29,173801249881294;62,0;15,513173745058628;0,9574832851592833;-13,392003843094846;98,0;0,4847327023538142;0,579173287975225;5,457100839886041;6,388888888888889;2,065504915969546
29;35;2;50;2;2;3;6;0,01;0,07;JNJ;in_sample_2_2x;10,976175309303038;0,8474757466328077;-14,7634656206733;82,0;7,719955594438566;0,6290980442227777;-17,075296288826614;54,0;15,2572758822336;1,1151649780704633;-10,259493340109394;84,0;4,320129158020755;4,492749603050781;3,391868405744354;9,333333333333334;4,953012631320216
56;35;2;50;2;2;3;6;0,01;0,07;JNJ;in_sample_3_2x;9,929389332382232;0,7366066468951555;-7,362390058551083;44,0;-1,4897692869884627;-0,1166335085471765;-15,375154983910377;30,0;12,651621951916603;0,9481468344894882;-7,362390058551083;47,0;8,074989529993976;8,01329739999672;10,0;8,235294117647058;8,355265358231774
83;35;2;50;2;2;3;6;0,01;0,07;JNJ;out_of_sample_val_1;-2,05168155924933;-0,33170967027024195;-8,886735555085956;14,0;-10,153141445251224;-1,471673682358839;-14,556581079004394;11,0;1,5829835923132363;0,2039219624208059;-8,886735555085956;14,0;6,903010883124631;6,8033359697500995;10,0;10,0;7,759386369839157
110;35;2;50;2;2;3;6;0,01;0,07;JNJ;out_of_sample_val_2;33,506684518424265;1,624065228227111;-14,28504697467936;35,0;8,662704084443607;0,5978313074821389;-17,467161179252024;24,0;33,506684518424265;1,6628460822477327;-8,484687280012848;41,0;10,0;9,635865577271854;3,542581075400833;6,470588235294118;8,469271495034095
3;35;2;50;2;2;3;6;0,02;0,05;JNJ;in_sample_1_2x;14,596657152706282;0,8697709745617493;-15,2385017069948;82,0;1,9086251547825617;0,10946753823035756;-29,173801249881294;62,0;15,513173745058628;0,9574832851592833;-13,392003843094846;98,0;9,32631605799296;8,965675921524069;8,829982532214027;5,555555555555555;8,613691157828084
30;35;2;50;2;2;3;6;0,02;0,05;JNJ;in_sample_2_2x;10,600029072238026;0,8036595183894499;-14,26868261446993;73,0;7,719955594438566;0,6290980442227777;-17,075296288826614;54,0;15,2572758822336;1,1151649780704633;-10,259493340109394;84,0;3,821084109246466;3,591305271166069;4,117803427525598;6,333333333333333;4,156714232990066
57;35;2;50;2;2;3;6;0,02;0,05;JNJ;in_sample_3_2x;10,765842305055262;0,7969283742846617;-8,792067303610384;41,0;-1,4897692869884627;-0,1166335085471765;-15,375154983910377;30,0;12,651621951916603;0,9481468344894882;-7,362390058551083;47,0;8,666482232898499;8,5798154408677;8,215750420264333;6,470588235294118;8,263630890855621
84;35;2;50;2;2;3;6;0,02;0,05;JNJ;out_of_sample_val_1;-3,5509787328991793;-0,5784601032424834;-10,966920780540946;14,0;-10,153141445251224;-1,471673682358839;-14,556581079004394;11,0;1,5829835923132363;0,2039219624208059;-8,886735555085956;14,0;5,6255047481346185;5,330722730744629;6,33114303259294;10,0;6,267014676926579
111;35;2;50;2;2;3;6;0,02;0,05;JNJ;out_of_sample_val_2;30,67462093193807;1,5957812681377928;-14,285010400575759;38,0;8,662704084443607;0,5978313074821389;-17,467161179252024;24,0;33,506684518424265;1,6628460822477327;-8,484687280012848;41,0;8,860060450453178;9,370292171536299;3,5426217925841077;8,235294117647058;8,1569545149519
4;35;2;50;2;2;3;6;0,02;0,06;JNJ;in_sample_1_2x;5,871481930810907;0,3475859968850999;-19,527046588057438;75,0;1,9086251547825617;0,10946753823035756;-29,173801249881294;62,0;15,513173745058628;0,9574832851592833;-13,392003843094846;98,0;2,9128910450294696;2,807948549506117;6,11258300507367;3,611111111111111;3,4397520500407746
31;35;2;50;2;2;3;6;0,02;0,06;JNJ;in_sample_2_2x;12,441502324673536;0,9296703184093886;-14,14030907432522;72,0;7,719955594438566;0,6290980442227777;-17,075296288826614;54,0;15,2572758822336;1,1151649780704633;-10,259493340109394;84,0;6,26422461823791;6,183763042824027;4,306150334134554;6,0;5,923764324928049
