;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;cenario;return_ann;sharpe_ratio;max_drawdown;trades;min_return_ann;min_sharpe_ratio;min_max_drawdown;min_trades;max_return_ann;max_sharpe_ratio;max_max_drawdown;max_trades;Pontos_return_ann;Pontos_sharpe_ratio;Pontos_max_drawdown;Pontos_trades;Pontos_ponderados
0;28;2;50;2;2;4;6;0,01;0,05;MU;in_sample_1_2x;97,29168141127775;1,6670886807933323;-16,172756467844852;136,0;46,48114236173482;0,9764325521911511;-37,281221009687805;102,0;115,39071157020717;1,6670886807933323;-15,311129663010025;136,0;7,373509896111182;10,0;9,607818287489678;10,0;8,818335425117604
27;28;2;50;2;2;4;6;0,01;0,05;MU;in_sample_2_2x;108,43847694026105;1,5559905449029643;-34,038935424567406;141,0;56,4862868176282;1,0941731484628077;-35,88208325296278;105,0;108,43847694026105;1,5559905449029643;-23,143613009624975;141,0;9,999999999999998;10,0;1,4469145770147216;10,0;8,778130653859245
54;28;2;50;2;2;4;6;0,01;0,05;MU;in_sample_3_2x;34,148416816760104;1,1153051494273971;-14,557753357297187;66,0;-2,4483838876180886;-0,09620324070021581;-40,74190885350486;51,0;39,22649548204398;1,1566774708232381;-14,557753357297187;68,0;8,781501292363536;9,66978243806201;10,0;8,823529411764707;9,215371166425621
81;28;2;50;2;2;4;6;0,01;0,05;MU;out_of_sample_val_1;7,852563908098564;0,4448101253525239;-15,570331619393151;21,0;5,958871885270156;0,2984358368202964;-18,4516218412905;13,0;56,8023429259424;1,625779032687033;-10,714072647362084;21,0;0,37245529938613925;1,1027614334260185;3,7237762884380374;10,0;2,435237864778356
108;28;2;50;2;2;4;6;0,01;0,05;MU;out_of_sample_val_2;14,00857381493874;0,5137687746280872;-17,849382773290547;51,0;-1,54573149164563;-0,06546640628139314;-40,326077303736426;39,0;24,172885159100545;0,776488995518352;-15,675760314845622;52,0;6,04787789242665;6,879642076900037;9,118217238575669;9,23076923076923;7,178843471489275
1;28;2;50;2;2;4;6;0,01;0,06;MU;in_sample_1_2x;95,83472606023633;1,555128034353668;-15,311129663010025;132,0;46,48114236173482;0,9764325521911511;-37,281221009687805;102,0;115,39071157020717;1,6670886807933323;-15,311129663010025;136,0;7,162079848328749;8,378923435222946;10,0;8,823529411764707;8,152516546742406
28;28;2;50;2;2;4;6;0,01;0,06;MU;in_sample_2_2x;105,42113092547663;1,479487112892885;-34,03893444113518;136,0;56,4862868176282;1,0941731484628077;-35,88208325296278;105,0;108,43847694026105;1,5559905449029643;-23,143613009624975;141,0;9,419207158030876;8,343426804624656;1,4469153490322433;8,61111111111111;7,857500220497899
55;28;2;50;2;2;4;6;0,01;0,06;MU;in_sample_3_2x;21,230201947330475;0,6532865249069746;-20,198912304966065;61,0;-2,4483838876180886;-0,09620324070021581;-40,74190885350486;51,0;39,22649548204398;1,1566774708232381;-14,557753357297187;68,0;5,681740701614554;5,9821318878462115;7,845583009738121;5,882352941176471;6,105345975921525
82;28;2;50;2;2;4;6;0,01;0,06;MU;out_of_sample_val_1;17,866501066357475;0,7503511548554855;-15,570328719828307;19,0;5,958871885270156;0,2984358368202964;-18,4516218412905;13,0;56,8023429259424;1,625779032687033;-10,714072647362084;21,0;2,3420173598222296;3,404660674363835;3,7237800358324273;7,5;3,5798790662895406
109;28;2;50;2;2;4;6;0,01;0,06;MU;out_of_sample_val_2;11,9868613441525;0,4314184724947014;-20,117529583245698;48,0;-1,54573149164563;-0,06546640628139314;-40,326077303736426;39,0;24,172885159100545;0,776488995518352;-15,675760314845622;52,0;5,261788773310834;5,901558178900741;8,198088377361696;6,923076923076923;6,101378282596086
2;28;2;50;2;2;4;6;0,01;0,07;MU;in_sample_1_2x;99,54004216093048;1,4875751214928639;-20,59334527677641;130,0;46,48114236173482;0,9764325521911511;-37,281221009687805;102,0;115,39071157020717;1,6670886807933323;-15,311129663010025;136,0;7,6997868958774625;7,400825796423672;7,595724327944072;8,235294117647058;7,6760043894386945
29;28;2;50;2;2;4;6;0,01;0,07;MU;in_sample_2_2x;103,49231607929417;1,4364567020746457;-34,03893908932769;128,0;56,4862868176282;1,0941731484628077;-35,88208325296278;105,0;108,43847694026105;1,5559905449029643;-23,143613009624975;141,0;9,047939875240774;7,411664355874735;1,4469117000913427;6,388888888888889;7,114706989493145
56;28;2;50;2;2;4;6;0,01;0,07;MU;in_sample_3_2x;28,613805375195113;0,7743940370929687;-23,632635262669965;60,0;-2,4483838876180886;-0,09620324070021581;-40,74190885350486;51,0;39,22649548204398;1,1566774708232381;-14,557753357297187;68,0;7,453456310523948;6,948764313998994;6,534208671848471;5,294117647058823;6,869460554068161
83;28;2;50;2;2;4;6;0,01;0,07;MU;out_of_sample_val_1;21,7714849267421;0,8725169156596724;-15,570330620299499;19,0;5,958871885270156;0,2984358368202964;-18,4516218412905;13,0;56,8023429259424;1,625779032687033;-10,714072647362084;21,0;3,110057735598469;4,325038773898329;3,723777579665566;7,5;4,17200404775109
110;28;2;50;2;2;4;6;0,01;0,07;MU;out_of_sample_val_2;24,172885159100545;0,776488995518352;-17,6217889583581;46,0;-1,54573149164563;-0,06546640628139314;-40,326077303736426;39,0;24,172885159100545;0,776488995518352;-15,675760314845622;52,0;10,0;10,0;9,210546199308716;5,384615384615385;9,227880226274872
3;28;2;50;2;2;4;6;0,02;0,05;MU;in_sample_1_2x;99,23689602516555;1,6229606638312855;-23,787065717665755;134,0;46,48114236173482;0,9764325521911511;-37,281221009687805;102,0;115,39071157020717;1,6670886807933323;-15,311129663010025;136,0;7,655795017935545;9,361071086832206;6,1420569805972045;9,411764705882353;8,177621273421515
30;28;2;50;2;2;4;6;0,02;0,05;MU;in_sample_2_2x;97,95395198220366;1,4314407779224942;-34,03893989328479;132,0;56,4862868176282;1,0941731484628077;-35,88208325296278;105,0;108,43847694026105;1,5559905449029643;-23,143613009624975;141,0;7,981889707958658;7,303051640311919;1,4469110689660312;7,5;6,785526210495121
57;28;2;50;2;2;4;6;0,02;0,05;MU;in_sample_3_2x;30,676733133192393;1,0063200618112043;-16,567160761772705;65,0;-2,4483838876180886;-0,09620324070021581;-40,74190885350486;51,0;39,22649548204398;1,1566774708232381;-14,557753357297187;68,0;7,948461404527656;8,799906426612592;9,232586514097601;8,235294117647058;8,416153956936116
84;28;2;50;2;2;4;6;0,02;0,05;MU;out_of_sample_val_1;38,68847061006011;1,30048377256256;-10,714081067579484;19,0;5,958871885270156;0,2984358368202964;-18,4516218412905;13,0;56,8023429259424;1,625779032687033;-10,714072647362084;21,0;6,4373257873381435;7,549275416204174;9,999989117720368;7,5;7,415788187449022
