;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;cenario;return_ann;sharpe_ratio;max_drawdown;trades;min_return_ann;min_sharpe_ratio;min_max_drawdown;min_trades;max_return_ann;max_sharpe_ratio;max_max_drawdown;max_trades;Pontos_return_ann;Pontos_sharpe_ratio;Pontos_max_drawdown;Pontos_trades;Pontos_ponderados
0;28;2;50;2;2;4;6;0,01;0,05;WY;in_sample_1_2x;46,85489105467522;1,620655299606989;-12,520603027933708;113,0;23,920815698035035;0,9093723224660715;-28,00928146707591;74,0;54,55311691988476;1,6776220742738333;-10,136514617735791;113,0;7,4868927380100105;9,258486260063263;8,66607759710918;10,0;8,520532618752247
27;28;2;50;2;2;4;6;0,01;0,05;WY;in_sample_2_2x;48,05170464210615;1,4396738486907328;-14,351717710228362;123,0;33,44471417674817;0,9702211719714745;-19,917495749299185;94,0;54,14326695062333;1,5381679970635502;-13,23095078484463;123,0;7,057010519012861;8,26578573871155;8,323847470791431;10,0;8,003778643607587
54;28;2;50;2;2;4;6;0,01;0,05;WY;in_sample_3_2x;25,099293055354966;1,4007864110614716;-9,5324414952917;55,0;1,7549464323890263;0,1176231346374638;-27,401076086602384;38,0;25,099293055354966;1,4007864110614716;-9,5324414952917;55,0;10,0;10,0;10,0;10,0;10,0
81;28;2;50;2;2;4;6;0,01;0,05;WY;out_of_sample_val_1;20,951655014518057;1,1910178212221392;-10,028481086505202;23,0;-3,9314651757192176;-0,2931898165857733;-17,71314280203189;15,0;22,39275291597349;1,3095942901559279;-10,028481086505202;23,0;9,452558136224297;9,260184397667615;10,0;10,0;9,554006172001161
108;28;2;50;2;2;4;6;0,01;0,05;WY;out_of_sample_val_2;47,886848327882014;1,5464804507516712;-13,779867111837197;41,0;23,02129314239487;0,8825040656344448;-14,89806034269936;31,0;48,58503478137906;1,6448362847378155;-9,045839761005858;41,0;9,726884091007896;8,709803527629632;1,910716138007537;10,0;8,358710780898642
1;28;2;50;2;2;4;6;0,01;0,06;WY;in_sample_1_2x;51,65192062301212;1,6776220742738333;-11,833131051605516;105,0;23,920815698035035;0,9093723224660715;-28,00928146707591;74,0;54,55311691988476;1,6776220742738333;-10,136514617735791;113,0;9,05289639330027;10,0;9,050725358769862;7,948717948717949;9,165447498198374
28;28;2;50;2;2;4;6;0,01;0,06;WY;in_sample_2_2x;47,743511722633826;1,354334648161391;-15,6341552008198;117,0;33,44471417674817;0,9702211719714745;-19,917495749299185;94,0;54,14326695062333;1,5381679970635502;-13,23095078484463;123,0;6,908114640716812;6,763194355873789;6,405910034628464;7,931034482758621;6,9410967358978715
55;28;2;50;2;2;4;6;0,01;0,06;WY;in_sample_3_2x;23,942062708352108;1,270822100673016;-9,5324414952917;54,0;1,7549464323890263;0,1176231346374638;-27,401076086602384;38,0;25,099293055354966;1,4007864110614716;-9,5324414952917;55,0;9,504278116799213;8,987156874138048;10,0;9,411764705882353;9,41413040065087
82;28;2;50;2;2;4;6;0,01;0,06;WY;out_of_sample_val_1;13,119660682027146;0,8116163373828692;-10,140706580714786;22,0;-3,9314651757192176;-0,2931898165857733;-17,71314280203189;15,0;22,39275291597349;1,3095942901559279;-10,028481086505202;23,0;6,477353210778668;6,893044105700562;9,853961698817745;8,75;7,403158506079267
109;28;2;50;2;2;4;6;0,01;0,06;WY;out_of_sample_val_2;40,43252533042758;1,2803004635345783;-14,209076859964698;41,0;23,02129314239487;0,8825040656344448;-14,89806034269936;31,0;48,58503478137906;1,6448362847378155;-9,045839761005858;41,0;6,810909151687301;5,2181501441459215;1,1773026548074597;10,0;6,006618628308743
2;28;2;50;2;2;4;6;0,01;0,07;WY;in_sample_1_2x;54,55311691988476;1,641280948458134;-10,136514617735791;96,0;23,920815698035035;0,9093723224660715;-28,00928146707591;74,0;54,55311691988476;1,6776220742738333;-10,136514617735791;113,0;10,0;9,526962088433024;10,0;5,641025641025641;9,24213568827024
29;28;2;50;2;2;4;6;0,01;0,07;WY;in_sample_2_2x;40,550591492588396;1,18874834697895;-15,634153703237185;109,0;33,44471417674817;0,9702211719714745;-19,917495749299185;94,0;54,14326695062333;1,5381679970635502;-13,23095078484463;123,0;3,4330309918135744;3,847669629494764;6,405912274324184;5,172413793103448;4,2246797574082695
