;d_max;num_pontos;break_min;ppt;sl;pt;ativo;cenario;return_ann;sharpe_ratio;max_drawdown;trades;janela_rsi;ordem;lookback
0;2;2;3;6;0,01;0,07;CSCO;Media dos resultados por ativo;27,673819520773392;1,1602023719964532;-18,83917266662377;55,0;28;2;50
0;2;2;3;6;0,02;0,05;MSFT;Media dos resultados por ativo;15,328417686686858;0,8218791318976776;-17,75313752647218;44,5;42;3;50
0;2;2;4;6;0,01;0,05;PHM;Media dos resultados por ativo;50,93250128091389;1,4246732705846905;-17,596530371319414;70,5;35;2;50
0;2;2;3;6;0,02;0,05;MAR;Media dos resultados por ativo;19,81906045014994;0,9749162668920291;-14,884933419175727;49,0;28;2;70
0;2;2;3;6;0,02;0,06;YUM;Media dos resultados por ativo;14,215380846669037;0,6689548027472225;-18,280144181524413;52,0;42;2;50
0;2;2;4;6;0,02;0,05;COST;Media dos resultados por ativo;7,921854218173241;0,4194143937984833;-15,796026952186716;50,5;28;2;50
0;2;2;3;6;0,01;0,05;HSY;Media dos resultados por ativo;13,643852246245524;0,932326434852268;-10,775392449482467;48,5;28;2;60
0;2;2;3;6;0,03;0,05;K;Media dos resultados por ativo;15,00214334124944;0,9666909035555632;-10,614712350008132;32,0;35;2;90
0;2;2;3;6;0,01;0,05;HES;Media dos resultados por ativo;19,029676418377285;0,9797595552456496;-14,955486079176673;49,0;42;3;50
0;2;2;3;6;0,01;0,05;BSX;Media dos resultados por ativo;25,709753869753527;1,0777717754273175;-15,475443146171571;58,5;35;2;50
0;2;2;3;6;0,01;0,05;BEN;Media dos resultados por ativo;26,77811605880418;1,1351815076377445;-12,64934480323171;54,5;28;2;70
0;2;2;3;6;0,02;0,05;CI;Media dos resultados por ativo;18,44251016632615;0,9762099778985996;-18,25266480425897;45,0;28;3;50
0;2;2;3;6;0,01;0,05;CVS;Media dos resultados por ativo;14,096334175393457;0,7108957838372529;-18,14035788558584;51,0;42;2;60
0;2;2;3;6;0,01;0,05;BAC;Media dos resultados por ativo;24,351272460848094;1,2620676233028492;-11,533776309986932;53,5;28;2;50
0;2;2;3;6;0,01;0,05;BA;Media dos resultados por ativo;27,696999531372903;1,156649699670632;-20,882618422768125;66,0;35;2;50
0;2;2;3;6;0,03;0,07;CL;Media dos resultados por ativo;9,819183072825432;0,5915775694066409;-15,920032251728912;31,0;49;3;50
0;2;2;4;6;0,02;0,05;GE;Media dos resultados por ativo;17,2837462257431;1,000983278655772;-18,25602368195748;42,0;42;2;70
0;2;2;4;6;0,01;0,05;WM;Media dos resultados por ativo;24,57945147627619;1,4219663857914062;-10,203045807062257;47,5;28;2;60
0;2;2;3;6;0,01;0,05;COF;Media dos resultados por ativo;69,4819782334828;1,778514083575714;-11,9512499370098;73,5;35;2;50
0;2;2;3;6;0,01;0,05;ADBE;Media dos resultados por ativo;19,106350145729834;0,6979034308489449;-26,067116534487777;66,5;42;2;60
0;2;2;3;6;0,01;0,05;AAPL;Media dos resultados por ativo;28,62748812719396;1,092631709134105;-18,63966094919377;67,0;35;2;50
0;2;2;3;6;0,01;0,06;MMC;Media dos resultados por ativo;9,850506942997695;0,7044808721449713;-11,73304120387258;38,0;42;3;50
0;2;2;3;6;0,01;0,05;HPQ;Media dos resultados por ativo;33,77165856528636;1,277955461090727;-13,81045837192053;68,0;35;2;50
0;2;2;4;6;0,01;0,05;VMC;Media dos resultados por ativo;12,551227705716052;0,7249596465623162;-11,24115348298264;58,0;35;2;50
0;2;2;3;6;0,01;0,05;DHR;Media dos resultados por ativo;15,42829471657109;0,7846942952267595;-17,05074824940761;61,0;28;2;50
