;d_max;num_pontos;break_min;ppt;sl;pt;ativo;cenario;return_ann;sharpe_ratio;max_drawdown;trades;janela_rsi;ordem;lookback
0;2;2;3;6;0,01;0,07;CSCO;out_of_sample_final_1;38,62965781201942;1,2769029500761278;-21,16415117185681;64,0;28;2;50
1;2;2;3;6;0,01;0,07;CSCO;out_of_sample_final_2;16,717981229527368;1,0435017939167786;-16,514194161390726;46,0;28;2;50
0;2;2;3;6;0,02;0,05;MSFT;out_of_sample_final_1;23,734733894806205;1,2720464600287016;-13,266517666967836;45,0;42;3;50
1;2;2;3;6;0,02;0,05;MSFT;out_of_sample_final_2;6,922101478567511;0,3717118037666535;-22,23975738597652;44,0;42;3;50
0;2;2;4;6;0,01;0,05;PHM;out_of_sample_final_1;72,67078095698778;1,7059297086847074;-14,86241112893696;75,0;35;2;50
1;2;2;4;6;0,01;0,05;PHM;out_of_sample_final_2;29,19422160484;1,1434168324846734;-20,33064961370187;66,0;35;2;50
0;2;2;3;6;0,02;0,05;MAR;out_of_sample_final_1;14,24007741960114;0,7825592626745793;-15,678783245901297;53,0;28;2;70
1;2;2;3;6;0,02;0,05;MAR;out_of_sample_final_2;25,39804348069874;1,167273271109479;-14,09108359245016;45,0;28;2;70
0;2;2;3;6;0,02;0,06;YUM;out_of_sample_final_1;24,77465395412246;1,065372278330848;-17,426153209776285;59,0;42;2;50
1;2;2;3;6;0,02;0,06;YUM;out_of_sample_final_2;3,656107739215608;0,272537327163597;-19,134135153272545;45,0;42;2;50
0;2;2;4;6;0,02;0,05;COST;out_of_sample_final_1;9,614890549360576;0,440354034254607;-16,02273107952753;54,0;28;2;50
1;2;2;4;6;0,02;0,05;COST;out_of_sample_final_2;6,2288178869859046;0,3984747533423596;-15,5693228248459;47,0;28;2;50
0;2;2;3;6;0,01;0,05;HSY;out_of_sample_final_1;12,431083356487704;0,9234516174976068;-8,58023511874082;50,0;28;2;60
1;2;2;3;6;0,01;0,05;HSY;out_of_sample_final_2;14,856621136003344;0,9412012522069292;-12,970549780224117;47,0;28;2;60
0;2;2;3;6;0,03;0,05;K;out_of_sample_final_1;3,5860350919843187;0,2810077551395287;-12,234424364091922;31,0;35;2;90
1;2;2;3;6;0,03;0,05;K;out_of_sample_final_2;26,418251590514565;1,6523740519715977;-8,995000335924342;33,0;35;2;90
0;2;2;3;6;0,01;0,05;HES;out_of_sample_final_1;24,09057520416049;1,1875350574765593;-9,969739155627922;51,0;42;3;50
1;2;2;3;6;0,01;0,05;HES;out_of_sample_final_2;13,968777632594076;0,7719840530147397;-19,941233002725426;47,0;42;3;50
0;2;2;3;6;0,01;0,05;BSX;out_of_sample_final_1;35,068873502092444;1,2001761530248265;-18,376003196198944;65,0;35;2;50
1;2;2;3;6;0,01;0,05;BSX;out_of_sample_final_2;16,350634237414607;0,9553673978298092;-12,574883096144196;52,0;35;2;50
0;2;2;3;6;0,01;0,05;BEN;out_of_sample_final_1;15,87735174290028;0,9154312289321274;-12,724228484796608;52,0;28;2;70
1;2;2;3;6;0,01;0,05;BEN;out_of_sample_final_2;37,67888037470808;1,354931786343362;-12,574461121666811;57,0;28;2;70
0;2;2;3;6;0,02;0,05;CI;out_of_sample_final_1;22,61530038118116;1,1861356692669005;-17,806488495287486;49,0;28;3;50
1;2;2;3;6;0,02;0,05;CI;out_of_sample_final_2;14,26971995147115;0,7662842865302988;-18,698841113230458;41,0;28;3;50
0;2;2;3;6;0,01;0,05;CVS;out_of_sample_final_1;21,189438217124422;1,0584862212820454;-10,931289677166456;53,0;42;2;60
1;2;2;3;6;0,01;0,05;CVS;out_of_sample_final_2;7,003230133662486;0,3633053463924604;-25,349426094005224;49,0;42;2;60
0;2;2;3;6;0,01;0,05;BAC;out_of_sample_final_1;17,140455304650047;1,1588711119097308;-9,430455399527771;48,0;28;2;50
1;2;2;3;6;0,01;0,05;BAC;out_of_sample_final_2;31,56208961704614;1,3652641346959675;-13,637097220446092;59,0;28;2;50
0;2;2;3;6;0,01;0,05;BA;out_of_sample_final_1;18,389218842215406;0,966216121436667;-14,619067683393704;71,0;35;2;50
1;2;2;3;6;0,01;0,05;BA;out_of_sample_final_2;37,0047802205304;1,3470832779045974;-27,14616916214254;61,0;35;2;50
0;2;2;3;6;0,03;0,07;CL;out_of_sample_final_1;16,342829775502477;0,8980478680466842;-10,556519884071436;36,0;49;3;50
1;2;2;3;6;0,03;0,07;CL;out_of_sample_final_2;3,2955363701483886;0,2851072707665975;-21,283544619386387;26,0;49;3;50
0;2;2;4;6;0,02;0,05;GE;out_of_sample_final_1;21,37502842957885;1,269490225314787;-13,86213967095552;46,0;42;2;70
1;2;2;4;6;0,02;0,05;GE;out_of_sample_final_2;13,192464021907346;0,732476331996757;-22,64990769295944;38,0;42;2;70
0;2;2;4;6;0,01;0,05;WM;out_of_sample_final_1;25,088319702883123;1,3418327726735957;-11,367416639122183;55,0;28;2;60
1;2;2;4;6;0,01;0,05;WM;out_of_sample_final_2;24,070583249669266;1,5020999989092167;-9,038674975002326;40,0;28;2;60
0;2;2;3;6;0,01;0,05;COF;out_of_sample_final_1;81,14061999270388;1,703115440000852;-15,722920776731453;85,0;35;2;50
1;2;2;3;6;0,01;0,05;COF;out_of_sample_final_2;57,823336474261744;1,853912727150576;-8,179579097288148;62,0;35;2;50
0;2;2;3;6;0,01;0,05;ADBE;out_of_sample_final_1;32,12759495198776;1,1251875463548913;-19,085842554879484;76,0;42;2;60
1;2;2;3;6;0,01;0,05;ADBE;out_of_sample_final_2;6,085105339471908;0,2706193153429984;-33,04839051409607;57,0;42;2;60
0;2;2;3;6;0,01;0,05;AAPL;out_of_sample_final_1;25,138317011840485;0,8388697554835068;-23,909200572295063;76,0;35;2;50
1;2;2;3;6;0,01;0,05;AAPL;out_of_sample_final_2;32,11665924254743;1,3463936627847028;-13,370121326092487;58,0;35;2;50
0;2;2;3;6;0,01;0,06;MMC;out_of_sample_final_1;4,4691581391660185;0,3185666755960569;-15,19282066663833;43,0;42;3;50
1;2;2;3;6;0,01;0,06;MMC;out_of_sample_final_2;15,231855746829371;1,0903950686938857;-8,273261741106829;33,0;42;3;50
0;2;2;3;6;0,01;0,05;HPQ;out_of_sample_final_1;37,07627064332737;1,2536653085369345;-15,89897381889156;74,0;35;2;50
1;2;2;3;6;0,01;0,05;HPQ;out_of_sample_final_2;30,46704648724534;1,3022456136445204;-11,721942924949502;62,0;35;2;50
0;2;2;4;6;0,01;0,05;VMC;out_of_sample_final_1;18,174374506927077;1,072386002793536;-8,593749290004403;59,0;35;2;50
1;2;2;4;6;0,01;0,05;VMC;out_of_sample_final_2;6,92808090450503;0,3775332903310963;-13,888557675960875;57,0;35;2;50
0;2;2;3;6;0,01;0,05;DHR;out_of_sample_final_1;13,935688330248208;0,7264526648908581;-17,814291402397618;67,0;28;2;50
1;2;2;3;6;0,01;0,05;DHR;out_of_sample_final_2;16,92090110289397;0,8429359255626607;-16,2872050964176;55,0;28;2;50
