;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;cenario;return_ann;sharpe_ratio;max_drawdown;trades;min_return_ann;min_sharpe_ratio;min_max_drawdown;min_trades;max_return_ann;max_sharpe_ratio;max_max_drawdown;max_trades;Pontos_return_ann;Pontos_sharpe_ratio;Pontos_max_drawdown;Pontos_trades;Pontos_ponderados
0;28;3;50;2;3;3;6;0,01;0,05;ITW;in_sample_1_2x;10,366652336749427;0,8095415896972153;-13,299335047604854;41,0;0,30349211909312945;0,02061009115013703;-44,97209949298405;34,0;10,461521120950934;0,8095415896972153;-11,696624125139898;44,0;9,9066070945612;10,0;9,518350705813283;7,0;9,462595998499555
27;28;3;50;2;3;3;6;0,01;0,05;ITW;in_sample_2_2x;2,75607004665539;0,26841206913248356;-19,843866663669964;43,0;-0,8285942476987107;-0,05437449731888817;-32,33938672886067;35,0;11,239557524554167;0,7089121779769578;-17,34982966353722;52,0;2,9703506899838374;4,22890346312231;8,336150301664084;4,705882352941177;4,344413092971627
54;28;3;50;2;3;3;6;0,01;0,05;ITW;in_sample_3_2x;3,271470985397018;0,3781896312672632;-11,061050909106973;19,0;-6,649420742333678;-0,9454848054093419;-21,18664497853151;10,0;10,833542501929227;0,9390982731031638;-8,884182947008657;19,0;5,674605379603639;7,023699043935894;8,230542832385517;10,0;7,043108151295461
81;28;3;50;2;3;3;6;0,01;0,05;ITW;out_of_sample_val_1;10,541420773827582;1,0174705981668715;-5,029109788333585;8,0;-8,62096616951451;-1,1626943320711933;-12,839001182846943;3,0;11,265788534095545;1,0174705981668715;-5,029109788333585;8,0;9,63575366063299;10,0;10,0;10,0;9,843894425985567
108;28;3;50;2;3;3;6;0,01;0,05;ITW;out_of_sample_val_2;-2,709254867251154;-0,21155113320601673;-24,155119425674453;25,0;-10,72983078114781;-0,7448282857770117;-35,2361327156146;19,0;0,3202332552992404;0,022425434537728578;-13,788788667718233;26,0;7,258397677553666;6,950466820183495;5,166613294958083;8,571428571428571;7,059166934202091
1;28;3;50;2;3;3;6;0,01;0,06;ITW;in_sample_1_2x;10,461521120950934;0,7287029936126621;-11,696624125139898;40,0;0,30349211909312945;0,02061009115013703;-44,97209949298405;34,0;10,461521120950934;0,8095415896972153;-11,696624125139898;44,0;10,0;8,975340745889495;10,0;6,0;9,135811641682713
28;28;3;50;2;3;3;6;0,01;0,06;ITW;in_sample_2_2x;-0,11660383197588109;-0,010717462948663131;-23,024101619468908;41,0;-0,8285942476987107;-0,05437449731888817;-32,33938672886067;35,0;11,239557524554167;0,7089121779769578;-17,34982966353722;52,0;0,5899746946834391;0,5719611750500398;6,214516592315833;3,5294117647058822;1,8082535415960161
55;28;3;50;2;3;3;6;0,01;0,06;ITW;in_sample_3_2x;3,901123034303633;0,4433481655549101;-11,061060607170514;19,0;-6,649420742333678;-0,9454848054093419;-21,18664497853151;10,0;10,833542501929227;0,9390982731031638;-8,884182947008657;19,0;6,034757168582111;7,369444132229249;8,230534949358919;10,0;7,296242102794822
82;28;3;50;2;3;3;6;0,01;0,06;ITW;out_of_sample_val_1;9,084611813906761;0,8494759069472443;-5,0291108296022795;7,0;-8,62096616951451;-1,1626943320711933;-12,839001182846943;3,0;11,265788534095545;1,0174705981668715;-5,029109788333585;8,0;8,903201275071376;9,22944044787803;9,99999866673089;8,0;9,02406905538587
109;28;3;50;2;3;3;6;0,01;0,06;ITW;out_of_sample_val_2;-3,154042488423381;-0,24187412492153304;-22,556822815727827;25,0;-10,72983078114781;-0,7448282857770117;-35,2361327156146;19,0;0,3202332552992404;0,022425434537728578;-13,788788667718233;26,0;6,855877276128697;6,555252161555612;5,911832193101041;8,571428571428571;6,880199559432418
