;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;media_pontos_ponderados
0;42;2;50;2;3;3;6;0,01;0,05;LLY;6,931601458900367
1;42;2;50;2;3;3;6;0,01;0,06;LLY;6,627450615489065
2;42;2;50;2;3;3;6;0,01;0,07;LLY;5,472922945006613
3;42;2;50;2;3;3;6;0,02;0,05;LLY;7,066334227683129
4;42;2;50;2;3;3;6;0,02;0,06;LLY;6,908191734102149
5;42;2;50;2;3;3;6;0,02;0,07;LLY;6,188204213731924
6;42;2;50;2;3;3;6;0,03;0,05;LLY;5,29249452558727
7;42;2;50;2;3;3;6;0,03;0,06;LLY;4,121285310008995
8;42;2;50;2;3;3;6;0,03;0,07;LLY;3,4015880599446957
9;42;2;60;2;3;3;6;0,01;0,05;LLY;6,27389946279392
10;42;2;60;2;3;3;6;0,01;0,06;LLY;5,77558022633691
11;42;2;60;2;3;3;6;0,01;0,07;LLY;4,783855617646016
12;42;2;60;2;3;3;6;0,02;0,05;LLY;5,624792866335869
13;42;2;60;2;3;3;6;0,02;0,06;LLY;5,042685745725565
14;42;2;60;2;3;3;6;0,02;0,07;LLY;3,6424513294656613
15;42;2;60;2;3;3;6;0,03;0,05;LLY;3,57293043280079
16;42;2;60;2;3;3;6;0,03;0,06;LLY;3,075789846640159
17;42;2;60;2;3;3;6;0,03;0,07;LLY;2,569077423225108
18;42;2;70;2;3;3;6;0,01;0,05;LLY;5,900041005614026
19;42;2;70;2;3;3;6;0,01;0,06;LLY;5,235284727214578
20;42;2;70;2;3;3;6;0,01;0,07;LLY;4,21118399615453
21;42;2;70;2;3;3;6;0,02;0,05;LLY;5,762315513458541
22;42;2;70;2;3;3;6;0,02;0,06;LLY;4,987684507791814
23;42;2;70;2;3;3;6;0,02;0,07;LLY;4,474190174612815
24;42;2;70;2;3;3;6;0,03;0,05;LLY;4,478274662561302
25;42;2;70;2;3;3;6;0,03;0,06;LLY;4,175751047446535
26;42;2;70;2;3;3;6;0,03;0,07;LLY;3,455073015892861
