;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;media_pontos_ponderados
0;28;2;50;2;3;4;6;0,01;0,05;NEM;6,860079738524439
1;28;2;50;2;3;4;6;0,01;0,06;NEM;7,056308546060002
2;28;2;50;2;3;4;6;0,01;0,07;NEM;5,428477103194167
3;28;2;50;2;3;4;6;0,02;0,05;NEM;7,106712310020393
4;28;2;50;2;3;4;6;0,02;0,06;NEM;6,872325675654449
5;28;2;50;2;3;4;6;0,02;0,07;NEM;5,457598503114878
6;28;2;50;2;3;4;6;0,03;0,05;NEM;6,590713331818128
7;28;2;50;2;3;4;6;0,03;0,06;NEM;6,552436018779771
8;28;2;50;2;3;4;6;0,03;0,07;NEM;5,8872886874298
9;28;2;60;2;3;4;6;0,01;0,05;NEM;4,851971459600583
10;28;2;60;2;3;4;6;0,01;0,06;NEM;5,514700182015366
11;28;2;60;2;3;4;6;0,01;0,07;NEM;3,7879522200859177
12;28;2;60;2;3;4;6;0,02;0,05;NEM;4,327420614399918
13;28;2;60;2;3;4;6;0,02;0,06;NEM;4,99569620893351
14;28;2;60;2;3;4;6;0,02;0,07;NEM;3,479762541404603
15;28;2;60;2;3;4;6;0,03;0,05;NEM;3,35099050235129
16;28;2;60;2;3;4;6;0,03;0,06;NEM;4,245350310513545
17;28;2;60;2;3;4;6;0,03;0,07;NEM;4,444587173270569
18;28;2;70;2;3;4;6;0,01;0,05;NEM;4,872776986303261
19;28;2;70;2;3;4;6;0,01;0,06;NEM;4,697755937690275
20;28;2;70;2;3;4;6;0,01;0,07;NEM;3,5528602267077773
21;28;2;70;2;3;4;6;0,02;0,05;NEM;5,623204939119105
22;28;2;70;2;3;4;6;0,02;0,06;NEM;4,955641550558605
23;28;2;70;2;3;4;6;0,02;0,07;NEM;4,010617535223307
24;28;2;70;2;3;4;6;0,03;0,05;NEM;3,8810798590928783
25;28;2;70;2;3;4;6;0,03;0,06;NEM;3,732854189173337
26;28;2;70;2;3;4;6;0,03;0,07;NEM;3,8302267689555243
