;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;media_pontos_ponderados
0;35;2;50;2;3;3;6;0,01;0,05;NOC;5,214827116442281
1;35;2;50;2;3;3;6;0,01;0,06;NOC;4,894569991154902
2;35;2;50;2;3;3;6;0,01;0,07;NOC;5,646302843731773
3;35;2;50;2;3;3;6;0,02;0,05;NOC;5,40994095430258
4;35;2;50;2;3;3;6;0,02;0,06;NOC;4,780596685047231
5;35;2;50;2;3;3;6;0,02;0,07;NOC;4,94999618628788
6;35;2;50;2;3;3;6;0,03;0,05;NOC;4,9046064986503835
7;35;2;50;2;3;3;6;0,03;0,06;NOC;4,925543493782568
8;35;2;50;2;3;3;6;0,03;0,07;NOC;4,172576579670221
9;35;2;60;2;3;3;6;0,01;0,05;NOC;5,776522890288386
10;35;2;60;2;3;3;6;0,01;0,06;NOC;5,227879231173617
11;35;2;60;2;3;3;6;0,01;0,07;NOC;5,377780985306531
12;35;2;60;2;3;3;6;0,02;0,05;NOC;6,019764418666398
13;35;2;60;2;3;3;6;0,02;0,06;NOC;5,549889673711004
14;35;2;60;2;3;3;6;0,02;0,07;NOC;5,550441184763381
15;35;2;60;2;3;3;6;0,03;0,05;NOC;5,748913568618926
16;35;2;60;2;3;3;6;0,03;0,06;NOC;5,5103510795414525
17;35;2;60;2;3;3;6;0,03;0,07;NOC;5,336655953860946
18;35;2;70;2;3;3;6;0,01;0,05;NOC;5,230065163609403
19;35;2;70;2;3;3;6;0,01;0,06;NOC;4,965328989454564
20;35;2;70;2;3;3;6;0,01;0,07;NOC;4,854605749959984
21;35;2;70;2;3;3;6;0,02;0,05;NOC;4,356439389820258
22;35;2;70;2;3;3;6;0,02;0,06;NOC;4,09036470743041
23;35;2;70;2;3;3;6;0,02;0,07;NOC;4,077890014225133
24;35;2;70;2;3;3;6;0,03;0,05;NOC;3,4059197739551386
25;35;2;70;2;3;3;6;0,03;0,06;NOC;3,2411561105442743
26;35;2;70;2;3;3;6;0,03;0,07;NOC;3,675772740742301
