;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;media_pontos_ponderados
0;28;2;50;2;3;3;6;0,01;0,05;PFE;7,1044058025530505
1;28;2;50;2;3;3;6;0,01;0,06;PFE;6,519094546714032
2;28;2;50;2;3;3;6;0,01;0,07;PFE;6,558454891477848
3;28;2;50;2;3;3;6;0,02;0,05;PFE;6,801884461314401
4;28;2;50;2;3;3;6;0,02;0,06;PFE;5,768423605470249
5;28;2;50;2;3;3;6;0,02;0,07;PFE;5,954817993280716
6;28;2;50;2;3;3;6;0,03;0,05;PFE;5,674367318814221
7;28;2;50;2;3;3;6;0,03;0,06;PFE;4,894631515610549
8;28;2;50;2;3;3;6;0,03;0,07;PFE;4,978815104724553
9;28;2;60;2;3;3;6;0,01;0,05;PFE;6,152598399198365
10;28;2;60;2;3;3;6;0,01;0,06;PFE;6,013638020793752
11;28;2;60;2;3;3;6;0,01;0,07;PFE;4,948074728884267
12;28;2;60;2;3;3;6;0,02;0,05;PFE;7,25401940333721
13;28;2;60;2;3;3;6;0,02;0,06;PFE;6,799813323133696
14;28;2;60;2;3;3;6;0,02;0,07;PFE;6,001819974792918
15;28;2;60;2;3;3;6;0,03;0,05;PFE;5,681729018928024
16;28;2;60;2;3;3;6;0,03;0,06;PFE;5,806631930198912
17;28;2;60;2;3;3;6;0,03;0,07;PFE;4,829192525345578
18;28;2;70;2;3;3;6;0,01;0,05;PFE;4,569971076653773
19;28;2;70;2;3;3;6;0,01;0,06;PFE;4,897086657402815
20;28;2;70;2;3;3;6;0,01;0,07;PFE;5,302241564655766
21;28;2;70;2;3;3;6;0,02;0,05;PFE;4,326157733634278
22;28;2;70;2;3;3;6;0,02;0,06;PFE;3,9905841366505754
23;28;2;70;2;3;3;6;0,02;0,07;PFE;4,565010858943267
24;28;2;70;2;3;3;6;0,03;0,05;PFE;2,4978739425844383
25;28;2;70;2;3;3;6;0,03;0,06;PFE;2,0786230899863414
26;28;2;70;2;3;3;6;0,03;0,07;PFE;1,5995979250548973
