;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;media_pontos_ponderados
0;35;2;50;2;3;3;6;0,01;0,05;TJX;7,159100071612819
1;35;2;50;2;3;3;6;0,01;0,06;TJX;5,283682726199848
2;35;2;50;2;3;3;6;0,01;0,07;TJX;5,423387735440518
3;35;2;50;2;3;3;6;0,02;0,05;TJX;6,014189502164728
4;35;2;50;2;3;3;6;0,02;0,06;TJX;4,231783427350289
5;35;2;50;2;3;3;6;0,02;0,07;TJX;4,0719698693108155
6;35;2;50;2;3;3;6;0,03;0,05;TJX;6,397679699071562
7;35;2;50;2;3;3;6;0,03;0,06;TJX;3,9098677239334743
8;35;2;50;2;3;3;6;0,03;0,07;TJX;3,0792111748042883
9;35;2;60;2;3;3;6;0,01;0,05;TJX;7,719147446617834
10;35;2;60;2;3;3;6;0,01;0,06;TJX;6,677040410681352
11;35;2;60;2;3;3;6;0,01;0,07;TJX;5,976896758953267
12;35;2;60;2;3;3;6;0,02;0,05;TJX;5,975682937219582
13;35;2;60;2;3;3;6;0,02;0,06;TJX;4,742246366971509
14;35;2;60;2;3;3;6;0,02;0,07;TJX;4,096211107020287
15;35;2;60;2;3;3;6;0,03;0,05;TJX;4,8686409444579395
16;35;2;60;2;3;3;6;0,03;0,06;TJX;3,855002050071188
17;35;2;60;2;3;3;6;0,03;0,07;TJX;2,8348905779684372
18;35;2;70;2;3;3;6;0,01;0,05;TJX;5,190594594777984
19;35;2;70;2;3;3;6;0,01;0,06;TJX;3,6907897476967646
20;35;2;70;2;3;3;6;0,01;0,07;TJX;3,124818382797792
21;35;2;70;2;3;3;6;0,02;0,05;TJX;5,4406646914567105
22;35;2;70;2;3;3;6;0,02;0,06;TJX;4,291787626085825
23;35;2;70;2;3;3;6;0,02;0,07;TJX;3,6533038240081757
24;35;2;70;2;3;3;6;0,03;0,05;TJX;5,3325968261421535
25;35;2;70;2;3;3;6;0,03;0,06;TJX;4,419198718953362
26;35;2;70;2;3;3;6;0,03;0,07;TJX;2,9937557013701435
