;ponto;evento;reta;x_rompimento;y_rompimento;inicio_janela;fim_janela
0;116,0;1,0;0,0;115,0;57,86290322580645;23,0;113,0
1;117,0;1,0;0,0;115,0;57,86290322580645;23,0;113,0
2;118,0;1,0;0,0;115,0;57,86290322580645;23,0;113,0
3;119,0;1,0;0,0;115,0;57,86290322580645;23,0;113,0
4;158,0;1,0;0,0;158,0;46,666666666666664;23,0;113,0
5;161,0;1,0;0,0;158,0;46,666666666666664;23,0;113,0
6;162,0;1,0;0,0;158,0;46,666666666666664;23,0;113,0
7;163,0;1,0;0,0;158,0;46,666666666666664;23,0;113,0
8;165,0;1,0;0,0;161,0;51,803278688524586;23,0;113,0
9;202,0;1,0;0,0;202,0;46,41509433962264;23,0;113,0
10;203,0;1,0;0,0;202,0;46,41509433962264;23,0;113,0
11;204,0;1,0;0,0;202,0;46,41509433962264;23,0;113,0
12;205,0;1,0;0,0;202,0;46,41509433962264;23,0;113,0
13;206,0;1,0;0,0;202,0;46,41509433962264;23,0;113,0
14;207,0;1,0;0,0;202,0;46,41509433962264;23,0;113,0
15;248,0;1,0;0,0;247,0;29,77983777520278;23,0;113,0
16;250,0;1,0;0,0;247,0;29,77983777520278;23,0;113,0
17;251,0;1,0;0,0;247,0;29,77983777520278;23,0;113,0
18;266,0;1,0;5,0;266,0;78,82797731568999;132,0;222,0
19;267,0;1,0;5,0;266,0;78,82797731568999;132,0;222,0
20;270,0;1,0;5,0;266,0;78,82797731568999;132,0;222,0
21;271,0;1,0;5,0;266,0;78,82797731568999;132,0;222,0
22;337,0;1,0;11,0;337,0;77,63496887273439;239,0;329,0
23;339,0;1,0;11,0;337,0;77,63496887273439;239,0;329,0
24;376,0;1,0;17,0;374,0;52,08117491173792;283,0;373,0
25;377,0;1,0;17,0;374,0;52,08117491173792;283,0;373,0
26;378,0;1,0;17,0;374,0;52,08117491173792;283,0;373,0
27;385,0;1,0;17,0;384,0;49,17183651817247;283,0;373,0
28;386,0;1,0;17,0;384,0;49,17183651817247;283,0;373,0
29;387,0;1,0;17,0;384,0;49,17183651817247;283,0;373,0
30;388,0;1,0;17,0;384,0;49,17183651817247;283,0;373,0
31;389,0;1,0;17,0;384,0;49,17183651817247;283,0;373,0
32;431,0;1,0;20,0;431,0;35,12210016422627;327,0;417,0
33;434,0;1,0;20,0;431,0;35,12210016422627;327,0;417,0
34;435,0;1,0;20,0;431,0;35,12210016422627;327,0;417,0
35;435,0;1,0;21,0;435,0;37,58976237051858;341,0;431,0
36;436,0;1,0;20,0;431,0;35,12210016422627;327,0;417,0
37;438,0;1,0;21,0;435,0;37,58976237051858;341,0;431,0
38;439,0;1,0;21,0;435,0;37,58976237051858;341,0;431,0
39;447,0;1,0;22,0;447,0;60,72811963789037;338,0;428,0
40;447,0;1,0;24,0;447,0;60,72811963789037;351,0;441,0
41;448,0;1,0;24,0;447,0;60,72811963789037;351,0;441,0
42;449,0;1,0;22,0;447,0;60,72811963789037;338,0;428,0
43;449,0;1,0;24,0;447,0;60,72811963789037;351,0;441,0
44;450,0;1,0;22,0;447,0;60,72811963789037;338,0;428,0
45;450,0;1,0;23,0;450,0;64,20048188997741;350,0;440,0
46;450,0;1,0;24,0;447,0;60,72811963789037;351,0;441,0
47;450,0;1,0;25,0;450,0;64,20048188997741;357,0;447,0
48;451,0;1,0;11,0;451,0;69,82922173667879;239,0;329,0
49;451,0;1,0;22,0;447,0;60,72811963789037;338,0;428,0
50;451,0;1,0;23,0;450,0;64,20048188997741;350,0;440,0
51;451,0;1,0;25,0;450,0;64,20048188997741;357,0;447,0
52;452,0;1,0;11,0;451,0;69,82922173667879;239,0;329,0
53;452,0;1,0;22,0;447,0;60,72811963789037;338,0;428,0
54;452,0;1,0;23,0;450,0;64,20048188997741;350,0;440,0
55;452,0;1,0;24,0;447,0;60,72811963789037;351,0;441,0
56;452,0;1,0;25,0;450,0;64,20048188997741;357,0;447,0
57;453,0;1,0;11,0;451,0;69,82922173667879;239,0;329,0
58;454,0;1,0;11,0;451,0;69,82922173667879;239,0;329,0
59;454,0;1,0;23,0;450,0;64,20048188997741;350,0;440,0
60;454,0;1,0;25,0;450,0;64,20048188997741;357,0;447,0
61;455,0;1,0;11,0;451,0;69,82922173667879;239,0;329,0
62;455,0;1,0;23,0;450,0;64,20048188997741;350,0;440,0
63;455,0;1,0;25,0;450,0;64,20048188997741;357,0;447,0
64;463,0;1,0;11,0;463,0;69,15776935061596;239,0;329,0
65;464,0;1,0;11,0;463,0;69,15776935061596;239,0;329,0
66;464,0;1,0;25,0;463,0;69,15776935061596;357,0;447,0
67;465,0;1,0;11,0;463,0;69,15776935061596;239,0;329,0
68;465,0;1,0;25,0;463,0;69,15776935061596;357,0;447,0
69;466,0;1,0;11,0;463,0;69,15776935061596;239,0;329,0
70;466,0;1,0;25,0;463,0;69,15776935061596;357,0;447,0
71;467,0;1,0;11,0;463,0;69,15776935061596;239,0;329,0
72;467,0;1,0;25,0;463,0;69,15776935061596;357,0;447,0
73;479,0;1,0;23,0;478,0;62,595087295461845;350,0;440,0
74;481,0;1,0;23,0;478,0;62,595087295461845;350,0;440,0
75;482,0;1,0;23,0;478,0;62,595087295461845;350,0;440,0
76;494,0;1,0;22,0;489,0;53,783658534978755;338,0;428,0
77;498,0;1,0;11,0;498,0;63,434026885621186;239,0;329,0
78;498,0;1,0;23,0;498,0;63,434026885621186;350,0;440,0
79;501,0;1,0;23,0;498,0;63,434026885621186;350,0;440,0
80;540,0;1,0;22,0;540,0;46,197331085551305;338,0;428,0
81;540,0;1,0;24,0;540,0;46,197331085551305;351,0;441,0
82;541,0;1,0;22,0;540,0;46,197331085551305;338,0;428,0
83;541,0;1,0;24,0;540,0;46,197331085551305;351,0;441,0
84;542,0;1,0;22,0;540,0;46,197331085551305;338,0;428,0
85;542,0;1,0;24,0;540,0;46,197331085551305;351,0;441,0
86;542,0;1,0;35,0;542,0;51,06599442822069;439,0;529,0
87;542,0;1,0;37,0;542,0;51,06599442822069;447,0;537,0
88;543,0;1,0;22,0;540,0;46,197331085551305;338,0;428,0
89;543,0;1,0;24,0;540,0;46,197331085551305;351,0;441,0
90;543,0;1,0;26,0;543,0;56,70764627350493;409,0;499,0
91;543,0;1,0;35,0;542,0;51,06599442822069;439,0;529,0
92;543,0;1,0;36,0;543,0;56,70764627350493;439,0;529,0
93;543,0;1,0;37,0;542,0;51,06599442822069;447,0;537,0
94;544,0;1,0;22,0;540,0;46,197331085551305;338,0;428,0
95;544,0;1,0;24,0;540,0;46,197331085551305;351,0;441,0
96;544,0;1,0;26,0;543,0;56,70764627350493;409,0;499,0
97;544,0;1,0;35,0;542,0;51,06599442822069;439,0;529,0
98;544,0;1,0;36,0;543,0;56,70764627350493;439,0;529,0
99;544,0;1,0;37,0;542,0;51,06599442822069;447,0;537,0
100;545,0;1,0;22,0;540,0;46,197331085551305;338,0;428,0
101;545,0;1,0;26,0;543,0;56,70764627350493;409,0;499,0
102;545,0;1,0;35,0;542,0;51,06599442822069;439,0;529,0
103;545,0;1,0;36,0;543,0;56,70764627350493;439,0;529,0
104;545,0;1,0;37,0;542,0;51,06599442822069;447,0;537,0
105;546,0;1,0;11,0;546,0;61,43000461566919;239,0;329,0
106;546,0;1,0;23,0;546,0;61,43000461566919;350,0;440,0
107;546,0;1,0;26,0;543,0;56,70764627350493;409,0;499,0
108;546,0;1,0;35,0;542,0;51,06599442822069;439,0;529,0
109;546,0;1,0;36,0;543,0;56,70764627350493;439,0;529,0
110;546,0;1,0;37,0;542,0;51,06599442822069;447,0;537,0
111;547,0;1,0;26,0;543,0;56,70764627350493;409,0;499,0
112;547,0;1,0;35,0;542,0;51,06599442822069;439,0;529,0
113;547,0;1,0;36,0;543,0;56,70764627350493;439,0;529,0
114;547,0;1,0;37,0;542,0;51,06599442822069;447,0;537,0
115;569,0;1,0;24,0;565,0;35,91188282311097;351,0;441,0
116;570,0;1,0;24,0;565,0;35,91188282311097;351,0;441,0
117;572,0;1,0;24,0;569,0;36,034411360715566;351,0;441,0
118;573,0;1,0;24,0;569,0;36,034411360715566;351,0;441,0
119;574,0;1,0;22,0;574,0;43,4090995394449;338,0;428,0
120;574,0;1,0;24,0;569,0;36,034411360715566;351,0;441,0
121;574,0;1,0;35,0;574,0;43,4090995394449;439,0;529,0
122;574,0;1,0;37,0;574,0;43,4090995394449;447,0;537,0
123;582,0;1,0;22,0;582,0;39,90192336866051;338,0;428,0
124;582,0;1,0;35,0;582,0;39,90192336866051;439,0;529,0
125;582,0;1,0;37,0;582,0;39,90192336866051;447,0;537,0
126;583,0;1,0;35,0;582,0;39,90192336866051;439,0;529,0
127;583,0;1,0;37,0;582,0;39,90192336866051;447,0;537,0
128;587,0;1,0;22,0;582,0;39,90192336866051;338,0;428,0
129;587,0;1,0;26,0;587,0;50,18142644439742;409,0;499,0
130;587,0;1,0;35,0;582,0;39,90192336866051;439,0;529,0
131;587,0;1,0;36,0;587,0;50,18142644439742;439,0;529,0
132;587,0;1,0;37,0;582,0;39,90192336866051;447,0;537,0
133;587,0;1,0;38,0;587,0;50,18142644439742;475,0;565,0
134;588,0;1,0;26,0;587,0;50,18142644439742;409,0;499,0
135;588,0;1,0;36,0;587,0;50,18142644439742;439,0;529,0
136;589,0;1,0;26,0;587,0;50,18142644439742;409,0;499,0
137;589,0;1,0;36,0;587,0;50,18142644439742;439,0;529,0
138;590,0;1,0;22,0;587,0;50,18142644439742;338,0;428,0
139;590,0;1,0;26,0;587,0;50,18142644439742;409,0;499,0
140;590,0;1,0;36,0;587,0;50,18142644439742;439,0;529,0
141;590,0;1,0;38,0;587,0;50,18142644439742;475,0;565,0
142;591,0;1,0;22,0;587,0;50,18142644439742;338,0;428,0
143;591,0;1,0;26,0;587,0;50,18142644439742;409,0;499,0
144;591,0;1,0;36,0;587,0;50,18142644439742;439,0;529,0
145;591,0;1,0;38,0;587,0;50,18142644439742;475,0;565,0
146;592,0;1,0;22,0;587,0;50,18142644439742;338,0;428,0
147;592,0;1,0;26,0;587,0;50,18142644439742;409,0;499,0
148;592,0;1,0;36,0;587,0;50,18142644439742;439,0;529,0
149;592,0;1,0;38,0;587,0;50,18142644439742;475,0;565,0
150;598,0;1,0;39,0;598,0;52,78637593561926;504,0;594,0
151;602,0;1,0;39,0;598,0;52,78637593561926;504,0;594,0
152;606,0;1,0;40,0;606,0;54,634146227998336;509,0;599,0
153;607,0;1,0;40,0;606,0;54,634146227998336;509,0;599,0
154;610,0;1,0;11,0;610,0;55,492588863381826;239,0;329,0
155;610,0;1,0;40,0;606,0;54,634146227998336;509,0;599,0
156;611,0;1,0;11,0;610,0;55,492588863381826;239,0;329,0
157;611,0;1,0;40,0;606,0;54,634146227998336;509,0;599,0
158;611,0;1,0;41,0;611,0;56,12376729338388;462,0;552,0
159;611,0;1,0;42,0;611,0;56,12376729338388;516,0;606,0
160;614,0;1,0;39,0;609,0;51,41357147556184;504,0;594,0
161;621,0;1,0;11,0;617,0;54,58913748467293;239,0;329,0
162;621,0;1,0;40,0;617,0;54,58913748467293;509,0;599,0
163;622,0;1,0;11,0;617,0;54,58913748467293;239,0;329,0
164;622,0;1,0;41,0;622,0;56,43786075108618;462,0;552,0
165;622,0;1,0;42,0;622,0;56,43786075108618;516,0;606,0
166;624,0;1,0;11,0;621,0;54,15709853217442;239,0;329,0
167;624,0;1,0;40,0;621,0;54,15709853217442;509,0;599,0
168;625,0;1,0;11,0;621,0;54,15709853217442;239,0;329,0
169;625,0;1,0;40,0;621,0;54,15709853217442;509,0;599,0
170;625,0;1,0;41,0;622,0;56,43786075108618;462,0;552,0
171;625,0;1,0;42,0;622,0;56,43786075108618;516,0;606,0
172;626,0;1,0;11,0;621,0;54,15709853217442;239,0;329,0
173;626,0;1,0;41,0;622,0;56,43786075108618;462,0;552,0
174;627,0;1,0;43,0;627,0;56,89580302507293;521,0;611,0
175;644,0;1,0;39,0;643,0;40,24568707070703;504,0;594,0
176;645,0;1,0;39,0;643,0;40,24568707070703;504,0;594,0
177;646,0;1,0;39,0;643,0;40,24568707070703;504,0;594,0
178;647,0;1,0;39,0;643,0;40,24568707070703;504,0;594,0
179;654,0;1,0;39,0;649,0;38,42222559573748;504,0;594,0
180;655,0;1,0;40,0;655,0;47,87057372167012;509,0;599,0
181;656,0;1,0;40,0;655,0;47,87057372167012;509,0;599,0
182;658,0;1,0;11,0;658,0;53,460009561626784;239,0;329,0
183;658,0;1,0;40,0;655,0;47,87057372167012;509,0;599,0
184;658,0;1,0;41,0;658,0;53,460009561626784;462,0;552,0
185;658,0;1,0;42,0;658,0;53,460009561626784;516,0;606,0
186;659,0;1,0;11,0;658,0;53,460009561626784;239,0;329,0
187;659,0;1,0;41,0;658,0;53,460009561626784;462,0;552,0
188;659,0;1,0;42,0;658,0;53,460009561626784;516,0;606,0
189;659,0;1,0;43,0;659,0;55,16535437114476;521,0;611,0
190;660,0;1,0;11,0;658,0;53,460009561626784;239,0;329,0
191;660,0;1,0;23,0;660,0;64,99515171724977;350,0;440,0
192;660,0;1,0;40,0;655,0;47,87057372167012;509,0;599,0
193;660,0;1,0;41,0;658,0;53,460009561626784;462,0;552,0
194;660,0;1,0;42,0;658,0;53,460009561626784;516,0;606,0
195;660,0;1,0;43,0;659,0;55,16535437114476;521,0;611,0
196;660,0;1,0;44,0;660,0;64,99515171724977;532,0;622,0
197;660,0;1,0;45,0;660,0;64,99515171724977;537,0;627,0
198;660,0;1,0;46,0;660,0;64,99515171724977;470,0;560,0
199;660,0;1,0;47,0;660,0;64,99515171724977;501,0;591,0
200;660,0;1,0;52,0;660,0;64,99515171724977;552,0;642,0
201;660,0;1,0;53,0;660,0;64,99515171724977;560,0;650,0
202;660,0;1,0;54,0;660,0;64,99515171724977;561,0;651,0
203;661,0;1,0;11,0;658,0;53,460009561626784;239,0;329,0
204;661,0;1,0;23,0;660,0;64,99515171724977;350,0;440,0
205;661,0;1,0;41,0;658,0;53,460009561626784;462,0;552,0
206;661,0;1,0;42,0;658,0;53,460009561626784;516,0;606,0
207;661,0;1,0;43,0;659,0;55,16535437114476;521,0;611,0
208;661,0;1,0;44,0;660,0;64,99515171724977;532,0;622,0
209;661,0;1,0;45,0;660,0;64,99515171724977;537,0;627,0
210;661,0;1,0;46,0;660,0;64,99515171724977;470,0;560,0
211;661,0;1,0;52,0;660,0;64,99515171724977;552,0;642,0
212;661,0;1,0;53,0;660,0;64,99515171724977;560,0;650,0
213;661,0;1,0;54,0;660,0;64,99515171724977;561,0;651,0
214;662,0;1,0;11,0;658,0;53,460009561626784;239,0;329,0
215;662,0;1,0;23,0;660,0;64,99515171724977;350,0;440,0
216;662,0;1,0;25,0;662,0;67,88571832150947;357,0;447,0
217;662,0;1,0;41,0;658,0;53,460009561626784;462,0;552,0
218;662,0;1,0;42,0;658,0;53,460009561626784;516,0;606,0
219;662,0;1,0;43,0;659,0;55,16535437114476;521,0;611,0
220;662,0;1,0;44,0;660,0;64,99515171724977;532,0;622,0
221;662,0;1,0;45,0;660,0;64,99515171724977;537,0;627,0
222;662,0;1,0;46,0;660,0;64,99515171724977;470,0;560,0
223;662,0;1,0;47,0;660,0;64,99515171724977;501,0;591,0
224;662,0;1,0;52,0;660,0;64,99515171724977;552,0;642,0
225;662,0;1,0;53,0;660,0;64,99515171724977;560,0;650,0
226;662,0;1,0;54,0;660,0;64,99515171724977;561,0;651,0
227;663,0;1,0;11,0;658,0;53,460009561626784;239,0;329,0
228;663,0;1,0;23,0;660,0;64,99515171724977;350,0;440,0
229;663,0;1,0;41,0;658,0;53,460009561626784;462,0;552,0
230;663,0;1,0;42,0;658,0;53,460009561626784;516,0;606,0
231;663,0;1,0;43,0;659,0;55,16535437114476;521,0;611,0
232;663,0;1,0;44,0;660,0;64,99515171724977;532,0;622,0
233;663,0;1,0;45,0;660,0;64,99515171724977;537,0;627,0
234;663,0;1,0;46,0;660,0;64,99515171724977;470,0;560,0
235;663,0;1,0;52,0;660,0;64,99515171724977;552,0;642,0
236;663,0;1,0;53,0;660,0;64,99515171724977;560,0;650,0
237;663,0;1,0;54,0;660,0;64,99515171724977;561,0;651,0
238;664,0;1,0;44,0;660,0;64,99515171724977;532,0;622,0
239;685,0;1,0;56,0;685,0;39,77973221820885;587,0;677,0
240;686,0;1,0;56,0;685,0;39,77973221820885;587,0;677,0
241;688,0;1,0;40,0;686,0;40,69400012687011;509,0;599,0
242;688,0;1,0;56,0;685,0;39,77973221820885;587,0;677,0
243;689,0;1,0;40,0;686,0;40,69400012687011;509,0;599,0
244;689,0;1,0;56,0;685,0;39,77973221820885;587,0;677,0
245;690,0;1,0;40,0;686,0;40,69400012687011;509,0;599,0
246;690,0;1,0;56,0;685,0;39,77973221820885;587,0;677,0
247;693,0;1,0;40,0;688,0;43,933580382083804;509,0;599,0
248;696,0;1,0;11,0;696,0;54,09913892872383;239,0;329,0
249;696,0;1,0;41,0;696,0;54,09913892872383;462,0;552,0
250;696,0;1,0;42,0;696,0;54,09913892872383;516,0;606,0
251;696,0;1,0;43,0;696,0;54,09913892872383;521,0;611,0
252;696,0;1,0;44,0;696,0;54,09913892872383;532,0;622,0
253;697,0;1,0;11,0;696,0;54,09913892872383;239,0;329,0
254;697,0;1,0;42,0;696,0;54,09913892872383;516,0;606,0
255;697,0;1,0;43,0;696,0;54,09913892872383;521,0;611,0
256;698,0;1,0;11,0;696,0;54,09913892872383;239,0;329,0
257;698,0;1,0;23,0;698,0;59,59167301909037;350,0;440,0
258;698,0;1,0;41,0;696,0;54,09913892872383;462,0;552,0
259;698,0;1,0;42,0;696,0;54,09913892872383;516,0;606,0
260;698,0;1,0;43,0;696,0;54,09913892872383;521,0;611,0
261;698,0;1,0;44,0;696,0;54,09913892872383;532,0;622,0
262;698,0;1,0;45,0;698,0;59,59167301909037;537,0;627,0
263;698,0;1,0;46,0;698,0;59,59167301909037;470,0;560,0
264;698,0;1,0;52,0;698,0;59,59167301909037;552,0;642,0
265;699,0;1,0;11,0;696,0;54,09913892872383;239,0;329,0
266;699,0;1,0;41,0;696,0;54,09913892872383;462,0;552,0
267;699,0;1,0;42,0;696,0;54,09913892872383;516,0;606,0
268;699,0;1,0;43,0;696,0;54,09913892872383;521,0;611,0
269;699,0;1,0;44,0;696,0;54,09913892872383;532,0;622,0
270;699,0;1,0;45,0;698,0;59,59167301909037;537,0;627,0
271;700,0;1,0;11,0;696,0;54,09913892872383;239,0;329,0
272;700,0;1,0;40,0;695,0;44,47790605152717;509,0;599,0
273;700,0;1,0;41,0;696,0;54,09913892872383;462,0;552,0
274;700,0;1,0;42,0;696,0;54,09913892872383;516,0;606,0
275;700,0;1,0;43,0;696,0;54,09913892872383;521,0;611,0
276;700,0;1,0;44,0;696,0;54,09913892872383;532,0;622,0
277;700,0;1,0;45,0;698,0;59,59167301909037;537,0;627,0
278;701,0;1,0;11,0;696,0;54,09913892872383;239,0;329,0
279;701,0;1,0;23,0;698,0;59,59167301909037;350,0;440,0
280;701,0;1,0;42,0;696,0;54,09913892872383;516,0;606,0
281;701,0;1,0;43,0;696,0;54,09913892872383;521,0;611,0
282;701,0;1,0;44,0;696,0;54,09913892872383;532,0;622,0
283;701,0;1,0;45,0;698,0;59,59167301909037;537,0;627,0
284;701,0;1,0;46,0;698,0;59,59167301909037;470,0;560,0
285;701,0;1,0;52,0;698,0;59,59167301909037;552,0;642,0
286;701,0;1,0;53,0;701,0;61,17161515009612;560,0;650,0
287;702,0;1,0;23,0;698,0;59,59167301909037;350,0;440,0
288;702,0;1,0;46,0;698,0;59,59167301909037;470,0;560,0
289;703,0;1,0;23,0;698,0;59,59167301909037;350,0;440,0
290;703,0;1,0;46,0;698,0;59,59167301909037;470,0;560,0
291;703,0;1,0;52,0;698,0;59,59167301909037;552,0;642,0
292;703,0;1,0;53,0;701,0;61,17161515009612;560,0;650,0
293;703,0;1,0;54,0;703,0;62,568303854794934;561,0;651,0
294;704,0;1,0;54,0;703,0;62,568303854794934;561,0;651,0
295;706,0;1,0;23,0;701,0;61,17161515009612;350,0;440,0
296;706,0;1,0;52,0;701,0;61,17161515009612;552,0;642,0
297;706,0;1,0;53,0;701,0;61,17161515009612;560,0;650,0
298;708,0;1,0;47,0;708,0;65,21738403260373;501,0;591,0
299;708,0;1,0;54,0;703,0;62,568303854794934;561,0;651,0
300;711,0;1,0;47,0;708,0;65,21738403260373;501,0;591,0
301;711,0;1,0;53,0;706,0;61,180120667084815;560,0;650,0
302;711,0;1,0;54,0;708,0;65,21738403260373;561,0;651,0
303;712,0;1,0;12,0;712,0;72,50820215297028;254,0;344,0
304;712,0;1,0;25,0;712,0;72,50820215297028;357,0;447,0
305;712,0;1,0;47,0;708,0;65,21738403260373;501,0;591,0
306;712,0;1,0;48,0;712,0;72,50820215297028;504,0;594,0
307;713,0;1,0;12,0;712,0;72,50820215297028;254,0;344,0
308;713,0;1,0;25,0;712,0;72,50820215297028;357,0;447,0
309;713,0;1,0;47,0;708,0;65,21738403260373;501,0;591,0
310;713,0;1,0;48,0;712,0;72,50820215297028;504,0;594,0
311;714,0;1,0;12,0;712,0;72,50820215297028;254,0;344,0
312;714,0;1,0;48,0;712,0;72,50820215297028;504,0;594,0
313;715,0;1,0;12,0;712,0;72,50820215297028;254,0;344,0
314;715,0;1,0;25,0;712,0;72,50820215297028;357,0;447,0
