;Size;EntryBar;ExitBar;EntryPrice;ExitPrice;PnL;ReturnPct;EntryTime;ExitTime;Tag;Duration
0;274837;115;119;36,385125;40,6875;1182451,8378749995;0,11824543683716904;2000-06-16;2000-06-22;;6 days
1;-299795;139;141;37,30025;35,40625;567811,7299999995;0,05077713956340768;2000-07-21;2000-07-25;;4 days
2;-336394;172;178;34,93;32,71875;743851,2324999999;0,06330518179215572;2000-09-07;2000-09-15;;8 days
3;-395862;184;190;31,56175;29,78125;704832,291;0,056413221700317595;2000-09-25;2000-10-03;;8 days
4;-518166;242;243;25,472390625;24,5;503859,7605937496;0,03817429778442716;2000-12-15;2000-12-18;;3 days
5;457755;266;270;29,93475;31,78125;845244,6074999995;0,06168416305464386;2001-01-23;2001-01-29;;6 days
6;-503204;298;300;28,9108125;26,09375;1417557,1182499994;0,09743975545481465;2001-03-09;2001-03-13;;4 days
7;468639;337;340;34,068;35,619998931884766;727327,2274395457;0,04555591557722116;2001-05-04;2001-05-09;;5 days
8;-481404;355;358;34,675508934020996;35,380001068115234;-339145,33132150257;-0,020316706394553963;2001-05-31;2001-06-05;;5 days
9;467253;374;379;34,999860305786136;35,11000061035156;51463,38772910926;0,003146878404746589;2001-06-27;2001-07-05;;8 days
10;-481350;380;383;34,081701522827146;32,10499954223633;951485,49835739;0,05799892294892817;2001-07-06;2001-07-11;;5 days
11;-526616;395;409;32,95895152282715;31,420000076293945;810436,4549675299;0,04669297339350542;2001-07-27;2001-08-16;;20 days
12;715929;431;438;25,37565076446533;26,239999771118164;618812,5199839566;0,03406214148656317;2001-09-24;2001-10-03;;9 days
13;647952;447;449;28,992869464874268;28,170000076293945;-533179,8660693971;-0,028381785030876405;2001-10-16;2001-10-18;;2 days
14;634716;450;452;28,75740076446533;30,235000610351562;937856,2637815255;0,05138155071761763;2001-10-19;2001-10-23;;4 days
15;-569583;485;492;33,69247832489014;34,310001373291016;-351730,63047731644;-0,018328216833627398;2001-12-10;2001-12-19;;9 days
16;-556506;499;502;33,852158172607425;34,625;-430091,1139949326;-0,022829913042824668;2001-12-31;2002-01-04;;4 days
17;-549798;512;513;33,48289923858643;33,30500030517578;97808,47779130611;0,005313128117819366;2002-01-18;2002-01-22;;4 days
18;-580398;518;525;31,886100761413573;30,149999618530273;1007629,6311271812;0,054446956555572745;2002-01-29;2002-02-07;;9 days
19;-652758;532;542;29,89508992385864;31,5;-1047617,8914818808;-0,053684738203798155;2002-02-19;2002-03-05;;14 days
20;585910;543;550;31,517909923553468;30,5;-596403,6033092124;-0,032296238107869524;2002-03-06;2002-03-15;;9 days
21;-623470;562;577;28,662559314727783;26,924999237060547;1083316,581623192;0,06062124664402946;2002-04-03;2002-04-24;;21 days
22;737887;587;588;25,6862702293396;27,200000762939453;1116962,082246396;0,05893150387676083;2002-05-08;2002-05-09;;1 days
23;746014;598;601;26,903700382232667;25,825000762939453;-804725,017787408;-0,0400948421208851;2002-05-23;2002-05-29;;6 days
24;762536;606;610;25,265430152893067;26,6200008392334;1032908,9128792107;0,053613600803278816;2002-06-05;2002-06-11;;6 days
25;770566;611;612;26,342580917358397;27,420000076293945;830222,5716243297;0,040900288484094105;2002-06-12;2002-06-13;;1 days
26;794378;627;628;26,598090076446532;27,204999923706055;482115,8306463253;0,022817798026669722;2002-07-05;2002-07-08;;3 days
27;-811480;632;638;26,631629467010498;24,475000381469727;1750061,3703346252;0,08097998991057831;2002-07-12;2002-07-22;;10 days
