;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;cenario;return_ann;sharpe_ratio;max_drawdown;trades
0;14;2;50;2;1;3;6;0,02;0,05;AEP;in_sample_1_1x;29,522460714094056;1,272092102619402;-20,41853433293025;102,0
1;14;2;100;2;1;3;6;0,02;0,05;AEP;in_sample_1_1x;26,74515725979283;1,1631735222555653;-23,90058595985166;80,0
2;14;3;50;2;1;3;6;0,02;0,05;AEP;in_sample_1_1x;31,11216026414656;1,3874760390597065;-17,68953961987565;80,0
3;14;3;100;2;1;3;6;0,02;0,05;AEP;in_sample_1_1x;18,05403421105605;0,9606435119965457;-18,36800676486795;68,0
4;14;4;50;2;1;3;6;0,02;0,05;AEP;in_sample_1_1x;24,539324875277302;1,3056157136701105;-15,631231666489764;68,0
5;14;4;100;2;1;3;6;0,02;0,05;AEP;in_sample_1_1x;14,28419704479511;0,8565583670739497;-19,451522253332985;62,0
6;21;2;50;2;1;3;6;0,02;0,05;AEP;in_sample_1_1x;32,86608365424677;1,27814456887008;-15,681425966402418;101,0
7;21;2;100;2;1;3;6;0,02;0,05;AEP;in_sample_1_1x;21,105115626182513;1,0388462925323174;-18,742475194030817;73,0
8;21;3;50;2;1;3;6;0,02;0,05;AEP;in_sample_1_1x;36,923823400037456;1,4958381547328887;-15,68142316664205;86,0
9;21;3;100;2;1;3;6;0,02;0,05;AEP;in_sample_1_1x;22,11194225670119;1,1099905005911983;-20,831824944289956;65,0
10;21;4;50;2;1;3;6;0,02;0,05;AEP;in_sample_1_1x;38,92325177543887;1,6931719643795728;-12,44115556877128;67,0
11;21;4;100;2;1;3;6;0,02;0,05;AEP;in_sample_1_1x;17,79537356608327;1,0541929969395383;-19,828354554171103;55,0
12;28;2;50;2;1;3;6;0,02;0,05;AEP;in_sample_1_1x;30,69593486916615;1,1439303845349766;-17,559891850001197;93,0
13;28;2;100;2;1;3;6;0,02;0,05;AEP;in_sample_1_1x;28,03811427273053;1,1830047846329301;-13,355653334866401;77,0
14;28;3;50;2;1;3;6;0,02;0,05;AEP;in_sample_1_1x;29,693937839799034;1,195949223429607;-14,686119297367961;79,0
15;28;3;100;2;1;3;6;0,02;0,05;AEP;in_sample_1_1x;28,354085471263723;1,3059272477953456;-15,827279313759114;66,0
16;28;4;50;2;1;3;6;0,02;0,05;AEP;in_sample_1_1x;22,600983084191206;1,0602363584654821;-17,637523218485786;67,0
17;28;4;100;2;1;3;6;0,02;0,05;AEP;in_sample_1_1x;20,532719350576013;1,1092578504150703;-14,650643057270695;57,0
18;35;2;50;2;1;3;6;0,02;0,05;AEP;in_sample_1_1x;40,48644166238877;1,589223064583971;-16,534737579936188;100,0
19;35;2;100;2;1;3;6;0,02;0,05;AEP;in_sample_1_1x;19,330595558659635;0,9708399725264416;-17,244681440578447;81,0
20;35;3;50;2;1;3;6;0,02;0,05;AEP;in_sample_1_1x;34,86337287155945;1,315979733282665;-16,124954230611166;81,0
21;35;3;100;2;1;3;6;0,02;0,05;AEP;in_sample_1_1x;18,873680580383056;0,8807773391885885;-20,985360101745943;70,0
22;35;4;50;2;1;3;6;0,02;0,05;AEP;in_sample_1_1x;31,60859900009474;1,2555932629943263;-13,487738854566867;67,0
23;35;4;100;2;1;3;6;0,02;0,05;AEP;in_sample_1_1x;19,533182703746487;0,9835178010884158;-11,281347242821882;58,0
24;42;2;50;2;1;3;6;0,02;0,05;AEP;in_sample_1_1x;43,984472371195025;1,6730257242327418;-15,276598957731725;100,0
