;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;return_ann;sharpe_ratio;max_drawdown;trades;Pontos_return_ann;Pontos_sharpe_ratio;Pontos_max_drawdown;Pontos_trades;Pontos_ponderados
0;14;2;50;2;1;3;6;0,02;0,05;CMI;42,55169709602267;1,3281601887949936;-19,273806385078966;108,66666666666667;7,481154308464804;7,317341474216902;5,694808501812565;10,0;7,538993482234398
1;14;2;50;2;1;4;6;0,02;0,05;CMI;44,99699189195484;1,3599205394738998;-19,81502352310976;106,33333333333333;8,077441202698056;7,677656267150539;5,356931782129031;9,629629629629628;7,7963139363077
2;14;2;100;2;1;3;6;0,02;0,05;CMI;37,31154498537206;1,2569226204321617;-20,65943340101749;83,66666666666667;6,203339448445633;6,509165583678098;4,829774714165661;6,031746031746032;6,06998146551497
3;14;2;100;2;1;4;6;0,02;0,05;CMI;32,40964522256394;1,0817651376580553;-22,90055825459163;81,0;5,008007666662112;4,522039157569537;3,4306617505924537;5,608465608465608;4,729604096311925
4;14;3;50;2;1;3;6;0,02;0,05;CMI;33,86905860288878;1,2603013736869693;-20,038808920340262;88,66666666666667;5,363886668819237;6,547496860044904;5,217224683783195;6,825396825396825;5,88989646224679
5;14;3;50;2;1;4;6;0,02;0,05;CMI;36,77062297437564;1,2978839119870376;-15,400752735675574;85,33333333333333;6,071435227123924;6,973863200971466;8,112719115249767;6,296296296296295;6,65300678498011
6;14;3;100;2;1;3;6;0,02;0,05;CMI;22,071034439487338;0,8678310006798172;-21,931972986970035;69,0;2,4869299934169575;2,0949993856835825;4,03534033514083;3,7037037037037037;2,7699761129232243
7;14;3;100;2;1;4;6;0,02;0,05;CMI;26,75770875345295;0,9997800246011157;-20,614992797809478;68,66666666666667;3,6297788947462486;3,5919345333038004;4,857518560724761;3,650793650793651;3,7973597089092515
8;14;4;50;2;1;3;6;0,02;0,05;CMI;28,574508925614044;1,1777343748151599;-18,562915875816245;74,33333333333333;4,0728069230651816;5,6107908581994455;6,138610695877935;4,550264550264549;4,875553961676703
9;14;4;50;2;1;4;6;0,02;0,05;CMI;29,052313934170286;1,1594387720207049;-18,56629513332093;72,33333333333333;4,18932001795871;5,403230922884929;6,136501057508381;4,232804232804232;4,820532455708372
10;14;4;100;2;1;3;6;0,02;0,05;CMI;24,473203840655373;1,0589081528713236;-16,484309379909657;59,666666666666664;3,072700729128437;4,26273126063286;7,436264992091012;2,222222222222222;3,9145788461377515
11;14;4;100;2;1;4;6;0,02;0,05;CMI;26,757048023624673;1,1243967567229216;-18,265529245924014;58,333333333333336;3,629617775302538;5,0056863046391395;6,324266344831186;2,010582010582011;4,176439184371299
12;21;2;50;2;1;3;6;0,02;0,05;CMI;45,5878643058442;1,4011737693475321;-16,600562613322193;104,33333333333333;8,221525865681148;8,14566586597508;7,363689202453329;9,31216931216931;8,233109691945177
13;21;2;50;2;1;4;6;0,02;0,05;CMI;38,27577438537772;1,2386209017032739;-16,2007948759094;101,66666666666667;6,438467480948801;6,301536264317069;7,613260404584513;8,88888888888889;6,917232037850563
14;21;2;100;2;1;3;6;0,02;0,05;CMI;17,363600828540175;0,6831649351551126;-25,275077589158652;80,0;1,3390189225921167;0,0;1,9482718792964926;5,449735449735449;1,6307234424011845
15;21;2;100;2;1;4;6;0,02;0,05;CMI;20,603424946339132;0,8076213105255775;-17,936311584915824;76,0;2,1290523632545875;1,4119325562316054;6,529793804231417;4,814814814814815;2,936518688753315
16;21;3;50;2;1;3;6;0,02;0,05;CMI;25,420634194435255;0,9941048833974292;-16,048463051553956;86,33333333333333;3,3037323021303977;3,5275511973529934;7,708359715932811;6,455026455026454;4,447097924579492
17;21;3;50;2;1;4;6;0,02;0,05;CMI;28,38279816047408;1,051323693132088;-16,19268478930159;83,33333333333333;4,026058115139628;4,176687089770755;7,61832345463752;5,978835978835978;4,861243994061985
18;21;3;100;2;1;3;6;0,02;0,05;CMI;16,13563906232843;0,7709454203192503;-15,330227406463463;66,66666666666667;1,0395795629575855;0,9958519556440821;8,156747408543454;3,333333333333334;2,3715033345768157
19;21;3;100;2;1;4;6;0,02;0,05;CMI;17,213906561328475;0,7759289686061455;-18,696987584152193;65,33333333333333;1,3025158678975761;1,052389309000826;6,054911001556095;3,1216931216931205;2,1698471921347995
20;21;4;50;2;1;3;6;0,02;0,05;CMI;23,77793613890454;1,0322531256598968;-17,980195302299276;68,66666666666667;2,9031592001367743;3,9603353359964104;6,502397616204208;3,650793650793651;3,826191362771572
21;21;4;50;2;1;4;6;0,02;0,05;CMI;29,307951248840638;1,2292772846941074;-17,143826696641636;65,0;4,251657360952483;6,1955348079117085;7,024534594264606;3,068783068783069;5,03419419453265
