;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;cenario;return_ann;sharpe_ratio;max_drawdown;trades
0;14;2;50;2;1;3;6;0,02;0,05;DHR;in_sample_1_1x;39,931329590733576;1,506316652526905;-14,596120757197006;112,0
1;14;2;100;2;1;3;6;0,02;0,05;DHR;in_sample_1_1x;26,27042447727479;1,1480967339936767;-17,584092360436177;92,0
2;14;3;50;2;1;3;6;0,02;0,05;DHR;in_sample_1_1x;29,60737853650639;1,2918931901695987;-18,414995648922496;93,0
3;14;3;100;2;1;3;6;0,02;0,05;DHR;in_sample_1_1x;24,73154439418188;1,2359374502790272;-12,23122579760394;77,0
4;14;4;50;2;1;3;6;0,02;0,05;DHR;in_sample_1_1x;30,465979993095104;1,522672217481461;-12,826622600416993;74,0
5;14;4;100;2;1;3;6;0,02;0,05;DHR;in_sample_1_1x;18,696618289630763;1,0637178554125521;-14,177334049265355;67,0
6;21;2;50;2;1;3;6;0,02;0,05;DHR;in_sample_1_1x;37,22228166060164;1,3673946903353522;-16,856959727260623;108,0
7;21;2;100;2;1;3;6;0,02;0,05;DHR;in_sample_1_1x;24,232500543390568;1,0145390761993098;-13,133370391294841;89,0
8;21;3;50;2;1;3;6;0,02;0,05;DHR;in_sample_1_1x;19,378089351983995;0,9010332078488346;-15,61921027146469;87,0
9;21;3;100;2;1;3;6;0,02;0,05;DHR;in_sample_1_1x;25,893845835526875;1,1312846082055388;-12,09661868812616;74,0
10;21;4;50;2;1;3;6;0,02;0,05;DHR;in_sample_1_1x;22,198258510814583;1,1285129607084161;-12,36421906835189;77,0
11;21;4;100;2;1;3;6;0,02;0,05;DHR;in_sample_1_1x;16,785312505614836;0,942013843838826;-15,332424579072946;67,0
12;28;2;50;2;1;3;6;0,02;0,05;DHR;in_sample_1_1x;34,60269265391618;1,2632861588821407;-16,9221169835169;108,0
13;28;2;100;2;1;3;6;0,02;0,05;DHR;in_sample_1_1x;18,852583998819618;0,8483276609157833;-27,30731440452714;89,0
14;28;3;50;2;1;3;6;0,02;0,05;DHR;in_sample_1_1x;33,42015051854466;1,3309263833626284;-21,30651773876402;89,0
15;28;3;100;2;1;3;6;0,02;0,05;DHR;in_sample_1_1x;19,259917878641364;0,9199553251839141;-21,77134593855238;75,0
16;28;4;50;2;1;3;6;0,02;0,05;DHR;in_sample_1_1x;15,639006192244075;0,7854916285988983;-18,07841297641366;77,0
17;28;4;100;2;1;3;6;0,02;0,05;DHR;in_sample_1_1x;16,306100621589902;0,871901679948236;-17,36014079669671;67,0
18;35;2;50;2;1;3;6;0,02;0,05;DHR;in_sample_1_1x;40,39415978812837;1,4195991769464407;-10,178405924028766;98,0
19;35;2;100;2;1;3;6;0,02;0,05;DHR;in_sample_1_1x;24,48301142586715;1,138855334073192;-12,948649802744406;83,0
20;35;3;50;2;1;3;6;0,02;0,05;DHR;in_sample_1_1x;33,22083541570018;1,304931869474064;-14,07837480265287;86,0
21;35;3;100;2;1;3;6;0,02;0,05;DHR;in_sample_1_1x;26,70121308504234;1,2250662950725406;-16,779032464903633;74,0
22;35;4;50;2;1;3;6;0,02;0,05;DHR;in_sample_1_1x;24,16321323360893;1,1230492191173411;-10,315786080267475;70,0
23;35;4;100;2;1;3;6;0,02;0,05;DHR;in_sample_1_1x;24,41165375998997;1,1931312552380304;-16,143618051101083;67,0
24;42;2;50;2;1;3;6;0,02;0,05;DHR;in_sample_1_1x;18,204151279582035;0,8441382509093234;-23,490593464306176;95,0
25;42;2;100;2;1;3;6;0,02;0,05;DHR;in_sample_1_1x;10,30650314934418;0,5405493178650395;-26,444130186410277;80,0
26;42;3;50;2;1;3;6;0,02;0,05;DHR;in_sample_1_1x;18,816610475688456;0,8666701493033884;-18,66147305607845;84,0
27;42;3;100;2;1;3;6;0,02;0,05;DHR;in_sample_1_1x;9,96925855026982;0,5638216795302803;-30,491884007225543;68,0
28;42;4;50;2;1;3;6;0,02;0,05;DHR;in_sample_1_1x;5,788989407939571;0,32836761076435567;-24,36718689137355;72,0
29;42;4;100;2;1;3;6;0,02;0,05;DHR;in_sample_1_1x;12,310314328847749;0,6960904887545866;-22,35847081721237;62,0
