;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;cenario;return_ann;sharpe_ratio;max_drawdown;trades
0;14;2;50;2;1;3;6;0,02;0,05;ITW;in_sample_1_1x;43,72407617573935;1,6239310011437775;-11,749867941287029;106,0
1;14;2;100;2;1;3;6;0,02;0,05;ITW;in_sample_1_1x;17,03103697756174;0,8492421815093395;-19,860687943096533;83,0
2;14;3;50;2;1;3;6;0,02;0,05;ITW;in_sample_1_1x;27,69075790154032;1,3401976567555893;-11,55776271297051;83,0
3;14;3;100;2;1;3;6;0,02;0,05;ITW;in_sample_1_1x;18,926292384775746;1,017847069833799;-18,94513398640617;71,0
4;14;4;50;2;1;3;6;0,02;0,05;ITW;in_sample_1_1x;22,53187674245869;1,1460968878662239;-13,053912945022484;71,0
5;14;4;100;2;1;3;6;0,02;0,05;ITW;in_sample_1_1x;21,002287551816433;1,1756780394042008;-16,334545728285256;63,0
6;21;2;50;2;1;3;6;0,02;0,05;ITW;in_sample_1_1x;15,064699245996316;0,7586164513501906;-22,242794156117974;96,0
7;21;2;100;2;1;3;6;0,02;0,05;ITW;in_sample_1_1x;17,801974619866545;0,9105194442448582;-15,805214807461121;87,0
8;21;3;50;2;1;3;6;0,02;0,05;ITW;in_sample_1_1x;12,0676099874085;0,6609028488429746;-28,7860199685285;83,0
9;21;3;100;2;1;3;6;0,02;0,05;ITW;in_sample_1_1x;13,79461183334505;0,7848445349108311;-15,805216842790982;75,0
10;21;4;50;2;1;3;6;0,02;0,05;ITW;in_sample_1_1x;14,323992912596562;0,7812672632207555;-22,278183176098977;74,0
11;21;4;100;2;1;3;6;0,02;0,05;ITW;in_sample_1_1x;11,056971202220955;0,6562174627384861;-18,513484627813614;66,0
12;28;2;50;2;1;3;6;0,02;0,05;ITW;in_sample_1_1x;26,86823160252869;1,1622497798467248;-21,319483453437037;97,0
13;28;2;100;2;1;3;6;0,02;0,05;ITW;in_sample_1_1x;29,53831034410037;1,3881269219387466;-22,670846891876216;73,0
14;28;3;50;2;1;3;6;0,02;0,05;ITW;in_sample_1_1x;26,91451329566137;1,2521332762827966;-23,459996483187005;84,0
15;28;3;100;2;1;3;6;0,02;0,05;ITW;in_sample_1_1x;23,296071046498447;1,2324149771892738;-25,898686919920934;67,0
16;28;4;50;2;1;3;6;0,02;0,05;ITW;in_sample_1_1x;17,998475600846685;0,9367906095031667;-24,947425156505233;78,0
17;28;4;100;2;1;3;6;0,02;0,05;ITW;in_sample_1_1x;20,02506899672376;1,1146579331763373;-24,93070592754175;63,0
18;35;2;50;2;1;3;6;0,02;0,05;ITW;in_sample_1_1x;34,44887246816999;1,4308774996948417;-15,863967233967657;97,0
19;35;2;100;2;1;3;6;0,02;0,05;ITW;in_sample_1_1x;24,06932559272199;1,1786318270297143;-17,08238807413791;77,0
20;35;3;50;2;1;3;6;0,02;0,05;ITW;in_sample_1_1x;26,271119914218822;1,2812801107311336;-18,615661966087828;80,0
21;35;3;100;2;1;3;6;0,02;0,05;ITW;in_sample_1_1x;25,658918904967344;1,3224532104403623;-12,775053533599756;69,0
22;35;4;50;2;1;3;6;0,02;0,05;ITW;in_sample_1_1x;19,821239467859385;1,030730593614843;-22,510306146986437;75,0
23;35;4;100;2;1;3;6;0,02;0,05;ITW;in_sample_1_1x;20,52857228688081;1,114111015899854;-18,411068991067815;66,0
24;42;2;50;2;1;3;6;0,02;0,05;ITW;in_sample_1_1x;24,675752519008665;1,1124793409048979;-18,7927929596566;94,0
25;42;2;100;2;1;3;6;0,02;0,05;ITW;in_sample_1_1x;13,064075539587039;0,678941378409909;-26,637367545726352;81,0
26;42;3;50;2;1;3;6;0,02;0,05;ITW;in_sample_1_1x;24,264111266878132;1,1228531448479986;-14,82641969050309;79,0
27;42;3;100;2;1;3;6;0,02;0,05;ITW;in_sample_1_1x;20,7434972191894;1,0667398222346383;-19,84679601617274;69,0
28;42;4;50;2;1;3;6;0,02;0,05;ITW;in_sample_1_1x;16,284120241659593;0,8784413681846751;-25,87205148157974;69,0
29;42;4;100;2;1;3;6;0,02;0,05;ITW;in_sample_1_1x;14,287008968690508;0,8284766795568682;-16,713420727476482;63,0
30;49;2;50;2;1;3;6;0,02;0,05;ITW;in_sample_1_1x;34,780166281360955;1,557245349618853;-10,89573862499611;96,0
31;49;2;100;2;1;3;6;0,02;0,05;ITW;in_sample_1_1x;36,22113748735407;1,681648019927129;-9,56519617243533;70,0
32;49;3;50;2;1;3;6;0,02;0,05;ITW;in_sample_1_1x;28,756894818481783;1,4347236425214422;-12,39763226379501;81,0
33;49;3;100;2;1;3;6;0,02;0,05;ITW;in_sample_1_1x;28,317076931371577;1,5285511647120291;-9,56519617243533;66,0
34;49;4;50;2;1;3;6;0,02;0,05;ITW;in_sample_1_1x;26,012664743037273;1,3432908000646653;-12,39763226379501;73,0
35;49;4;100;2;1;3;6;0,02;0,05;ITW;in_sample_1_1x;28,575118066005412;1,5431438587760222;-9,565194926564136;62,0
36;56;2;50;2;1;3;6;0,02;0,05;ITW;in_sample_1_1x;36,027881103581684;1,5829079540951394;-11,037851129874266;84,0
37;56;2;100;2;1;3;6;0,02;0,05;ITW;in_sample_1_1x;21,22424854791496;1,1669630020617612;-13,254907391237747;71,0
38;56;3;50;2;1;3;6;0,02;0,05;ITW;in_sample_1_1x;20,518340233842693;1,088215891088394;-19,13177464219644;74,0
39;56;3;100;2;1;3;6;0,02;0,05;ITW;in_sample_1_1x;20,179431192850707;1,1564352455529336;-26,145629835189954;63,0
40;56;4;50;2;1;3;6;0,02;0,05;ITW;in_sample_1_1x;20,99170265824497;1,200895493700497;-17,39416988442709;63,0
41;56;4;100;2;1;3;6;0,02;0,05;ITW;in_sample_1_1x;14,782467883747108;0,8656488548004061;-26,481897603159766;56,0
42;63;2;50;2;1;3;6;0,02;0,05;ITW;in_sample_1_1x;29,92272159153133;1,5200308991458555;-8,85866392533562;81,0
43;63;2;100;2;1;3;6;0,02;0,05;ITW;in_sample_1_1x;26,27000151176837;1,4061697625092446;-17,59101795335576;68,0
44;63;3;50;2;1;3;6;0,02;0,05;ITW;in_sample_1_1x;36,77115023864943;1,817636048274672;-10,079337651915987;71,0
45;63;3;100;2;1;3;6;0,02;0,05;ITW;in_sample_1_1x;27,68468886427964;1,4170531680575733;-23,709273371489626;65,0
46;63;4;50;2;1;3;6;0,02;0,05;ITW;in_sample_1_1x;32,21268376689175;1,714822665657649;-10,07934508641679;64,0
47;63;4;100;2;1;3;6;0,02;0,05;ITW;in_sample_1_1x;27,855285574856214;1,5488619923921019;-12,786374414520896;60,0
48;14;2;50;2;1;4;6;0,02;0,05;ITW;in_sample_1_1x;37,85681178929716;1,4864784771554223;-15,204242718420991;104,0
49;14;2;100;2;1;4;6;0,02;0,05;ITW;in_sample_1_1x;16,005366806458497;0,8541582281753874;-20,638315517594563;81,0
50;14;3;50;2;1;4;6;0,02;0,05;ITW;in_sample_1_1x;21,325976739341268;1,0707792456794252;-16,436531489396433;81,0
51;14;3;100;2;1;4;6;0,02;0,05;ITW;in_sample_1_1x;16,471256336355577;0,9382675393102227;-18,029306685845825;68,0
52;14;4;50;2;1;4;6;0,02;0,05;ITW;in_sample_1_1x;17,541710535250598;0,9459739969500841;-15,418138344274224;72,0
53;14;4;100;2;1;4;6;0,02;0,05;ITW;in_sample_1_1x;19,383422275649597;1,1349144074811024;-15,801177980827397;61,0
54;21;2;50;2;1;4;6;0,02;0,05;ITW;in_sample_1_1x;15,522712559624164;0,770625405457536;-23,85066173484429;94,0
