;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;return_ann;sharpe_ratio;max_drawdown;trades;Pontos_return_ann;Pontos_sharpe_ratio;Pontos_max_drawdown;Pontos_trades;Pontos_ponderados
0;14;2;50;2;1;3;6;0,02;0,05;PNC;31,38526416519102;1,256010894116723;-15,488122987253055;96,0;9,077462938279494;9,172832886170122;9,266444747119634;10,0;9,263499904899765
1;14;2;50;2;1;4;6;0,02;0,05;PNC;29,473606948744102;1,2090864144734474;-15,95668847924906;91,66666666666667;8,513994831791262;8,836220371744002;9,064096750594175;9,248554913294798;8,78958241467868
2;14;2;100;2;1;3;6;0,02;0,05;PNC;14,911095948781771;0,6824833957801489;-20,41122982459275;75,33333333333333;4,22164030909398;5,0586363138217125;7,140422190543973;6,416184971098265;5,191257245223944
3;14;2;100;2;1;4;6;0,02;0,05;PNC;16,19334999456554;0,6610673207291028;-23,40077653727163;71,33333333333333;4,599589479582578;4,905008209112315;5,849399274509424;5,722543352601155;5,025818212011849
4;14;3;50;2;1;3;6;0,02;0,05;PNC;26,43162051608195;1,193602716472;-14,210683770439593;80,0;7,617357965920059;8,725148143420872;9,818101389831726;7,22543352601156;8,192272157206459
5;14;3;50;2;1;4;6;0,02;0,05;PNC;24,744837635218754;1,1276249679732449;-16,426030617923377;77,0;7,120172409974368;8,25185710242959;8,861413362534236;6,705202312138728;7,632978158493607
6;14;3;100;2;1;3;6;0,02;0,05;PNC;16,083299611902728;0,7879115075668423;-14,560533233421822;65,33333333333333;4,56715171814511;5,814924333838204;9,66702040087882;4,682080924855491;5,668629306835149
7;14;3;100;2;1;4;6;0,02;0,05;PNC;16,13331528966412;0,774664442817135;-17,021981961621155;62,333333333333336;4,581894026023568;5,719896582692888;8,604054332721326;4,1618497109826595;5,4216256124514945
8;14;4;50;2;1;3;6;0,02;0,05;PNC;24,014470191025413;1,1367838631824154;-15,35526082802563;71,0;6,9048938771497586;8,317558390310914;9,323820700306442;5,664739884393063;7,476908428110087
9;14;4;50;2;1;4;6;0,02;0,05;PNC;21,25651695654523;0,9866937453694616;-17,47656448109392;68,33333333333333;6,0919768575891045;7,24088769877409;8,407744822861828;5,202312138728323;6,623966133129379
10;14;4;100;2;1;3;6;0,02;0,05;PNC;14,883356258031574;0,7761142812253384;-15,473758006170343;56,0;4,213463931610032;5,730296991089678;9,272648202542335;3,063583815028901;5,20531682779724
11;14;4;100;2;1;4;6;0,02;0,05;PNC;15,220927649790402;0,7661732600413318;-16,895783179603196;54,333333333333336;4,312964360495749;5,658985126533044;8,658552735061003;2,7745664739884393;5,098568934800396
12;21;2;50;2;1;3;6;0,02;0,05;PNC;33,79724176225346;1,3473342757021305;-19,46030063029514;96,0;9,788402346148255;9,827940696316407;7,551076881490209;10,0;9,510309330366827
13;21;2;50;2;1;4;6;0,02;0,05;PNC;30,147705436365328;1,1804312303956486;-18,263749648607273;90,33333333333333;8,71268787944574;8,630662555501846;8,067802287054596;9,017341040462426;8,640647439551135
14;21;2;100;2;1;3;6;0,02;0,05;PNC;29,183405582527342;1,1644506812490107;-18,980656974077068;74,0;8,428456894908217;8,516026168033012;7,758208935684889;6,184971098265896;8,03722900782021
15;21;2;100;2;1;4;6;0,02;0,05;PNC;26,351801634593045;1,0906282191131844;-19,487140136218233;73,66666666666667;7,593831052398316;7,986461113938083;7,539486356058777;6,127167630057804;7,488724195883956
16;21;3;50;2;1;3;6;0,02;0,05;PNC;22,556644302161683;1,0173193074505529;-21,323140081078947;82,33333333333333;6,475194249977933;7,460580011532784;6,746617660413159;7,630057803468207;6,960488319554389
17;21;3;50;2;1;4;6;0,02;0,05;PNC;23,958834860721073;1,010828838433176;-20,03610144910073;79,66666666666667;6,8884951556892755;7,4140206652735845;7,30241976936121;7,1676300578034695;7,137653803539953
18;21;3;100;2;1;3;6;0,02;0,05;PNC;22,167577025314852;1,082846315686296;-17,625210765849157;63,0;6,360515216574193;7,93063766955554;8,343552562815004;4,277456647398844;6,794832885578216
19;21;3;100;2;1;4;6;0,02;0,05;PNC;18,616261536232038;0,932763293137933;-19,175671885836483;63,333333333333336;5,3137517084725365;6,854017875862925;7,673992583091337;4,335260115606936;5,951220510834532
20;21;4;50;2;1;3;6;0,02;0,05;PNC;18,900614113307466;0,8755177066503367;-19,50691340643859;70,0;5,397565692905132;6,443366954342281;7,530947354185631;5,491329479768786;6,0145296887649105
21;21;4;50;2;1;4;6;0,02;0,05;PNC;20,213674785700807;0,9177644680938261;-21,708244070072208;69,33333333333333;5,784595231680283;6,746423881216299;6,5803121557230835;5,375722543352601;6,114666879507019
22;21;4;100;2;1;3;6;0,02;0,05;PNC;16,293362824613443;0,8891195705148806;-18,005465511315567;55,666666666666664;4,629068634886562;6,540939855120991;8,17934118312791;3,0057803468208086;5,450601020692912
23;21;4;100;2;1;4;6;0,02;0,05;PNC;14,163010593174684;0,816603411569853;-19,23389999273698;56,666666666666664;4,001139355686152;6,020745560275827;7,648847025055051;3,179190751445086;4,981849566301464
24;28;2;50;2;1;3;6;0,02;0,05;PNC;32,1151271356377;1,2503977384255893;-15,913280835519158;85,33333333333333;9,292592775582566;9,132566942564107;9,082842155223142;8,15028901734104;9,05372048349144
25;28;2;50;2;1;4;6;0,02;0,05;PNC;31,979292501942385;1,270511395738382;-17,96772983371926;83,33333333333333;9,252555009823451;9,276852160297675;8,195637173527492;7,803468208092485;8,901496390240812
26;28;2;100;2;1;3;6;0,02;0,05;PNC;34,21536611687783;1,2899379584995074;-13,789471733600067;72,66666666666667;9,911646061784;9,416208508783393;10,0;5,9537572254335265;9,217301775478902
27;28;2;100;2;1;4;6;0,02;0,05;PNC;34,515121225724705;1,321462734302038;-13,82920729200699;68,66666666666667;10,0;9,642351326568061;9,982840369656309;5,260115606936417;9,21823694710412
28;28;3;50;2;1;3;6;0,02;0,05;PNC;31,024221990271883;1,3713196979521074;-15,831503384383149;71,66666666666667;8,971044408370565;10,0;9,118157396488224;5,78034682080925;8,830233920344167
29;28;3;50;2;1;4;6;0,02;0,05;PNC;26,58371860505566;1,2266974358629528;-16,874933488216303;70,33333333333333;7,662189445882657;8,962552943497583;8,667556584794665;5,549132947976878;7,875480536773526
30;28;3;100;2;1;3;6;0,02;0,05;PNC;33,68694096123157;1,229621849252764;-14,354971355512609;65,0;9,755890772963884;8,983531207973806;9,755791415534109;4,624277456647398;8,802114801002967
