;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;cenario;return_ann;sharpe_ratio;max_drawdown;trades
0;14;1;50;2;2;3;6;0,02;0,05;CVS;in_sample_1_1x;28,555919419427322;0,8753125032278835;-31,322453280380536;139,0
1;14;1;100;2;2;3;6;0,02;0,05;CVS;in_sample_1_1x;2,734464962170735;0,11662671725464688;-46,14475472820819;105,0
2;21;1;50;2;2;3;6;0,02;0,05;CVS;in_sample_1_1x;26,526634601444577;0,8570746760324894;-29,28304961779491;125,0
3;21;1;100;2;2;3;6;0,02;0,05;CVS;in_sample_1_1x;2,4506978294416726;0,1178160811572628;-43,25776648409685;93,0
4;28;1;50;2;2;3;6;0,02;0,05;CVS;in_sample_1_1x;45,68488998527058;1,2324768902742442;-19,872967602371073;121,0
5;28;1;100;2;2;3;6;0,02;0,05;CVS;in_sample_1_1x;18,735923185798352;0,7112359650601824;-20,35882412252744;95,0
6;35;1;50;2;2;3;6;0,02;0,05;CVS;in_sample_1_1x;54,6900715084643;1,4302847394479747;-14,449075329302374;118,0
7;35;1;100;2;2;3;6;0,02;0,05;CVS;in_sample_1_1x;12,617338370543596;0,49453584415891444;-31,434649350945488;103,0
8;42;1;50;2;2;3;6;0,02;0,05;CVS;in_sample_1_1x;47,06852776025126;1,2622288127919286;-22,262785539885975;113,0
9;42;1;100;2;2;3;6;0,02;0,05;CVS;in_sample_1_1x;20,4491526454035;0,7944650606561886;-33,93641070557424;98,0
10;49;1;50;2;2;3;6;0,02;0,05;CVS;in_sample_1_1x;38,753572584100795;1,1050453283388901;-17,880306389139577;120,0
11;49;1;100;2;2;3;6;0,02;0,05;CVS;in_sample_1_1x;20,792304770197422;0,7934442383461191;-31,032210424812334;88,0
12;56;1;50;2;2;3;6;0,02;0,05;CVS;in_sample_1_1x;38,392917599712575;1,1493402064205358;-28,117979865626452;114,0
13;56;1;100;2;2;3;6;0,02;0,05;CVS;in_sample_1_1x;16,597861719001152;0,6314772642296395;-41,06683717637309;91,0
14;63;1;50;2;2;3;6;0,02;0,05;CVS;in_sample_1_1x;31,219943517650826;1,0439676094688157;-18,405877731349573;117,0
15;63;1;100;2;2;3;6;0,02;0,05;CVS;in_sample_1_1x;11,948919143174486;0,5098428962002983;-28,792715403341628;82,0
16;14;1;50;2;2;4;6;0,02;0,05;CVS;in_sample_1_1x;31,582227819066834;0,9902585900829864;-29,507711892320476;135,0
17;14;1;100;2;2;4;6;0,02;0,05;CVS;in_sample_1_1x;-0,46849891579935354;-0,01978883172726723;-47,697719188184095;104,0
18;21;1;50;2;2;4;6;0,02;0,05;CVS;in_sample_1_1x;29,24514903486397;0,932810165950354;-32,01510601095914;124,0
19;21;1;100;2;2;4;6;0,02;0,05;CVS;in_sample_1_1x;2,5068948136564018;0,12208016788943186;-36,24435157374436;86,0
20;28;1;50;2;2;4;6;0,02;0,05;CVS;in_sample_1_1x;50,36364371899151;1,316384137801997;-19,853432118224955;120,0
21;28;1;100;2;2;4;6;0,02;0,05;CVS;in_sample_1_1x;20,81242468792077;0,8010888580446924;-25,09758423111814;91,0
22;35;1;50;2;2;4;6;0,02;0,05;CVS;in_sample_1_1x;54,76517199557704;1,4458973913319182;-17,07371012350878;117,0
23;35;1;100;2;2;4;6;0,02;0,05;CVS;in_sample_1_1x;11,607039898741501;0,47392168618089814;-28,611128940354014;97,0
24;42;1;50;2;2;4;6;0,02;0,05;CVS;in_sample_1_1x;36,463960014002716;1,0889632227729047;-28,04122790544551;114,0
25;42;1;100;2;2;4;6;0,02;0,05;CVS;in_sample_1_1x;21,819537418584577;0,8486082751289247;-29,275403251691145;85,0
26;49;1;50;2;2;4;6;0,02;0,05;CVS;in_sample_1_1x;26,908609739232304;0,8854633411491443;-24,251821904592084;103,0
27;49;1;100;2;2;4;6;0,02;0,05;CVS;in_sample_1_1x;10,066381409689939;0,4233337250465347;-29,737417792820885;87,0
28;56;1;50;2;2;4;6;0,02;0,05;CVS;in_sample_1_1x;9,620183900778656;0,381302711837753;-26,743172345348864;94,0
29;56;1;100;2;2;4;6;0,02;0,05;CVS;in_sample_1_1x;-2,6388117561982227;-0,11659642907631375;-47,72639789567539;85,0
30;63;1;50;2;2;4;6;0,02;0,05;CVS;in_sample_1_1x;31,940692722895502;1,0543743594109518;-20,29959233790075;96,0
31;63;1;100;2;2;4;6;0,02;0,05;CVS;in_sample_1_1x;17,654244254737428;0,7878527544435746;-25,031086037978724;66,0
32;14;1;50;2;3;3;6;0,02;0,05;CVS;in_sample_1_1x;13,3990488320906;0,6508758655678301;-19,831714969734815;71,0
33;14;1;100;2;3;3;6;0,02;0,05;CVS;in_sample_1_1x;9,457569064131398;0,5653451362021737;-29,40194382320702;56,0
34;21;1;50;2;3;3;6;0,02;0,05;CVS;in_sample_1_1x;12,189894476105835;0,5320555755047125;-35,93734309505905;86,0
35;21;1;100;2;3;3;6;0,02;0,05;CVS;in_sample_1_1x;-5,545731441525692;-0,32935450556982926;-47,62968240422306;63,0
36;28;1;50;2;3;3;6;0,02;0,05;CVS;in_sample_1_1x;32,51319291368142;1,103148584456436;-21,797596434564802;82,0
37;28;1;100;2;3;3;6;0,02;0,05;CVS;in_sample_1_1x;17,273860617495274;0,7771053019887951;-24,14789850275477;69,0
38;35;1;50;2;3;3;6;0,02;0,05;CVS;in_sample_1_1x;41,212333978058034;1,2412003168099588;-15,912764828098513;101,0
39;35;1;100;2;3;3;6;0,02;0,05;CVS;in_sample_1_1x;7,212985264418026;0,30844518403016746;-46,83180003933381;80,0
40;42;1;50;2;3;3;6;0,02;0,05;CVS;in_sample_1_1x;37,939441288830665;1,135025542427118;-21,44981591718993;97,0
41;42;1;100;2;3;3;6;0,02;0,05;CVS;in_sample_1_1x;9,119605720485758;0,4255057154474452;-35,62960647936377;78,0
42;49;1;50;2;3;3;6;0,02;0,05;CVS;in_sample_1_1x;19,9954895962996;0,6901134414566223;-22,809115526685797;93,0
43;49;1;100;2;3;3;6;0,02;0,05;CVS;in_sample_1_1x;24,79412754259087;0,9494431308916874;-26,25344776872459;78,0
44;56;1;50;2;3;3;6;0,02;0,05;CVS;in_sample_1_1x;23,01824295762347;0,767403189894083;-28,11796211331551;100,0
45;56;1;100;2;3;3;6;0,02;0,05;CVS;in_sample_1_1x;12,54181086188899;0,4977330379218761;-41,06683127188886;83,0
46;63;1;50;2;3;3;6;0,02;0,05;CVS;in_sample_1_1x;25,406512796071155;0,9188284112959901;-20,3653052876969;103,0
47;63;1;100;2;3;3;6;0,02;0,05;CVS;in_sample_1_1x;16,67238638852;0,7016369870735035;-27,619292548807874;75,0
48;14;1;50;2;3;4;6;0,02;0,05;CVS;in_sample_1_1x;12,0429934773846;0,5229807084385939;-20,694918154812434;68,0
49;14;1;100;2;3;4;6;0,02;0,05;CVS;in_sample_1_1x;5,628247530528219;0,3144826805670926;-21,917275812879776;57,0
50;21;1;50;2;3;4;6;0,02;0,05;CVS;in_sample_1_1x;14,19686059221863;0,634535800296858;-31,111428430295707;83,0
51;21;1;100;2;3;4;6;0,02;0,05;CVS;in_sample_1_1x;-5,4755290683930475;-0,3517211402422669;-39,23621539379758;58,0
52;28;1;50;2;3;4;6;0,02;0,05;CVS;in_sample_1_1x;28,542587966265742;1,0543128340442058;-22,018602130243526;82,0
53;28;1;100;2;3;4;6;0,02;0,05;CVS;in_sample_1_1x;17,62898712066201;0,8458905463734282;-18,272955290663983;69,0
54;35;1;50;2;3;4;6;0,02;0,05;CVS;in_sample_1_1x;37,33919152821126;1,2476629198221278;-16,01779330273808;98,0
55;35;1;100;2;3;4;6;0,02;0,05;CVS;in_sample_1_1x;6,8331375932775495;0,3496770809098173;-28,358760373305934;76,0
56;42;1;50;2;3;4;6;0,02;0,05;CVS;in_sample_1_1x;28,881623886579845;0,9697093636421816;-19,356786590900988;98,0
57;42;1;100;2;3;4;6;0,02;0,05;CVS;in_sample_1_1x;14,633650814771615;0,6620333502307681;-23,24939280779237;71,0
58;49;1;50;2;3;4;6;0,02;0,05;CVS;in_sample_1_1x;17,09894687855895;0,6238802672886119;-27,622886017154592;82,0
59;49;1;100;2;3;4;6;0,02;0,05;CVS;in_sample_1_1x;7,831497471579363;0,3439605604863503;-27,833179092998762;76,0
60;56;1;50;2;3;4;6;0,02;0,05;CVS;in_sample_1_1x;7,384058707865915;0,29111301359636355;-31,358122268633405;83,0
61;56;1;100;2;3;4;6;0,02;0,05;CVS;in_sample_1_1x;-1,6279822874871286;-0,0710628449640543;-50,732625333206414;73,0
62;63;1;50;2;3;4;6;0,02;0,05;CVS;in_sample_1_1x;30,318898533073547;1,0442647199192652;-20,299595794594026;89,0
63;63;1;100;2;3;4;6;0,02;0,05;CVS;in_sample_1_1x;17,150511193347917;0,7805843231492713;-22,437037688556604;62,0
64;14;1;50;2;2;3;6;0,02;0,05;CVS;in_sample_2_1x;28,721804961256268;1,060230839991083;-22,824055447712908;124,0
65;14;1;100;2;2;3;6;0,02;0,05;CVS;in_sample_2_1x;22,1221261920586;0,9394809318697354;-16,929985230448054;89,0
66;21;1;50;2;2;3;6;0,02;0,05;CVS;in_sample_2_1x;21,52936875090119;0,9319222465118615;-19,25380658554472;113,0
67;21;1;100;2;2;3;6;0,02;0,05;CVS;in_sample_2_1x;20,231796491486055;0,9654225275167558;-24,674223121757223;96,0
68;28;1;50;2;2;3;6;0,02;0,05;CVS;in_sample_2_1x;25,36507292288952;0,9899091904743066;-27,363977673232153;127,0
69;28;1;100;2;2;3;6;0,02;0,05;CVS;in_sample_2_1x;15,635071672543344;0,6342509108721643;-30,7477677618191;97,0
70;35;1;50;2;2;3;6;0,02;0,05;CVS;in_sample_2_1x;19,737196967018967;0,8106644817953069;-28,32628435164466;115,0
71;35;1;100;2;2;3;6;0,02;0,05;CVS;in_sample_2_1x;3,5258842212928077;0,21322084183139195;-24,88805663878747;86,0
72;42;1;50;2;2;3;6;0,02;0,05;CVS;in_sample_2_1x;24,383650294780203;0,9848487777176264;-27,573808743528428;112,0
73;42;1;100;2;2;3;6;0,02;0,05;CVS;in_sample_2_1x;17,88921138578681;0,8293488354925027;-21,459668741493388;85,0
74;49;1;50;2;2;3;6;0,02;0,05;CVS;in_sample_2_1x;10,625067210525053;0,4914030111523341;-32,200585549963954;104,0
75;49;1;100;2;2;3;6;0,02;0,05;CVS;in_sample_2_1x;16,319736376492266;0,7716047369020814;-15,550393778954398;82,0
76;56;1;50;2;2;3;6;0,02;0,05;CVS;in_sample_2_1x;3,2858652294583734;0,1614023247772133;-23,272376895093426;102,0
77;56;1;100;2;2;3;6;0,02;0,05;CVS;in_sample_2_1x;10,001890987967311;0,5090791216119233;-18,070212776641092;82,0
78;63;1;50;2;2;3;6;0,02;0,05;CVS;in_sample_2_1x;13,289922871145588;0,6877837261127518;-24,08400621719913;98,0
79;63;1;100;2;2;3;6;0,02;0,05;CVS;in_sample_2_1x;1,459064004502264;0,08876479023639333;-24,11648278589218;79,0
80;14;1;50;2;2;4;6;0,02;0,05;CVS;in_sample_2_1x;36,4430133192682;1,3064054008324282;-12,440338357688718;116,0
81;14;1;100;2;2;4;6;0,02;0,05;CVS;in_sample_2_1x;21,84826914771827;0,921402845168027;-19,258613972517935;87,0
