;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;cenario;return_ann;sharpe_ratio;max_drawdown;trades
0;14;1;50;2;2;3;6;0,02;0,05;MMC;in_sample_1_1x;46,51898670784402;1,3667563740094943;-19,856506509504236;119,0
1;14;1;100;2;2;3;6;0,02;0,05;MMC;in_sample_1_1x;25,344105191500923;0,8818055926498691;-20,79996039306584;97,0
2;21;1;50;2;2;3;6;0,02;0,05;MMC;in_sample_1_1x;36,50012502797748;1,0819304794648001;-14,140296259995145;129,0
3;21;1;100;2;2;3;6;0,02;0,05;MMC;in_sample_1_1x;30,51575640492612;1,0335284675114509;-12,070762592210437;95,0
4;28;1;50;2;2;3;6;0,02;0,05;MMC;in_sample_1_1x;36,2576256443984;1,1110088163605782;-21,149719086273045;133,0
5;28;1;100;2;2;3;6;0,02;0,05;MMC;in_sample_1_1x;29,505658000908053;1,0309829207062866;-17,15338540172555;97,0
6;35;1;50;2;2;3;6;0,02;0,05;MMC;in_sample_1_1x;30,052119027978264;1,0054616535365553;-15,916260291181317;125,0
7;35;1;100;2;2;3;6;0,02;0,05;MMC;in_sample_1_1x;24,07446407367655;0,9019568353670453;-12,172214133075322;101,0
8;42;1;50;2;2;3;6;0,02;0,05;MMC;in_sample_1_1x;31,576555263597903;1,1148044553540224;-17,530623871900254;122,0
9;42;1;100;2;2;3;6;0,02;0,05;MMC;in_sample_1_1x;18,424968150936394;0,7795545080009745;-23,818421881622243;89,0
10;49;1;50;2;2;3;6;0,02;0,05;MMC;in_sample_1_1x;54,073640197682614;1,5681744255652503;-16,18251606591985;115,0
11;49;1;100;2;2;3;6;0,02;0,05;MMC;in_sample_1_1x;31,063617007750487;1,126091697656281;-15,839496133714881;83,0
12;56;1;50;2;2;3;6;0,02;0,05;MMC;in_sample_1_1x;24,817297086798984;0,9842635657892094;-23,1673783818375;107,0
13;56;1;100;2;2;3;6;0,02;0,05;MMC;in_sample_1_1x;16,11319695413984;0,7075156483234721;-29,479268865865325;81,0
14;63;1;50;2;2;3;6;0,02;0,05;MMC;in_sample_1_1x;34,0099874775436;1,193696292650361;-20,185472473011888;115,0
15;63;1;100;2;2;3;6;0,02;0,05;MMC;in_sample_1_1x;32,70157700185472;1,2861549942809782;-21,112898460572904;88,0
16;14;1;50;2;2;4;6;0,02;0,05;MMC;in_sample_1_1x;48,24996016102545;1,3905113914932958;-16,564523348662785;121,0
17;14;1;100;2;2;4;6;0,02;0,05;MMC;in_sample_1_1x;22,06838397198043;0,8074471588345659;-21,099453810691227;95,0
18;21;1;50;2;2;4;6;0,02;0,05;MMC;in_sample_1_1x;30,07352038680604;0,9616380043336884;-18,779994291250013;123,0
19;21;1;100;2;2;4;6;0,02;0,05;MMC;in_sample_1_1x;28,246203859840534;1,0185974959057085;-11,133083234520525;92,0
20;28;1;50;2;2;4;6;0,02;0,05;MMC;in_sample_1_1x;33,17969866168207;1,0436840728533376;-19,86678084071589;128,0
21;28;1;100;2;2;4;6;0,02;0,05;MMC;in_sample_1_1x;33,59808256519281;1,1189345513806288;-18,094247996527525;94,0
22;35;1;50;2;2;4;6;0,02;0,05;MMC;in_sample_1_1x;29,068570922535454;0,9816204225083028;-15,083296020927294;116,0
23;35;1;100;2;2;4;6;0,02;0,05;MMC;in_sample_1_1x;16,660022353571314;0,6683586746552519;-21,858077846249657;94,0
24;42;1;50;2;2;4;6;0,02;0,05;MMC;in_sample_1_1x;23,14796109375372;0,9373733104686565;-21,42940646461341;117,0
25;42;1;100;2;2;4;6;0,02;0,05;MMC;in_sample_1_1x;16,329052433467673;0,7102734981556439;-19,749458682112454;96,0
26;49;1;50;2;2;4;6;0,02;0,05;MMC;in_sample_1_1x;47,851533422678095;1,5720639423691352;-19,901864504884202;104,0
27;49;1;100;2;2;4;6;0,02;0,05;MMC;in_sample_1_1x;27,885085869245827;1,1005938976906084;-28,592570144641215;81,0
28;56;1;50;2;2;4;6;0,02;0,05;MMC;in_sample_1_1x;20,82644432879548;0,8371352954488347;-21,47957160722761;106,0
29;56;1;100;2;2;4;6;0,02;0,05;MMC;in_sample_1_1x;17,089947032291963;0,7590284057653862;-20,46898372936231;81,0
30;63;1;50;2;2;4;6;0,02;0,05;MMC;in_sample_1_1x;36,18144773571612;1,2971294277311183;-16,671700565317792;98,0
31;63;1;100;2;2;4;6;0,02;0,05;MMC;in_sample_1_1x;36,24018432824436;1,2179660409876911;-20,477056021062566;81,0
32;14;1;50;2;3;3;6;0,02;0,05;MMC;in_sample_1_1x;17,01613836600724;0,7376781707674142;-20,382175064574206;62,0
33;14;1;100;2;3;3;6;0,02;0,05;MMC;in_sample_1_1x;2,8158177102444615;0,14767056882850477;-22,838567422872057;49,0
34;21;1;50;2;3;3;6;0,02;0,05;MMC;in_sample_1_1x;34,130988200194864;1,173126220368756;-13,581409312500003;86,0
35;21;1;100;2;3;3;6;0,02;0,05;MMC;in_sample_1_1x;24,723643776094416;0,9546688011186156;-16,050206733826798;71,0
36;28;1;50;2;3;3;6;0,02;0,05;MMC;in_sample_1_1x;30,138435628326278;1,0232590581999832;-19,44056289721976;97,0
37;28;1;100;2;3;3;6;0,02;0,05;MMC;in_sample_1_1x;25,083167383696093;0,9326248930865099;-14,712916473839954;80,0
38;35;1;50;2;3;3;6;0,02;0,05;MMC;in_sample_1_1x;25,812021974984066;0,9317831033095859;-17,094573674836376;99,0
39;35;1;100;2;3;3;6;0,02;0,05;MMC;in_sample_1_1x;15,326986742440063;0,6605901270404163;-24,26185089213144;81,0
40;42;1;50;2;3;3;6;0,02;0,05;MMC;in_sample_1_1x;26,553206512682248;1,1158947670839088;-16,313919725501457;96,0
41;42;1;100;2;3;3;6;0,02;0,05;MMC;in_sample_1_1x;17,882174541364183;0,8644452999371051;-20,01028386320546;68,0
42;49;1;50;2;3;3;6;0,02;0,05;MMC;in_sample_1_1x;36,12669196370446;1,2750182468878701;-14,100832419642028;97,0
43;49;1;100;2;3;3;6;0,02;0,05;MMC;in_sample_1_1x;27,42929934022942;1,0675480142298592;-26,391733221186154;77,0
44;56;1;50;2;3;3;6;0,02;0,05;MMC;in_sample_1_1x;19,67059555491264;0,8345507823742953;-17,048911456243175;93,0
45;56;1;100;2;3;3;6;0,02;0,05;MMC;in_sample_1_1x;15,164218689693643;0,701496987339619;-27,993988610194275;78,0
46;63;1;50;2;3;3;6;0,02;0,05;MMC;in_sample_1_1x;32,29640030312115;1,212220077721762;-19,77252187722388;99,0
47;63;1;100;2;3;3;6;0,02;0,05;MMC;in_sample_1_1x;30,444867951604927;1,2863749991245164;-17,350999930861065;77,0
48;14;1;50;2;3;4;6;0,02;0,05;MMC;in_sample_1_1x;12,025921113785065;0,5647281574621376;-20,382133697261317;60,0
49;14;1;100;2;3;4;6;0,02;0,05;MMC;in_sample_1_1x;0,3127296791785028;0,017454541468982974;-30,63615406272873;47,0
50;21;1;50;2;3;4;6;0,02;0,05;MMC;in_sample_1_1x;29,39635242629548;1,04740123749659;-17,04849944872693;82,0
