;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;return_ann;sharpe_ratio;max_drawdown;trades;Pontos_return_ann;Pontos_sharpe_ratio;Pontos_max_drawdown;Pontos_trades;Pontos_ponderados
0;14;1;50;2;2;3;6;0,02;0,05;PNC;28,69250018508676;1,0708674237365334;-18,786293797954183;113,66666666666667;6,51666371407495;7,076601137280042;6,716199497608207;10,0;7,202770416341877
2;14;1;50;2;3;3;6;0,02;0,05;PNC;15,045927281334057;0,8115330648729101;-18,48813769318644;59,666666666666664;3,081605749484823;5,082657213277167;6,9072793025338575;2,0588235294117645;4,053747786707775
1;14;1;50;2;2;4;6;0,02;0,05;PNC;24,379798061185515;0,9609845489366409;-18,16802556912814;109,0;5,431088464955965;6,231744746020166;7,112430098513849;9,313725490196079;6,454701496516878
3;14;1;50;2;3;4;6;0,02;0,05;PNC;15,359837305182728;0,8736964977468494;-21,161915981302453;57,666666666666664;3,1606218610896293;5,560613161024661;5,193730508670877;1,7647058823529411;3,9373611851917185
4;14;1;100;2;2;3;6;0,02;0,05;PNC;16,69079112859505;0,6597191539811055;-23,856569118176242;82,33333333333333;3,4956439625255826;3,9154056908477237;3,4668036153334767;5,3921568627450975;3,8823862496215384
6;14;1;100;2;3;3;6;0,02;0,05;PNC;4,294289571709823;0,25330607273428624;-26,4913427341428;48,333333333333336;0,3752487023850249;0,7906176853619951;1,7782518113906332;0,39215686274509876;0,6967700217163995
5;14;1;100;2;2;4;6;0,02;0,05;PNC;17,161127924166234;0,6424547557362;-26,67982463175603;79,33333333333333;3,6140351635297785;3,7826649227796643;1,657459100283787;4,950980392156862;3,573696404084188
7;14;1;100;2;3;4;6;0,02;0,05;PNC;2,8035261473590296;0,15047753875626688;-28,63342530040386;45,666666666666664;0,0;0,0;0,4054517501118443;0,0;0,05792167858740633
8;21;1;50;2;2;3;6;0,02;0,05;PNC;38,93780346396793;1,451087629851534;-19,485710656849545;106,33333333333333;9,095568386770045;10,0;6,2679630375043835;8,92156862745098;8,925176689323644
10;21;1;50;2;3;3;6;0,02;0,05;PNC;25,28880403936559;1,1930762008395874;-15,64041925584496;71,66666666666667;5,659899628552127;8,016227685926452;8,732301412727663;3,8235294117647065;6,509712154571665
9;21;1;50;2;2;4;6;0,02;0,05;PNC;34,396995382919535;1,3080769747503227;-17,304635087673784;103,0;7,952575265017756;8,900434064902731;7,665752610221184;8,431372549019608;8,250817012014217
11;21;1;50;2;3;4;6;0,02;0,05;PNC;17,158918024775982;0,8761208085395372;-17,689908884151333;70,0;3,613478896945123;5,579252957911414;7,418841543512548;3,57843137254902;4,713745074674252
12;21;1;100;2;2;3;6;0,02;0,05;PNC;27,248059844512756;0,9930748722797139;-19,165555963245975;85,0;6,153075263607685;6,478477595186738;6,473141115100534;5,784313725490197;6,239090831683894
14;21;1;100;2;3;3;6;0,02;0,05;PNC;17,557788041298046;0,7595209270298616;-20,151251201081703;57,0;3,713880780755346;4,6827515213318724;5,841436948222876;1,666666666666667;4,0021784285456175
13;21;1;100;2;2;4;6;0,02;0,05;PNC;24,462919551900516;0,881203632064699;-19,220054123576816;84,0;5,452011457177012;5,618333259993965;6,438214787320207;5,637254901960785;5,666881511542852
15;21;1;100;2;3;4;6;0,02;0,05;PNC;15,270366446351153;0,7009609890312513;-23,001395623377434;58,333333333333336;3,138100632617417;4,2325017623953105;4,01486009296634;1,8627450980392164;3,393844373378347
16;28;1;50;2;2;3;6;0,02;0,05;PNC;36,82106100328077;1,3115902352456066;-19,284900495709;102,66666666666667;8,562750872816043;8,927446468691826;6,396656583617466;8,382352941176473;8,331736440089388
18;28;1;50;2;3;3;6;0,02;0,05;PNC;24,67911476896116;0,9883674321897256;-19,540772191478712;75,0;5,506431208385481;6,44228350348917;6,232675659088826;4,313725490196079;5,707180254488526
