;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;return_ann;sharpe_ratio;max_drawdown;trades;Pontos_return_ann;Pontos_sharpe_ratio;Pontos_max_drawdown;Pontos_trades;Pontos_ponderados
0;14;1;50;2;2;3;6;0,02;0,05;SO;23,48754723327804;1,3713801263895906;-9,655829887462616;99,33333333333333;9,945623813984893;10,0;10,0;10,0;9,97669592027924
2;14;1;50;2;3;3;6;0,02;0,05;SO;9,965932324052696;0,6518580556793538;-16,402268642992414;53,666666666666664;1,3225312477656828;1,7067085784653517;5,011284494114796;2,7513227513227507;2,163374020809328
1;14;1;50;2;2;4;6;0,02;0,05;SO;19,999570986877405;1,1876015901301542;-10,346774944197731;95,66666666666667;7,721248823023875;7,8817481488537;9,489074392704762;9,41798941798942;8,262043796781885
3;14;1;50;2;3;4;6;0,02;0,05;SO;11,901911486468384;0,7805299009934052;-14,888969882089748;49,333333333333336;2,557156522620402;3,189794580097954;6,130307028390976;2,0634920634920637;3,1778368314200223
4;14;1;100;2;2;3;6;0,02;0,05;SO;14,913750998724652;0,9765825182773075;-13,806628674576567;65,33333333333333;4,477886485952142;5,449518854413908;6,930654079663586;4,603174603174603;5,123789407074633
6;14;1;100;2;3;3;6;0,02;0,05;SO;10,851435264015885;0,8416436405194521;-10,393523238738307;36,666666666666664;1,8872399656387377;3,8941983397338102;9,454505941066909;0,052910052910052165;3,2796475100515425
5;14;1;100;2;2;4;6;0,02;0,05;SO;15,254435874153508;0,9945785528669767;-13,372434938256513;65,33333333333333;4,695150269638924;5,656943150845599;7,2517225875726865;4,603174603174603;5,32203347162218
7;14;1;100;2;3;4;6;0,02;0,05;SO;10,658880145276843;0,808457395282991;-9,769640989424751;36,333333333333336;1,7644424577868287;3,511689985735974;9,915841345386113;0,0;3,176078384316935
8;21;1;50;2;2;3;6;0,02;0,05;SO;16,00667877095189;0,9653977030462929;-12,355883511446171;86,33333333333333;5,174875522496681;5,320601429941769;8,003420787056339;7,936507936507937;6,015108307276837
10;21;1;50;2;3;3;6;0,02;0,05;SO;7,892110420787945;0,5037848205718054;-23,179228340573445;59,666666666666664;0,0;0,0;0,0;3,7037037037037033;0,5291005291005291
9;21;1;50;2;2;4;6;0,02;0,05;SO;17,885789363332155;1,065257178668956;-10,724512665085898;81,0;6,373234201473905;6,471592853627916;9,209752798951621;7,08994708994709;6,908941171510894
11;21;1;50;2;3;4;6;0,02;0,05;SO;8,499335409312543;0,5127222944696538;-15,99471575886208;57,333333333333336;0,3872434853174644;0,10301431828776461;5,312653181537137;3,333333333333334;1,4305350867711992
12;21;1;100;2;2;3;6;0,02;0,05;SO;11,059020539041205;0,7070393692985307;-18,534301205738746;64,33333333333333;2,019622602915749;2,3427345372176713;3,4347336218332103;4,444444444444444;2,6605021356371776
14;21;1;100;2;3;3;6;0,02;0,05;SO;11,666430548264431;0,8034313347600529;-14,95957461098841;46,666666666666664;2,4069840808414664;3,4537590530852884;6,078097719360064;1,6402116402116396;3,1209685297523824
13;21;1;100;2;2;4;6;0,02;0,05;SO;11,356191793764028;0,7222209558057221;-18,17164702860801;61,0;2,209136596229231;2,5177191919914934;3,702901551949411;3,9153439153439153;2,7544419485662863
