;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;cenario;return_ann;sharpe_ratio;max_drawdown;trades
0;14;2;50;2;2;3;6;0,02;0,05;AIG;in_sample_1_1x;21,33166589162019;0,9650063670255414;-19,577161067780736;98,0
1;14;2;100;2;2;3;6;0,02;0,05;AIG;in_sample_1_1x;18,4136610860929;0,8738739173944529;-19,0379310687145;76,0
2;14;3;50;2;2;3;6;0,02;0,05;AIG;in_sample_1_1x;16,26955997194579;0,821726363843774;-19,606039002678223;74,0
3;14;3;100;2;2;3;6;0,02;0,05;AIG;in_sample_1_1x;12,905795934229358;0,7195371132797953;-18,111362295979482;64,0
4;14;4;50;2;2;3;6;0,02;0,05;AIG;in_sample_1_1x;17,234723160127928;0,9089836058287373;-22,34353180267823;67,0
5;14;4;100;2;2;3;6;0,02;0,05;AIG;in_sample_1_1x;13,852851991411551;0,7773227052363667;-18,111829710247207;58,0
6;56;2;50;2;2;3;6;0,02;0,05;AIG;in_sample_1_1x;16,47308817281232;0,8148972571585188;-15,818986971306714;92,0
7;56;2;100;2;2;3;6;0,02;0,05;AIG;in_sample_1_1x;13,486431481229122;0,6773318860803547;-19,142945991453065;73,0
8;56;3;50;2;2;3;6;0,02;0,05;AIG;in_sample_1_1x;15,576841962615617;0,7654334578373401;-26,828075623756597;81,0
9;56;3;100;2;2;3;6;0,02;0,05;AIG;in_sample_1_1x;9,652462539234175;0,5277463656610669;-20,206420122994594;67,0
10;56;4;50;2;2;3;6;0,02;0,05;AIG;in_sample_1_1x;13,962998407770911;0,7424465659683073;-21,82592777173381;70,0
11;56;4;100;2;2;3;6;0,02;0,05;AIG;in_sample_1_1x;8,273102398055322;0,48352949470346324;-21,726347237118837;58,0
12;63;2;50;2;2;3;6;0,02;0,05;AIG;in_sample_1_1x;27,87165577329358;1,210054410125497;-15,418976968951991;78,0
13;63;2;100;2;2;3;6;0,02;0,05;AIG;in_sample_1_1x;17,868231530207556;0,8323290405800201;-19,554652185304388;72,0
14;63;3;50;2;2;3;6;0,02;0,05;AIG;in_sample_1_1x;34,637781010892674;1,4913441412313868;-13,344424114998276;65,0
15;63;3;100;2;2;3;6;0,02;0,05;AIG;in_sample_1_1x;19,57750655382622;0,9683285705331669;-16,562985071221814;65,0
16;63;4;50;2;2;3;6;0,02;0,05;AIG;in_sample_1_1x;31,233600778134175;1,4036804686482538;-16,580218067939477;61,0
17;63;4;100;2;2;3;6;0,02;0,05;AIG;in_sample_1_1x;23,389085046685665;1,2161509964603794;-11,25191262424975;56,0
18;14;2;50;2;2;4;6;0,02;0,05;AIG;in_sample_1_1x;9,328912990076565;0,45377721296123896;-23,22729594787356;98,0
19;14;2;100;2;2;4;6;0,02;0,05;AIG;in_sample_1_1x;14,637934541673147;0,7262085275252959;-31,048449802606683;74,0
20;14;3;50;2;2;4;6;0,02;0,05;AIG;in_sample_1_1x;9,354530494850666;0,5043046061338008;-22,657780298898935;71,0
21;14;3;100;2;2;4;6;0,02;0,05;AIG;in_sample_1_1x;9,055613187908751;0,5337452864913521;-25,705615766211622;62,0
22;14;4;50;2;2;4;6;0,02;0,05;AIG;in_sample_1_1x;9,883679032998716;0,5561054602934996;-32,040183075671415;66,0
23;14;4;100;2;2;4;6;0,02;0,05;AIG;in_sample_1_1x;11,19878696109966;0,6488706619639226;-23,630984594864856;57,0
24;56;2;50;2;2;4;6;0,02;0,05;AIG;in_sample_1_1x;21,353615419546834;0,9625027141567647;-18,617152751151888;86,0
25;56;2;100;2;2;4;6;0,02;0,05;AIG;in_sample_1_1x;26,349590511992503;1,2361404718461866;-17,82915274158143;65,0
26;56;3;50;2;2;4;6;0,02;0,05;AIG;in_sample_1_1x;18,606589642740158;0,9188343667053043;-17,719298774091563;73,0
27;56;3;100;2;2;4;6;0,02;0,05;AIG;in_sample_1_1x;19,710737606039586;1,0368912681501383;-17,829156631490804;59,0
28;56;4;50;2;2;4;6;0,02;0,05;AIG;in_sample_1_1x;22,297415804660602;1,1447291141924074;-13,036712863351795;62,0
29;56;4;100;2;2;4;6;0,02;0,05;AIG;in_sample_1_1x;15,880487352029427;0,9470333120728489;-17,828511871338538;50,0
30;63;2;50;2;2;4;6;0,02;0,05;AIG;in_sample_1_1x;28,11958212268284;1,3066552480896103;-14,397387691940411;73,0
31;63;2;100;2;2;4;6;0,02;0,05;AIG;in_sample_1_1x;21,644515800821452;1,0532738165801705;-14,727987946618637;66,0
32;63;3;50;2;2;4;6;0,02;0,05;AIG;in_sample_1_1x;40,08893502180919;1,742828559769089;-9,855372530569051;64,0
33;63;3;100;2;2;4;6;0,02;0,05;AIG;in_sample_1_1x;21,530168504191096;1,1092034323282076;-12,704703080539426;56,0
34;63;4;50;2;2;4;6;0,02;0,05;AIG;in_sample_1_1x;35,33403419162533;1,6632909617691098;-8,36701368208701;56,0
35;63;4;100;2;2;4;6;0,02;0,05;AIG;in_sample_1_1x;18,240685517461518;1,0414103572842428;-16,103559600711257;49,0
