;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;cenario;return_ann;sharpe_ratio;max_drawdown;trades
0;14;2;50;2;2;3;6;0,02;0,05;BEN;in_sample_1_1x;34,950440106763224;1,3167955757513612;-16,69345659772671;117,0
1;14;2;100;2;2;3;6;0,02;0,05;BEN;in_sample_1_1x;43,114332087460824;1,6576804439593102;-14,794976435664353;91,0
2;14;3;50;2;2;3;6;0,02;0,05;BEN;in_sample_1_1x;34,0259365318488;1,4274661801220099;-13,621521867547026;99,0
3;14;3;100;2;2;3;6;0,02;0,05;BEN;in_sample_1_1x;25,960217033273626;1,1942189248136474;-16,26315260438822;80,0
4;14;4;50;2;2;3;6;0,02;0,05;BEN;in_sample_1_1x;29,13267540345337;1,4060819185190312;-14,400228509700508;73,0
5;14;4;100;2;2;3;6;0,02;0,05;BEN;in_sample_1_1x;23,02881770796963;1,1967076622140367;-19,17095972125399;68,0
6;56;2;50;2;2;3;6;0,02;0,05;BEN;in_sample_1_1x;24,83065760736971;0,9808636398153124;-25,416408970573457;105,0
7;56;2;100;2;2;3;6;0,02;0,05;BEN;in_sample_1_1x;19,74055288720187;0,9426819089232163;-20,28626640998239;69,0
8;56;3;50;2;2;3;6;0,02;0,05;BEN;in_sample_1_1x;26,838176079580013;1,125435181172063;-25,41641081512974;89,0
9;56;3;100;2;2;3;6;0,02;0,05;BEN;in_sample_1_1x;18,859292774214676;0,9355017202342565;-19,326282167400034;62,0
10;56;4;50;2;2;3;6;0,02;0,05;BEN;in_sample_1_1x;17,283250059919553;0,7997332735083712;-29,21794931813736;72,0
11;56;4;100;2;2;3;6;0,02;0,05;BEN;in_sample_1_1x;12,85818936131593;0,7305965233180564;-19,32628197521611;53,0
12;63;2;50;2;2;3;6;0,02;0,05;BEN;in_sample_1_1x;33,80003470849977;1,431954217952629;-16,248055309791077;90,0
13;63;2;100;2;2;3;6;0,02;0,05;BEN;in_sample_1_1x;22,359074063925142;1,1095489814785062;-18,824100324131642;73,0
14;63;3;50;2;2;3;6;0,02;0,05;BEN;in_sample_1_1x;29,176225641471998;1,3525484605199445;-15,44976393273303;80,0
15;63;3;100;2;2;3;6;0,02;0,05;BEN;in_sample_1_1x;21,443691063205605;1,1459977678464215;-20,269363342688596;66,0
16;63;4;50;2;2;3;6;0,02;0,05;BEN;in_sample_1_1x;22,305857715666132;1,2038614839390824;-12,55494095520746;64,0
17;63;4;100;2;2;3;6;0,02;0,05;BEN;in_sample_1_1x;20,633766365483908;1,174292426725371;-20,01406978223217;59,0
18;14;2;50;2;2;4;6;0,02;0,05;BEN;in_sample_1_1x;33,14291603142103;1,2760013930998433;-22,534336967671496;117,0
19;14;2;100;2;2;4;6;0,02;0,05;BEN;in_sample_1_1x;34,84735942012194;1,4647427569265603;-18,113463508578864;95,0
20;14;3;50;2;2;4;6;0,02;0,05;BEN;in_sample_1_1x;26,819868992796557;1,2190215912553202;-14,286842829063195;95,0
21;14;3;100;2;2;4;6;0,02;0,05;BEN;in_sample_1_1x;20,460544316603134;1,0172982737414127;-16,613956235702908;81,0
22;14;4;50;2;2;4;6;0,02;0,05;BEN;in_sample_1_1x;19,834162944079093;1,0775764839970727;-16,113811336307894;73,0
23;14;4;100;2;2;4;6;0,02;0,05;BEN;in_sample_1_1x;18,89757031196906;1,0634502214801427;-17,125930222238473;69,0
24;56;2;50;2;2;4;6;0,02;0,05;BEN;in_sample_1_1x;21,917144590758465;0,9407250915547993;-15,045201438723;86,0
25;56;2;100;2;2;4;6;0,02;0,05;BEN;in_sample_1_1x;17,97495013621422;0,9154083894407413;-17,552700217543315;61,0
26;56;3;50;2;2;4;6;0,02;0,05;BEN;in_sample_1_1x;14,634890547423062;0,723238707346877;-16,859723056713683;75,0
27;56;3;100;2;2;4;6;0,02;0,05;BEN;in_sample_1_1x;14,893287174633873;0,8310091887614126;-17,108829358295317;53,0
28;56;4;50;2;2;4;6;0,02;0,05;BEN;in_sample_1_1x;12,457572917105342;0,6709169717415215;-15,429998335220906;60,0
29;56;4;100;2;2;4;6;0,02;0,05;BEN;in_sample_1_1x;12,238140455121771;0,7189506484403041;-19,000340081033574;47,0
30;63;2;50;2;2;4;6;0,02;0,05;BEN;in_sample_1_1x;24,31126140090345;1,2254831640451689;-17,169966868486032;72,0
31;63;2;100;2;2;4;6;0,02;0,05;BEN;in_sample_1_1x;27,25642218422264;1,457736786963787;-13,803839312609101;57,0
32;63;3;50;2;2;4;6;0,02;0,05;BEN;in_sample_1_1x;17,481208654109626;1,037983066360661;-21,24714566493734;60,0
33;63;3;100;2;2;4;6;0,02;0,05;BEN;in_sample_1_1x;21,24368051476775;1,287493176002679;-13,83009181324184;51,0
34;63;4;50;2;2;4;6;0,02;0,05;BEN;in_sample_1_1x;17,063040155756305;1,0798039205183292;-14,249250860027685;49,0
35;63;4;100;2;2;4;6;0,02;0,05;BEN;in_sample_1_1x;21,332487219124264;1,3253786264971694;-14,78099018835608;43,0
36;14;2;50;2;2;3;6;0,02;0,05;BEN;in_sample_2_1x;33,543492659873394;0,9885236996549587;-27,143451853729715;136,0
