;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;cenario;return_ann;sharpe_ratio;max_drawdown;trades
0;14;2;50;2;2;3;6;0,02;0,05;CMI;in_sample_1_1x;37,90372933156316;1,2751760721301777;-13,852190517501118;117,0
1;14;2;100;2;2;3;6;0,02;0,05;CMI;in_sample_1_1x;57,25964059263171;1,7875905469039963;-9,389052388097962;91,0
2;14;3;50;2;2;3;6;0,02;0,05;CMI;in_sample_1_1x;34,972880039957374;1,2109552646012056;-24,174097411616525;86,0
3;14;3;100;2;2;3;6;0,02;0,05;CMI;in_sample_1_1x;39,88194253175601;1,49402955925079;-12,514360038505956;76,0
4;14;4;50;2;2;3;6;0,02;0,05;CMI;in_sample_1_1x;30,453403301058813;1,163853687974304;-16,846903536093894;72,0
5;14;4;100;2;2;3;6;0,02;0,05;CMI;in_sample_1_1x;33,11013032531456;1,41095098160153;-9,844563935222128;65,0
6;56;2;50;2;2;3;6;0,02;0,05;CMI;in_sample_1_1x;33,9850400285125;1,1439806976756655;-22,639357542493798;106,0
7;56;2;100;2;2;3;6;0,02;0,05;CMI;in_sample_1_1x;28,11732459346914;1,0705771244516114;-24,296545083382593;76,0
8;56;3;50;2;2;3;6;0,02;0,05;CMI;in_sample_1_1x;38,26518558652483;1,2709348802904161;-25,73185610603106;90,0
9;56;3;100;2;2;3;6;0,02;0,05;CMI;in_sample_1_1x;22,26116625053116;0,9539034784913608;-21,92932133309221;63,0
10;56;4;50;2;2;3;6;0,02;0,05;CMI;in_sample_1_1x;28,42162605173528;1,297214602818796;-18,4321538386918;63,0
11;56;4;100;2;2;3;6;0,02;0,05;CMI;in_sample_1_1x;31,338071061736763;1,5443244572823809;-16,127013223841747;52,0
12;63;2;50;2;2;3;6;0,02;0,05;CMI;in_sample_1_1x;33,13030415301559;1,0791322514016326;-22,180075898039707;108,0
13;63;2;100;2;2;3;6;0,02;0,05;CMI;in_sample_1_1x;42,15023580432111;1,3888711260548712;-24,44891429903241;82,0
14;63;3;50;2;2;3;6;0,02;0,05;CMI;in_sample_1_1x;29,111347702177802;1,157418102789532;-25,515787496115127;81,0
15;63;3;100;2;2;3;6;0,02;0,05;CMI;in_sample_1_1x;34,04243707304004;1,4300668487470098;-12,53321439414129;66,0
16;63;4;50;2;2;3;6;0,02;0,05;CMI;in_sample_1_1x;22,1965459642534;0,9401171583409579;-28,005620867043866;67,0
17;63;4;100;2;2;3;6;0,02;0,05;CMI;in_sample_1_1x;16,808118797409975;0,7766592793054778;-32,433515991174524;57,0
18;14;2;50;2;2;4;6;0,02;0,05;CMI;in_sample_1_1x;44,64361296180086;1,4389480326762285;-13,789379916953093;113,0
19;14;2;100;2;2;4;6;0,02;0,05;CMI;in_sample_1_1x;47,53382998296023;1,5647495889691936;-18,629774148743273;90,0
20;14;3;50;2;2;4;6;0,02;0,05;CMI;in_sample_1_1x;36,38948808977855;1,2685736520753976;-16,84690373241027;81,0
21;14;3;100;2;2;4;6;0,02;0,05;CMI;in_sample_1_1x;42,29905601163013;1,5507770024954695;-11,664448305817343;78,0
22;14;4;50;2;2;4;6;0,02;0,05;CMI;in_sample_1_1x;29,713980254444184;1,1579829626898064;-16,846906229360613;68,0
23;14;4;100;2;2;4;6;0,02;0,05;CMI;in_sample_1_1x;33,47340032684851;1,4819576287249456;-10,709800466148334;64,0
24;56;2;50;2;2;4;6;0,02;0,05;CMI;in_sample_1_1x;30,95749252677289;1,0593879722815456;-25,826937650804716;96,0
25;56;2;100;2;2;4;6;0,02;0,05;CMI;in_sample_1_1x;28,48173313872082;1,1214616425630581;-21,421434176237618;75,0
26;56;3;50;2;2;4;6;0,02;0,05;CMI;in_sample_1_1x;36,24804075964008;1,2527902722873714;-25,826936900983853;85,0
27;56;3;100;2;2;4;6;0,02;0,05;CMI;in_sample_1_1x;20,2941508933284;0,8916853199164521;-22,04968261453397;64,0
28;56;4;50;2;2;4;6;0,02;0,05;CMI;in_sample_1_1x;23,287129385645965;1,0116525649435748;-24,446229690815137;61,0
29;56;4;100;2;2;4;6;0,02;0,05;CMI;in_sample_1_1x;27,236628777946947;1,354803948585244;-13,06453635437206;49,0
30;63;2;50;2;2;4;6;0,02;0,05;CMI;in_sample_1_1x;33,555615559730214;1,169790732814959;-28,063102288219998;91,0
31;63;2;100;2;2;4;6;0,02;0,05;CMI;in_sample_1_1x;26,52353044407412;1,0593312246241122;-24,596139533327932;70,0
32;63;3;50;2;2;4;6;0,02;0,05;CMI;in_sample_1_1x;17,17099942216691;0,8604083354496417;-14,04680317498882;61,0
33;63;3;100;2;2;4;6;0,02;0,05;CMI;in_sample_1_1x;24,017213689171225;1,2469494749625303;-13,246832816227172;56,0
34;63;4;50;2;2;4;6;0,02;0,05;CMI;in_sample_1_1x;10,376251080526377;0,5334417146119962;-31,282089095784627;50,0
35;63;4;100;2;2;4;6;0,02;0,05;CMI;in_sample_1_1x;16,882113269985545;0,83729687737592;-24,720657479234543;48,0
36;14;2;50;2;2;3;6;0,02;0,05;CMI;in_sample_2_1x;39,97981156634873;1,0917456741428349;-22,172167052924806;133,0
37;14;2;100;2;2;3;6;0,02;0,05;CMI;in_sample_2_1x;34,011643956859274;1,0322997534399163;-40,69725209876495;98,0
38;14;3;50;2;2;3;6;0,02;0,05;CMI;in_sample_2_1x;47,917026845508516;1,3387756173641;-21,47600965518287;106,0
39;14;3;100;2;2;3;6;0,02;0,05;CMI;in_sample_2_1x;21,751767630251507;0,7923244794477592;-36,33344728411675;79,0
40;14;4;50;2;2;3;6;0,02;0,05;CMI;in_sample_2_1x;38,57529082305633;1,2661352746149475;-25,135636088757362;88,0
41;14;4;100;2;2;3;6;0,02;0,05;CMI;in_sample_2_1x;18,76855252548859;0,7886936293785892;-23,795862448472583;68,0
42;56;2;50;2;2;3;6;0,02;0,05;CMI;in_sample_2_1x;48,095303729654646;1,359754835322454;-19,97859428894946;113,0
43;56;2;100;2;2;3;6;0,02;0,05;CMI;in_sample_2_1x;25,454380006432764;0,9255296368104237;-18,05444145190259;88,0
44;56;3;50;2;2;3;6;0,02;0,05;CMI;in_sample_2_1x;27,13902831586057;1,0555229881172485;-22,76576197878759;86,0
45;56;3;100;2;2;3;6;0,02;0,05;CMI;in_sample_2_1x;20,989781397401195;0,8678734297431041;-17,232567336034233;74,0
46;56;4;50;2;2;3;6;0,02;0,05;CMI;in_sample_2_1x;20,533973009143235;0,9003398575940267;-31,931852647498904;72,0
47;56;4;100;2;2;3;6;0,02;0,05;CMI;in_sample_2_1x;21,666949319704855;0,9510678533800755;-20,354058589300937;67,0
48;63;2;50;2;2;3;6;0,02;0,05;CMI;in_sample_2_1x;23,02863483037274;0,7970506358520472;-35,34136179083877;106,0
49;63;2;100;2;2;3;6;0,02;0,05;CMI;in_sample_2_1x;24,348343142704177;1,0611929597154857;-23,267054225420324;79,0
50;63;3;50;2;2;3;6;0,02;0,05;CMI;in_sample_2_1x;15,385262669313748;0,6124935384971715;-35,44631325493973;86,0
51;63;3;100;2;2;3;6;0,02;0,05;CMI;in_sample_2_1x;26,786439304066434;1,2000491135012443;-14,650723636045882;74,0
52;63;4;50;2;2;3;6;0,02;0,05;CMI;in_sample_2_1x;8,90777829344389;0,3945301090437353;-38,83946805969447;76,0
53;63;4;100;2;2;3;6;0,02;0,05;CMI;in_sample_2_1x;24,920568386112564;1,1087396152010611;-20,703519106225688;72,0
54;14;2;50;2;2;4;6;0,02;0,05;CMI;in_sample_2_1x;46,31135490800651;1,2215016127714613;-22,17215241608217;130,0
55;14;2;100;2;2;4;6;0,02;0,05;CMI;in_sample_2_1x;42,02808787976411;1,2376145978818063;-36,555904027374076;93,0
56;14;3;50;2;2;4;6;0,02;0,05;CMI;in_sample_2_1x;58,576670636455;1,479469555249748;-21,47600299349216;107,0
57;14;3;100;2;2;4;6;0,02;0,05;CMI;in_sample_2_1x;30,869390945074326;1,0516222160613569;-31,88734002745307;78,0
58;14;4;50;2;2;4;6;0,02;0,05;CMI;in_sample_2_1x;42,32874005953835;1,3400449888978876;-23,494661713899735;89,0
59;14;4;100;2;2;4;6;0,02;0,05;CMI;in_sample_2_1x;24,621711777960375;0,9646116527414782;-21,817224037553483;68,0
60;56;2;50;2;2;4;6;0,02;0,05;CMI;in_sample_2_1x;35,286072452877335;1,1537806595960916;-20,97455895462843;99,0
61;56;2;100;2;2;4;6;0,02;0,05;CMI;in_sample_2_1x;36,60457112950439;1,2375038340805484;-17,60741777898418;77,0
62;56;3;50;2;2;4;6;0,02;0,05;CMI;in_sample_2_1x;28,225276454022907;1,1310978866476407;-19,14599632898083;77,0
63;56;3;100;2;2;4;6;0,02;0,05;CMI;in_sample_2_1x;36,66155878226969;1,3684531431371154;-13,637955826178095;65,0
64;56;4;50;2;2;4;6;0,02;0,05;CMI;in_sample_2_1x;28,99371810760618;1,2545759640515854;-13,818508713056342;65,0
65;56;4;100;2;2;4;6;0,02;0,05;CMI;in_sample_2_1x;34,41969901293416;1,3021292262058077;-14,360417075713471;64,0
66;63;2;50;2;2;4;6;0,02;0,05;CMI;in_sample_2_1x;8,28834141771262;0,3822048546641996;-22,725479912897207;85,0
67;63;2;100;2;2;4;6;0,02;0,05;CMI;in_sample_2_1x;11,625168597975222;0,5669211360124623;-15,485953489604965;64,0
68;63;3;50;2;2;4;6;0,02;0,05;CMI;in_sample_2_1x;5,40789770992427;0,26813458638319204;-23,060214696868076;76,0
69;63;3;100;2;2;4;6;0,02;0,05;CMI;in_sample_2_1x;10,204086003358626;0,5119670994695907;-17,431195879500994;62,0
70;63;4;50;2;2;4;6;0,02;0,05;CMI;in_sample_2_1x;3,640619506382814;0,1883876675970786;-29,131988210364547;67,0
