;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;cenario;return_ann;sharpe_ratio;max_drawdown;trades
0;14;2;50;2;2;3;6;0,02;0,05;VMC;in_sample_1_1x;26,2556282399534;1,2520486379300606;-18,06459554087686;87,0
1;14;2;100;2;2;3;6;0,02;0,05;VMC;in_sample_1_1x;15,661859563858172;0,811620968678234;-22,933541881641517;75,0
2;14;3;50;2;2;3;6;0,02;0,05;VMC;in_sample_1_1x;17,46642168976045;0,9314720771018083;-16,61053238084631;73,0
3;14;3;100;2;2;3;6;0,02;0,05;VMC;in_sample_1_1x;16,584703761224006;0,9120140969588374;-19,24782586462651;63,0
4;14;4;50;2;2;3;6;0,02;0,05;VMC;in_sample_1_1x;19,96244803595033;1,068544173103252;-17,347203910097917;60,0
5;14;4;100;2;2;3;6;0,02;0,05;VMC;in_sample_1_1x;17,369647347400875;1,011462969323149;-15,33935630690605;56,0
6;56;2;50;2;2;3;6;0,02;0,05;VMC;in_sample_1_1x;21,598273052225746;0,9864010044844718;-18,720822103436596;77,0
7;56;2;100;2;2;3;6;0,02;0,05;VMC;in_sample_1_1x;15,112724163922131;0,8583923163600506;-16,983267557190672;61,0
8;56;3;50;2;2;3;6;0,02;0,05;VMC;in_sample_1_1x;12,96739364592927;0,6332034509010952;-28,56890106199672;73,0
9;56;3;100;2;2;3;6;0,02;0,05;VMC;in_sample_1_1x;10,353979365406385;0,5953672696942348;-17,044645936700764;64,0
10;56;4;50;2;2;3;6;0,02;0,05;VMC;in_sample_1_1x;10,796962749668282;0,5731047170827261;-24,472584882792837;64,0
11;56;4;100;2;2;3;6;0,02;0,05;VMC;in_sample_1_1x;9,479019634737206;0,5599387875645575;-16,59660318572218;56,0
12;63;2;50;2;2;3;6;0,02;0,05;VMC;in_sample_1_1x;41,37639132449669;1,7442473814356523;-10,589238341647;79,0
13;63;2;100;2;2;3;6;0,02;0,05;VMC;in_sample_1_1x;35,34827454972431;1,6705396475050087;-10,589239387548243;65,0
14;63;3;50;2;2;3;6;0,02;0,05;VMC;in_sample_1_1x;35,73490677300504;1,6478279144049897;-9,432157831869182;65,0
15;63;3;100;2;2;3;6;0,02;0,05;VMC;in_sample_1_1x;24,217701092823397;1,2733333720109885;-11,473574576805234;56,0
16;63;4;50;2;2;3;6;0,02;0,05;VMC;in_sample_1_1x;34,560474619980084;1,6783764345750496;-9,124159286294676;58,0
17;63;4;100;2;2;3;6;0,02;0,05;VMC;in_sample_1_1x;26,091129811060544;1,3471948936285065;-10,589232558733974;54,0
18;14;2;50;2;2;4;6;0,02;0,05;VMC;in_sample_1_1x;16,88285607639537;0,84715663545072;-23,31612500062944;93,0
19;14;2;100;2;2;4;6;0,02;0,05;VMC;in_sample_1_1x;10,688111077160167;0,5974596093868358;-21,39427716493246;74,0
20;14;3;50;2;2;4;6;0,02;0,05;VMC;in_sample_1_1x;14,375793639601708;0,7810668768969595;-16,61053260050305;73,0
21;14;3;100;2;2;4;6;0,02;0,05;VMC;in_sample_1_1x;15,516771862264411;0,9076085796887299;-23,006564585073296;66,0
22;14;4;50;2;2;4;6;0,02;0,05;VMC;in_sample_1_1x;19,6987115946335;1,010577320525162;-21,75015950929522;63,0
23;14;4;100;2;2;4;6;0,02;0,05;VMC;in_sample_1_1x;16,64225778924049;0,9526589102653781;-14,230514759731195;56,0
24;56;2;50;2;2;4;6;0,02;0,05;VMC;in_sample_1_1x;10,786619618153503;0,5492062540472324;-20,17590058073425;73,0
25;56;2;100;2;2;4;6;0,02;0,05;VMC;in_sample_1_1x;10,621384350181117;0,6165186695649795;-16,532649816970558;58,0
26;56;3;50;2;2;4;6;0,02;0,05;VMC;in_sample_1_1x;9,618770851980841;0,5338993163758111;-28,306924791252364;67,0
27;56;3;100;2;2;4;6;0,02;0,05;VMC;in_sample_1_1x;8,824848719988431;0,5354692605288837;-19,61315985283616;55,0
