;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;cenario;return_ann;sharpe_ratio;max_drawdown;trades
0;21;2;50;2;2;3;6;0,02;0,05;MU;in_sample_1_1x;76,6824172244259;1,320242951002949;-30,032986455415468;144,0
1;21;2;100;2;2;3;6;0,02;0,05;MU;in_sample_1_1x;44,3632101710798;1,0829231963616803;-20,89300036598042;111,0
2;21;3;50;2;2;3;6;0,02;0,05;MU;in_sample_1_1x;44,471253331324604;1,1313820761257913;-24,9357256452549;115,0
3;21;3;100;2;2;3;6;0,02;0,05;MU;in_sample_1_1x;37,195256008229705;0,9969056729720993;-20,893000285350737;102,0
4;21;4;50;2;2;3;6;0,02;0,05;MU;in_sample_1_1x;39,285466304374154;1,0919105596803813;-31,579686090424218;99,0
5;21;4;100;2;2;3;6;0,02;0,05;MU;in_sample_1_1x;32,99885040974144;1,0424834744811526;-17,838578101785497;77,0
6;21;2;50;2;2;4;6;0,02;0,05;MU;in_sample_1_1x;82,69982694770039;1,353588638250197;-29,213353262956833;140,0
7;21;2;100;2;2;4;6;0,02;0,05;MU;in_sample_1_1x;58,15091129335514;1,2502886273191802;-24,840887904094156;110,0
8;21;3;50;2;2;4;6;0,02;0,05;MU;in_sample_1_1x;39,223242431692704;1,027980210502355;-34,081019782146804;113,0
9;21;3;100;2;2;4;6;0,02;0,05;MU;in_sample_1_1x;53,367993529417305;1,227371131391245;-24,840887904094156;102,0
10;21;4;50;2;2;4;6;0,02;0,05;MU;in_sample_1_1x;25,401264390143695;0,7965368242858135;-38,31269964785059;92,0
11;21;4;100;2;2;4;6;0,02;0,05;MU;in_sample_1_1x;37,1935420024051;1,133904337383194;-19,617816596903694;77,0
12;21;2;50;2;2;3;6;0,02;0,05;MU;in_sample_2_1x;72,82691748807592;1,2624783137491862;-25,88234518132283;143,0
13;21;2;100;2;2;3;6;0,02;0,05;MU;in_sample_2_1x;38,889850103352245;0,9170560130779004;-40,232499759437125;113,0
14;21;3;50;2;2;3;6;0,02;0,05;MU;in_sample_2_1x;50,187491292336816;1,2283092656477623;-25,825088702660338;112,0
15;21;3;100;2;2;3;6;0,02;0,05;MU;in_sample_2_1x;18,614242573406425;0,5583515192061832;-35,80495196626149;89,0
16;21;4;50;2;2;3;6;0,02;0,05;MU;in_sample_2_1x;22,715642662502656;0,7944735227807116;-21,221969855019918;79,0
17;21;4;100;2;2;3;6;0,02;0,05;MU;in_sample_2_1x;21,465000488775154;0,7483792306565169;-28,376265432803983;77,0
18;21;2;50;2;2;4;6;0,02;0,05;MU;in_sample_2_1x;59,5237782031155;1,1561352775018638;-30,085421697553084;137,0
19;21;2;100;2;2;4;6;0,02;0,05;MU;in_sample_2_1x;36,35318534056038;0,907367293352744;-40,679180295393756;107,0
20;21;3;50;2;2;4;6;0,02;0,05;MU;in_sample_2_1x;47,89046432011577;1,1589308380983494;-22,864993180071636;108,0
21;21;3;100;2;2;4;6;0,02;0,05;MU;in_sample_2_1x;31,00234857155131;0,9006194013203105;-28,98605631467034;87,0
22;21;4;50;2;2;4;6;0,02;0,05;MU;in_sample_2_1x;20,266839292625093;0,709680436266335;-24,595501154693057;77,0
23;21;4;100;2;2;4;6;0,02;0,05;MU;in_sample_2_1x;19,284851627371836;0,6795718908393481;-28,98605631467034;76,0
24;21;2;50;2;2;3;6;0,02;0,05;MU;in_sample_3_1x;64,24924086976904;1,5681252003657349;-20,323498053587507;68,0
25;21;2;100;2;2;3;6;0,02;0,05;MU;in_sample_3_1x;22,758964487402245;0,9215609152946357;-32,58377246006668;54,0
26;21;3;50;2;2;3;6;0,02;0,05;MU;in_sample_3_1x;41,07053441678485;1,2920535559214839;-19,300336647118787;58,0
27;21;3;100;2;2;3;6;0,02;0,05;MU;in_sample_3_1x;24,250793045155362;1,0867357927919166;-30,361280077640128;45,0
28;21;4;50;2;2;3;6;0,02;0,05;MU;in_sample_3_1x;43,04302084512608;1,499514204040244;-17,314691575724805;45,0
29;21;4;100;2;2;3;6;0,02;0,05;MU;in_sample_3_1x;15,628870227195147;0,6886050579689085;-37,89612597033124;43,0
30;21;2;50;2;2;4;6;0,02;0,05;MU;in_sample_3_1x;61,2090309528913;1,6093508402285444;-23,075401174639833;65,0
31;21;2;100;2;2;4;6;0,02;0,05;MU;in_sample_3_1x;22,456514771565807;0,8948665340476576;-33,330881274264335;57,0
32;21;3;50;2;2;4;6;0,02;0,05;MU;in_sample_3_1x;40,879419548119024;1,3247574992869309;-16,738167687005944;57,0
33;21;3;100;2;2;4;6;0,02;0,05;MU;in_sample_3_1x;22,20911368117582;0,9707263580927864;-36,064778929831085;47,0
34;21;4;50;2;2;4;6;0,02;0,05;MU;in_sample_3_1x;39,034187622870384;1,5364258707181466;-21,17310397599159;42,0
35;21;4;100;2;2;4;6;0,02;0,05;MU;in_sample_3_1x;13,202101239460395;0,5878285911220128;-42,98250285558731;45,0
