;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;cenario;return_ann;sharpe_ratio;max_drawdown;trades
0;28;2;50;2;2;3;6;0,02;0,05;GE;in_sample_1_1x;30,456508611798427;1,1514876678267205;-17,311882929023305;105,0
1;28;2;100;2;2;3;6;0,02;0,05;GE;in_sample_1_1x;27,27603122250981;1,1779187228747283;-14,497039232464203;81,0
2;28;3;50;2;2;3;6;0,02;0,05;GE;in_sample_1_1x;25,835781220670096;1,0840964525273586;-14,868012495215266;85,0
3;28;3;100;2;2;3;6;0,02;0,05;GE;in_sample_1_1x;17,603189992239088;0,8879102458003887;-15,772350419214408;72,0
4;28;4;50;2;2;3;6;0,02;0,05;GE;in_sample_1_1x;23,377100038972245;1,048177765093385;-19,184851189653273;73,0
5;28;4;100;2;2;3;6;0,02;0,05;GE;in_sample_1_1x;19,84310283051083;1,0100963468458042;-13,689229462231523;64,0
6;35;2;50;2;2;3;6;0,02;0,05;GE;in_sample_1_1x;50,76960429291868;1,7649518089433067;-10,454879217294533;100,0
7;35;2;100;2;2;3;6;0,02;0,05;GE;in_sample_1_1x;34,585267762284325;1,519650442435232;-16,802167314678094;77,0
8;35;3;50;2;2;3;6;0,02;0,05;GE;in_sample_1_1x;30,206632415787848;1,3030833041909486;-14,440528789165441;84,0
9;35;3;100;2;2;3;6;0,02;0,05;GE;in_sample_1_1x;37,70428998234259;1,7042468460828517;-14,081012787954862;69,0
10;35;4;50;2;2;3;6;0,02;0,05;GE;in_sample_1_1x;23,771887789255253;1,1986533857541357;-9,956153854063265;66,0
11;35;4;100;2;2;3;6;0,02;0,05;GE;in_sample_1_1x;26,581342155496724;1,3811536102492767;-13,31644024271268;63,0
12;42;2;50;2;2;3;6;0,02;0,05;GE;in_sample_1_1x;18,064875385787936;0,8338410811303105;-22,774305706609933;92,0
13;42;2;100;2;2;3;6;0,02;0,05;GE;in_sample_1_1x;8,383878880346685;0,41082875016527715;-23,697908383904398;82,0
14;42;3;50;2;2;3;6;0,02;0,05;GE;in_sample_1_1x;12,984538769848886;0,6598485546029973;-19,280929730301644;78,0
15;42;3;100;2;2;3;6;0,02;0,05;GE;in_sample_1_1x;2,3458388311596856;0,12718304477077413;-30,970488041144595;66,0
16;42;4;50;2;2;3;6;0,02;0,05;GE;in_sample_1_1x;9,621963322553405;0,5149241720091937;-19,28085660142054;69,0
17;42;4;100;2;2;3;6;0,02;0,05;GE;in_sample_1_1x;0,993846675765564;0,056358981580313855;-38,403222473683606;67,0
18;49;2;50;2;2;3;6;0,02;0,05;GE;in_sample_1_1x;26,53403723123915;1,0570142935610887;-15,897312303334477;89,0
19;49;2;100;2;2;3;6;0,02;0,05;GE;in_sample_1_1x;24,477474573968095;1,1962858511265955;-9,396236130486201;69,0
20;49;3;50;2;2;3;6;0,02;0,05;GE;in_sample_1_1x;17,928013274601273;0,8298752487404882;-18,447474334574565;72,0
21;49;3;100;2;2;3;6;0,02;0,05;GE;in_sample_1_1x;23,73191277083526;1,1419889332543733;-9,002085173892604;67,0
