;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;cenario;return_ann;sharpe_ratio;max_drawdown;trades
0;28;2;50;2;2;3;6;0,02;0,05;LLY;in_sample_1_1x;31,46801971743742;1,1091765815963925;-20,44521809988067;104,0
1;28;2;100;2;2;3;6;0,02;0,05;LLY;in_sample_1_1x;35,6055476334747;1,2812025559487015;-16,66136074917913;77,0
2;28;3;50;2;2;3;6;0,02;0,05;LLY;in_sample_1_1x;33,06690354625748;1,4697517280073895;-14,385308376765716;86,0
3;28;3;100;2;2;3;6;0,02;0,05;LLY;in_sample_1_1x;36,207328221493064;1,4087571268645795;-15,431839939176283;68,0
4;28;4;50;2;2;3;6;0,02;0,05;LLY;in_sample_1_1x;22,77846111789199;1,1910428381494274;-10,288771787129836;70,0
5;28;4;100;2;2;3;6;0,02;0,05;LLY;in_sample_1_1x;32,07591151662439;1,3890334667583804;-15,778960043950507;58,0
6;35;2;50;2;2;3;6;0,02;0,05;LLY;in_sample_1_1x;35,91973577436052;1,2497729508221258;-17,872209125756868;96,0
7;35;2;100;2;2;3;6;0,02;0,05;LLY;in_sample_1_1x;25,583831452683327;1,0416986587872017;-19,3878420387791;69,0
8;35;3;50;2;2;3;6;0,02;0,05;LLY;in_sample_1_1x;28,674034735975763;1,071368489053807;-15,970532080000632;82,0
9;35;3;100;2;2;3;6;0,02;0,05;LLY;in_sample_1_1x;27,179469514577438;1,1131760461576568;-19,38783376649078;64,0
10;35;4;50;2;2;3;6;0,02;0,05;LLY;in_sample_1_1x;24,272616497234402;1,0380611877802468;-14,870226491827198;62,0
11;35;4;100;2;2;3;6;0,02;0,05;LLY;in_sample_1_1x;17,441359368504994;0,8164293261001208;-19,387833694423595;52,0
12;42;2;50;2;2;3;6;0,02;0,05;LLY;in_sample_1_1x;23,682160354420787;1,0522073745273997;-15,0963144495317;90,0
13;42;2;100;2;2;3;6;0,02;0,05;LLY;in_sample_1_1x;29,861740110441893;1,1321530664823096;-10,593098153472514;68,0
14;42;3;50;2;2;3;6;0,02;0,05;LLY;in_sample_1_1x;28,109782987518784;1,0718155518440724;-20,788383058246474;75,0
15;42;3;100;2;2;3;6;0,02;0,05;LLY;in_sample_1_1x;37,19153691592014;1,3757908787844335;-11,63237610590543;64,0
16;42;4;50;2;2;3;6;0,02;0,05;LLY;in_sample_1_1x;20,897139062629822;0,8919793609114353;-22,372576257701738;61,0
17;42;4;100;2;2;3;6;0,02;0,05;LLY;in_sample_1_1x;27,73974281708309;1,1410951681499648;-13,078662648753525;53,0
18;49;2;50;2;2;3;6;0,02;0,05;LLY;in_sample_1_1x;32,56429001270607;1,1431311364382781;-11,386215758863639;89,0
19;49;2;100;2;2;3;6;0,02;0,05;LLY;in_sample_1_1x;13,499264151487921;0,5911874603034798;-17,923045683803107;66,0
20;49;3;50;2;2;3;6;0,02;0,05;LLY;in_sample_1_1x;20,440272701722705;0,8060351988827507;-18,59245863012188;74,0
21;49;3;100;2;2;3;6;0,02;0,05;LLY;in_sample_1_1x;18,518561004335155;0,8111092977579564;-11,298710188500305;62,0
22;49;4;50;2;2;3;6;0,02;0,05;LLY;in_sample_1_1x;14,102718142648541;0,5846253626122397;-18,91334922490082;64,0
23;49;4;100;2;2;3;6;0,02;0,05;LLY;in_sample_1_1x;19,24086008963368;0,8360467019072498;-12,677534384088485;60,0
24;28;2;50;2;2;4;6;0,02;0,05;LLY;in_sample_1_1x;36,44303835537279;1,19522488296268;-25,10121613812595;99,0
25;28;2;100;2;2;4;6;0,02;0,05;LLY;in_sample_1_1x;27,850401475622412;1,0712043359952346;-17,308709649601973;68,0
26;28;3;50;2;2;4;6;0,02;0,05;LLY;in_sample_1_1x;25,633929671147726;1,1599985928204215;-33,28443303602827;84,0
27;28;3;100;2;2;4;6;0,02;0,05;LLY;in_sample_1_1x;27,186147496247504;1,0926997927523683;-13,936861027846593;63,0
28;28;4;50;2;2;4;6;0,02;0,05;LLY;in_sample_1_1x;15,832637796408267;0,9138061984355869;-13,46400241889193;66,0
29;28;4;100;2;2;4;6;0,02;0,05;LLY;in_sample_1_1x;22,13459028519724;0,995284248396686;-14,5481634173104;54,0
30;35;2;50;2;2;4;6;0,02;0,05;LLY;in_sample_1_1x;38,964691909264616;1,3415484664059036;-15,405330924312732;89,0
31;35;2;100;2;2;4;6;0,02;0,05;LLY;in_sample_1_1x;28,669733967533475;1,140561733573712;-16,131019731597306;64,0
32;35;3;50;2;2;4;6;0,02;0,05;LLY;in_sample_1_1x;28,745140051924455;1,114061123264912;-12,176940742519749;76,0
