;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;cenario;return_ann;sharpe_ratio;max_drawdown;trades
0;28;2;50;2;2;3;6;0,02;0,05;NOC;in_sample_1_1x;26,338518561615064;1,0720160839263864;-11,063415773138985;96,0
1;28;2;100;2;2;3;6;0,02;0,05;NOC;in_sample_1_1x;17,844908980573514;0,9150819421014401;-13,272989166168248;78,0
2;28;3;50;2;2;3;6;0,02;0,05;NOC;in_sample_1_1x;20,623817410219768;0,9484468623920994;-15,202819902875753;79,0
3;28;3;100;2;2;3;6;0,02;0,05;NOC;in_sample_1_1x;7,932508234258462;0,43518325075048486;-22,3143791439554;71,0
4;28;4;50;2;2;3;6;0,02;0,05;NOC;in_sample_1_1x;16,284941186808922;0,849372212502494;-18,8031253482153;67,0
5;28;4;100;2;2;3;6;0,02;0,05;NOC;in_sample_1_1x;7,429632682878906;0,4580461030090922;-15,505362503553044;56,0
6;35;2;50;2;2;3;6;0,02;0,05;NOC;in_sample_1_1x;33,774436218042815;1,2440083856097752;-21,71238140950591;96,0
7;35;2;100;2;2;3;6;0,02;0,05;NOC;in_sample_1_1x;23,49914460160145;1,13461807184919;-14,596817582667754;72,0
8;35;3;50;2;2;3;6;0,02;0,05;NOC;in_sample_1_1x;28,529529951146728;1,295132134678931;-10,904131632038027;83,0
9;35;3;100;2;2;3;6;0,02;0,05;NOC;in_sample_1_1x;16,48753811568846;0,9555048688064472;-14,218726371240397;63,0
10;35;4;50;2;2;3;6;0,02;0,05;NOC;in_sample_1_1x;13,595106790783372;0,8500999586375151;-12,268095664114076;63,0
11;35;4;100;2;2;3;6;0,02;0,05;NOC;in_sample_1_1x;19,178268993792315;1,1758462394387872;-16,89967012545234;54,0
12;42;2;50;2;2;3;6;0,02;0,05;NOC;in_sample_1_1x;45,458146144525344;1,767734162020422;-11,656819689908504;97,0
13;42;2;100;2;2;3;6;0,02;0,05;NOC;in_sample_1_1x;26,25437506382198;1,260884234489844;-13,099364384914447;74,0
14;42;3;50;2;2;3;6;0,02;0,05;NOC;in_sample_1_1x;33,223554770545086;1,5470546557883336;-14,743425521988396;80,0
15;42;3;100;2;2;3;6;0,02;0,05;NOC;in_sample_1_1x;22,555496285433605;1,2402064014743928;-14,568937708158469;61,0
16;42;4;50;2;2;3;6;0,02;0,05;NOC;in_sample_1_1x;26,836103195911186;1,4652589176809827;-13,67682018768016;64,0
17;42;4;100;2;2;3;6;0,02;0,05;NOC;in_sample_1_1x;14,462846129007012;0,869224456635238;-17,096602883170732;55,0
18;49;2;50;2;2;3;6;0,02;0,05;NOC;in_sample_1_1x;33,98261661534865;1,3411132704764535;-22,432141851260422;88,0
19;49;2;100;2;2;3;6;0,02;0,05;NOC;in_sample_1_1x;8,872596808230227;0,46961104003184906;-31,27538428629155;68,0
20;49;3;50;2;2;3;6;0,02;0,05;NOC;in_sample_1_1x;20,031158725902287;0,9523048667114993;-16,90332524132715;80,0
21;49;3;100;2;2;3;6;0,02;0,05;NOC;in_sample_1_1x;7,977940842761622;0,4316628430467591;-25,645525420066186;63,0
22;49;4;50;2;2;3;6;0,02;0,05;NOC;in_sample_1_1x;8,149526043773836;0,4635013025401666;-24,905083685788455;60,0
23;49;4;100;2;2;3;6;0,02;0,05;NOC;in_sample_1_1x;5,050176725308408;0,29259116359905035;-29,786834161324894;51,0
24;28;2;50;2;2;4;6;0,02;0,05;NOC;in_sample_1_1x;30,709934194791757;1,1949997866156965;-14,601636362682303;94,0
25;28;2;100;2;2;4;6;0,02;0,05;NOC;in_sample_1_1x;15,231737648302346;0,790446715977059;-16,775511007129495;70,0
26;28;3;50;2;2;4;6;0,02;0,05;NOC;in_sample_1_1x;26,251712118236693;1,154820487356858;-13,385775191140258;76,0
27;28;3;100;2;2;4;6;0,02;0,05;NOC;in_sample_1_1x;6,50586457603568;0,36508233180563554;-32,23538398336149;66,0
28;28;4;50;2;2;4;6;0,02;0,05;NOC;in_sample_1_1x;16,765419051163512;0,8790307083835736;-21,726957768975097;65,0
29;28;4;100;2;2;4;6;0,02;0,05;NOC;in_sample_1_1x;5,0213897675384755;0,3097822816654064;-23,183964980038663;54,0
30;35;2;50;2;2;4;6;0,02;0,05;NOC;in_sample_1_1x;25,68963499095698;0,9846605157467636;-31,099485890227253;97,0
31;35;2;100;2;2;4;6;0,02;0,05;NOC;in_sample_1_1x;26,116358363068958;1,3101838078793975;-16,458184256368426;67,0
32;35;3;50;2;2;4;6;0,02;0,05;NOC;in_sample_1_1x;23,135965408429172;1,0663219542015578;-15,17017733864222;79,0
33;35;3;100;2;2;4;6;0,02;0,05;NOC;in_sample_1_1x;25,10461088630478;1,3061860345765197;-14,218726322177266;58,0
34;35;4;50;2;2;4;6;0,02;0,05;NOC;in_sample_1_1x;18,76398665887491;0,9782039142895963;-11,279932395257386;63,0
35;35;4;100;2;2;4;6;0,02;0,05;NOC;in_sample_1_1x;22,732266898568465;1,2945796423359706;-12,220336133547615;50,0
36;42;2;50;2;2;4;6;0,02;0,05;NOC;in_sample_1_1x;41,62739895813612;1,7108175908561238;-11,656831993712158;92,0
37;42;2;100;2;2;4;6;0,02;0,05;NOC;in_sample_1_1x;17,558776621998827;0,985900493445205;-19,488191378638387;72,0
38;42;3;50;2;2;4;6;0,02;0,05;NOC;in_sample_1_1x;29,396274985126823;1,3989834126051197;-15,692944084138782;73,0
39;42;3;100;2;2;4;6;0,02;0,05;NOC;in_sample_1_1x;20,3072087335344;1,1815954632832115;-19,024525737324428;59,0
40;42;4;50;2;2;4;6;0,02;0,05;NOC;in_sample_1_1x;21,496740571365656;1,1813530736983906;-16,18301527865772;60,0
41;42;4;100;2;2;4;6;0,02;0,05;NOC;in_sample_1_1x;9,400379844707185;0,6465206263212439;-18,552369437247883;54,0
42;49;2;50;2;2;4;6;0,02;0,05;NOC;in_sample_1_1x;29,446781393563693;1,1792362357969408;-25,830474005192837;87,0
43;49;2;100;2;2;4;6;0,02;0,05;NOC;in_sample_1_1x;3,280041113208121;0,186417360285802;-26,931322757357844;61,0
44;49;3;50;2;2;4;6;0,02;0,05;NOC;in_sample_1_1x;16,94566319904396;0,8334224963422017;-28,32814423789508;75,0
45;49;3;100;2;2;4;6;0,02;0,05;NOC;in_sample_1_1x;1,3988553955673;0,08364418896066209;-33,644041057165644;55,0
46;49;4;50;2;2;4;6;0,02;0,05;NOC;in_sample_1_1x;11,793184774750888;0,7063503848144449;-20,54878282974594;52,0
47;49;4;100;2;2;4;6;0,02;0,05;NOC;in_sample_1_1x;2,529243726621866;0,15216886605246907;-25,856967509924612;51,0
48;28;2;50;2;2;3;6;0,02;0,05;NOC;in_sample_2_1x;17,273129747364656;0,8034608661465221;-21,754655245484887;96,0
49;28;2;100;2;2;3;6;0,02;0,05;NOC;in_sample_2_1x;7,484338686764702;0,433755992398766;-31,062795626908446;73,0
50;28;3;50;2;2;3;6;0,02;0,05;NOC;in_sample_2_1x;9,786011728718403;0,5783887617075292;-13,845267007205308;72,0
51;28;3;100;2;2;3;6;0,02;0,05;NOC;in_sample_2_1x;5,997580217431708;0,4001303977642792;-28,812191147364373;63,0
52;28;4;50;2;2;3;6;0,02;0,05;NOC;in_sample_2_1x;8,298725619561331;0,5533619732511359;-17,132110240501742;59,0
53;28;4;100;2;2;3;6;0,02;0,05;NOC;in_sample_2_1x;6,034257684734046;0,41143112658976955;-23,32376029786538;57,0
54;35;2;50;2;2;3;6;0,02;0,05;NOC;in_sample_2_1x;31,305010515334388;1,430936121462578;-21,560981260169076;95,0
55;35;2;100;2;2;3;6;0,02;0,05;NOC;in_sample_2_1x;12,74342838086817;0,7536548210828811;-24,016427175985054;69,0
56;35;3;50;2;2;3;6;0,02;0,05;NOC;in_sample_2_1x;25,174456529252588;1,2075922876659617;-17,056981604548604;82,0
57;35;3;100;2;2;3;6;0,02;0,05;NOC;in_sample_2_1x;23,965367257222802;1,2543821825542971;-17,790983626928934;67,0
58;35;4;50;2;2;3;6;0,02;0,05;NOC;in_sample_2_1x;17,750008753895763;1,0240528564458127;-19,809462439512714;68,0
59;35;4;100;2;2;3;6;0,02;0,05;NOC;in_sample_2_1x;19,7114522414209;1,2127629081983637;-15,850190987153322;56,0
60;42;2;50;2;2;3;6;0,02;0,05;NOC;in_sample_2_1x;22,09102529437812;1,0887323698408309;-33,49593992261565;92,0
61;42;2;100;2;2;3;6;0,02;0,05;NOC;in_sample_2_1x;18,221244830502982;0,948977103599813;-42,765576460012475;85,0
62;42;3;50;2;2;3;6;0,02;0,05;NOC;in_sample_2_1x;20,212240487909018;1,0341214495310145;-26,35021847205715;82,0
63;42;3;100;2;2;3;6;0,02;0,05;NOC;in_sample_2_1x;13,867861422182838;0,7815689348343594;-37,53705055764286;77,0
64;42;4;50;2;2;3;6;0,02;0,05;NOC;in_sample_2_1x;16,10059947564375;0,9202349143280137;-25,20128903531709;60,0
65;42;4;100;2;2;3;6;0,02;0,05;NOC;in_sample_2_1x;10,824401440295151;0,6751444125508008;-27,104665590478515;63,0
66;49;2;50;2;2;3;6;0,02;0,05;NOC;in_sample_2_1x;21,41658214813993;1,008673746907402;-16,424808314396135;95,0
67;49;2;100;2;2;3;6;0,02;0,05;NOC;in_sample_2_1x;32,789232368632696;1,5044787488640288;-14,787363121336794;78,0
68;49;3;50;2;2;3;6;0,02;0,05;NOC;in_sample_2_1x;13,96971850556894;0,7472176899863715;-11,926849609776614;73,0
69;49;3;100;2;2;3;6;0,02;0,05;NOC;in_sample_2_1x;27,14944076143182;1,348792609021857;-15,225536459837553;68,0
70;49;4;50;2;2;3;6;0,02;0,05;NOC;in_sample_2_1x;10,479194378522848;0,6503331173394017;-20,03411473874197;62,0
71;49;4;100;2;2;3;6;0,02;0,05;NOC;in_sample_2_1x;15,125740267901232;0,9875916867776086;-21,853618707718347;55,0
72;28;2;50;2;2;4;6;0,02;0,05;NOC;in_sample_2_1x;7,7323338191923385;0,4092620831411247;-22,65044068661888;87,0
73;28;2;100;2;2;4;6;0,02;0,05;NOC;in_sample_2_1x;6,5777310857048965;0,37199005760092585;-29,167306878975186;71,0
74;28;3;50;2;2;4;6;0,02;0,05;NOC;in_sample_2_1x;5,207550222907309;0,3193720611715114;-18,320067428395003;70,0
75;28;3;100;2;2;4;6;0,02;0,05;NOC;in_sample_2_1x;10,668699295144023;0,6767906015856042;-16,626131655471166;55,0
76;28;4;50;2;2;4;6;0,02;0,05;NOC;in_sample_2_1x;7,532129421931044;0,516535226984268;-14,854378919137734;57,0
77;28;4;100;2;2;4;6;0,02;0,05;NOC;in_sample_2_1x;9,560913170567641;0,6443833814166632;-20,162085659050465;51,0
78;35;2;50;2;2;4;6;0,02;0,05;NOC;in_sample_2_1x;23,875695361917515;1,1500334128012462;-16,19307952622635;85,0
79;35;2;100;2;2;4;6;0,02;0,05;NOC;in_sample_2_1x;5,913695112829198;0,37303044939136737;-34,972070842445355;67,0
80;35;3;50;2;2;4;6;0,02;0,05;NOC;in_sample_2_1x;22,338116985196386;1,1308223873050567;-14,741280241876197;75,0
81;35;3;100;2;2;4;6;0,02;0,05;NOC;in_sample_2_1x;18,256235009337818;1,005574994430967;-24,605362189881653;65,0
82;35;4;50;2;2;4;6;0,02;0,05;NOC;in_sample_2_1x;13,844330432835793;0,850003671371358;-19,004128050471802;64,0
83;35;4;100;2;2;4;6;0,02;0,05;NOC;in_sample_2_1x;7,688069519717078;0,508051794477604;-31,688852857372275;60,0
84;42;2;50;2;2;4;6;0,02;0,05;NOC;in_sample_2_1x;16,752169984257993;0,8694140347074659;-24,157522763313644;87,0
85;42;2;100;2;2;4;6;0,02;0,05;NOC;in_sample_2_1x;20,6830393896827;1,0770281571422162;-33,37778261479277;82,0
86;42;3;50;2;2;4;6;0,02;0,05;NOC;in_sample_2_1x;15,787715856769458;0,8549399134346845;-18,72205096741154;71,0
87;42;3;100;2;2;4;6;0,02;0,05;NOC;in_sample_2_1x;14,115125224375724;0,8103147685923736;-24,698601796162556;67,0
88;42;4;50;2;2;4;6;0,02;0,05;NOC;in_sample_2_1x;12,826841877924489;0,7507353917806899;-23,60164641306709;60,0
89;42;4;100;2;2;4;6;0,02;0,05;NOC;in_sample_2_1x;13,826777902956167;0,8429087906148292;-15,348549946373879;56,0
90;49;2;50;2;2;4;6;0,02;0,05;NOC;in_sample_2_1x;17,479668714757768;0,978685122698515;-14,014973824175648;92,0
91;49;2;100;2;2;4;6;0,02;0,05;NOC;in_sample_2_1x;22,17078516134943;1,224798231688731;-15,746219252101756;75,0
92;49;3;50;2;2;4;6;0,02;0,05;NOC;in_sample_2_1x;9,85019267049896;0,6224380673868429;-18,108870612480377;74,0
93;49;3;100;2;2;4;6;0,02;0,05;NOC;in_sample_2_1x;17,78601917324414;1,0510931830000203;-13,443611122618936;64,0
94;49;4;50;2;2;4;6;0,02;0,05;NOC;in_sample_2_1x;9,597259037688;0,693911736899302;-18,613083038063504;59,0
95;49;4;100;2;2;4;6;0,02;0,05;NOC;in_sample_2_1x;9,637040627908068;0,665741114252946;-18,85945307530612;53,0
96;28;2;50;2;2;3;6;0,02;0,05;NOC;in_sample_3_1x;16,83465473000321;0,9755743196654962;-20,950038254994784;49,0
97;28;2;100;2;2;3;6;0,02;0,05;NOC;in_sample_3_1x;13,68688882406981;0,9583102697594904;-14,17346370828504;35,0
98;28;3;50;2;2;3;6;0,02;0,05;NOC;in_sample_3_1x;9,65276242021158;0,6249857289210514;-24,826676359766964;42,0
99;28;3;100;2;2;3;6;0,02;0,05;NOC;in_sample_3_1x;16,59554823112419;1,1334504685734113;-13,148891650431926;31,0
100;28;4;50;2;2;3;6;0,02;0,05;NOC;in_sample_3_1x;15,056736203590315;1,0029105243133958;-16,46130680255553;34,0
101;28;4;100;2;2;3;6;0,02;0,05;NOC;in_sample_3_1x;13,912845286700893;1,0251577213922058;-10,040740420935512;28,0
102;35;2;50;2;2;3;6;0,02;0,05;NOC;in_sample_3_1x;14,991409407428735;0,8782353642082286;-16,914073216896107;43,0
103;35;2;100;2;2;3;6;0,02;0,05;NOC;in_sample_3_1x;13,844280142750787;1,008939559969354;-9,022195935783017;32,0
104;35;3;50;2;2;3;6;0,02;0,05;NOC;in_sample_3_1x;17,261658339886555;1,1044122203874442;-11,204150176616789;36,0
105;35;3;100;2;2;3;6;0,02;0,05;NOC;in_sample_3_1x;9,41188178582042;0,653317564862022;-13,692726814486477;30,0
106;35;4;50;2;2;3;6;0,02;0,05;NOC;in_sample_3_1x;9,595578655244852;0,7212689568611762;-13,76760054445948;31,0
107;35;4;100;2;2;3;6;0,02;0,05;NOC;in_sample_3_1x;6,744804040605068;0,5067739956767302;-16,47937749167919;26,0
108;42;2;50;2;2;3;6;0,02;0,05;NOC;in_sample_3_1x;10,650239136188278;0,6936329377866381;-12,617782819012014;45,0
