;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;return_ann;sharpe_ratio;max_drawdown;trades;Pontos_return_ann;Pontos_sharpe_ratio;Pontos_max_drawdown;Pontos_trades;Pontos_ponderados
0;14;3;50;2;3;3;6;0,02;0,05;BAC;10,370482093361614;0,6211787782987065;-20,770895996837286;27,0;4,5797647345761785;6,153887002823358;4,8007865342199265;3,402061855670103;4,892845228466469
1;14;3;50;2;3;4;6;0,02;0,05;BAC;9,205654167294695;0,5903634522699112;-21,583742914888244;26,666666666666668;4,027862417097231;5,865973768230994;4,366902563091618;3,2989690721649487;4,497343774715749
2;14;3;100;2;3;3;6;0,02;0,05;BAC;3,3730442793155144;0,26748475148464745;-19,443602402890665;23,333333333333332;1,2643375718477725;2,8492589349302517;5,509273461593158;2,268041237113401;2,4669778977300543
3;14;3;100;2;3;4;6;0,02;0,05;BAC;5,275804945343395;0,3466121165951978;-17,217143955456418;22,333333333333332;2,165876758613665;3,588560398509157;6,69771941774105;1,9587628865979376;3,1901761967426134
4;14;4;50;2;3;3;6;0,02;0,05;BAC;6,165908943551386;0,31111902934310964;-21,857096162322733;18,666666666666668;2,5876132644227168;3,256941984124424;4,220991211416591;0,8247422680412374;2,760351034424975
5;14;4;50;2;3;4;6;0,02;0,05;BAC;4,819559025177493;0,29142773184859444;-22,27904895793289;18,333333333333332;1,949704760119349;3,072962585377559;3,995759927982545;0,721649484536082;2,387492694804542
6;14;4;100;2;3;3;6;0,02;0,05;BAC;0,704572586007024;-0,03747116047488743;-18,547939516818193;16,666666666666668;0,0;0,0;5,987363199244108;0,20618556701030963;0,8847926808934882
7;14;4;100;2;3;4;6;0,02;0,05;BAC;1,7732838676125373;0,041857776382379454;-14,270578142067473;16,0;0,5063616864213925;0,7411847853242393;8,270546536738578;0,0;1,6102858809501763
8;21;3;50;2;3;3;6;0,02;0,05;BAC;15,089936014331471;0,7581063710969224;-15,218787527806944;37,666666666666664;6,815869740242677;7,433226579196537;7,764408364089466;6,70103092783505;7,111357381577946
9;21;3;50;2;3;4;6;0,02;0,05;BAC;15,678618762499399;0,7329951040998702;-15,16196577572717;37,333333333333336;7,094791086222746;7,198607412776625;7,794738856696803;6,5979381443298974;7,153466440749741
10;21;3;100;2;3;3;6;0,02;0,05;BAC;11,940974150595599;0,5623613109275974;-16,832376690679563;32,0;5,32387310163461;5,60434463336984;6,903101692181922;4,948453608247422;5,575980553153264
11;21;3;100;2;3;4;6;0,02;0,05;BAC;8,673607550126672;0,308127931137707;-17,0186393746794;30,666666666666668;3,7757756028556253;3,22899560580293;6,803677813943389;4,536082474226804;4,160725472620419
12;21;4;50;2;3;3;6;0,02;0,05;BAC;12,597999087650114;0,5632202115892073;-16,337709267011594;30,0;5,635175378380518;5,612369499549953;7,167146817288016;4,329896907216495;5,661044122677995
13;21;4;50;2;3;4;6;0,02;0,05;BAC;13,701956202741115;0,6047784024152606;-14,714149199881177;29,0;6,158236747859646;6,000655287386658;8,033775789666953;4,020618556701031;6,075773594960034
14;21;4;100;2;3;3;6;0,02;0,05;BAC;12,909923383247625;0,7148328283732104;-16,871189457817195;27,0;5,78296694292476;7,028913944431211;6,882384091902975;3,402061855670103;5,95588209502997
15;21;4;100;2;3;4;6;0,02;0,05;BAC;6,653770653608134;0,3215073602091373;-18,75883108035698;26,666666666666668;2,8187650099845696;3,3540020619200908;5,874792840627172;3,2989690721649487;3,4768658666551437
16;28;3;50;2;3;3;6;0,02;0,05;BAC;21,224206037176238;1,0028728852748843;-16,20998190661932;42,0;9,722322930355466;9,720124947593572;7,23532552734774;8,041237113402062;9,126254475286192
17;28;3;50;2;3;4;6;0,02;0,05;BAC;17,21810149377281;0,8057436070346764;-17,624362774360495;40,0;7,824207052388208;7,878309998825524;6,4803528824924;7,422680412371133;7,590324921382744
18;28;3;100;2;3;3;6;0,02;0,05;BAC;19,041984170163953;1,032827885431237;-11,030585399609409;32,333333333333336;8,688373384070186;10,0;10,0;5,051546391752578;8,730952363423304
19;28;3;100;2;3;4;6;0,02;0,05;BAC;13,194946243566283;0,6559702694092943;-16,011980484425994;32,0;5,918012449324569;6,478950275968042;7,341015345987007;4,948453608247422;6,143058122020603
20;28;4;50;2;3;3;6;0,02;0,05;BAC;13,057187071193582;0,7756866311710949;-15,41173094240383;26,0;5,852741343794678;7,597482168710671;7,6614184245703685;3,092783505154639;6,215341471218626
21;28;4;50;2;3;4;6;0,02;0,05;BAC;9,847577216777095;0,5180648091959513;-17,56718875492767;25,333333333333332;4,332009330752301;5,19047430524912;6,510871409469611;2,886597938144329;4,682063707195583
22;28;4;100;2;3;3;6;0,02;0,05;BAC;11,790381686529386;0,7673897168906464;-12,712179995177408;24,666666666666668;5,25252150707451;7,519962579095189;9,102393175454958;2,680412371134021;6,082899318000412
23;28;4;100;2;3;4;6;0,02;0,05;BAC;7,686227138036069;0,47725686180228366;-16,08933924580807;25,666666666666668;3,3079489604208745;4,809198179200449;7,299722544298709;2,989690721649485;4,261665215087388
24;35;3;50;2;3;3;6;0,02;0,05;BAC;14,255834903573932;0,6877108539654765;-15,991691468818402;43,333333333333336;6,42066773165656;6,775508370433224;7,351845280217691;8,45360824742268;6,94549620906807
25;35;3;50;2;3;4;6;0,02;0,05;BAC;7,4585715605915945;0,38723563100759933;-21,757676086228628;40,666666666666664;3,2000844098148002;3,968113333436884;4,274059970696656;7,628865979381442;4,205629406628038
26;35;3;100;2;3;3;6;0,02;0,05;BAC;10,82322946494574;0,4378984045200549;-17,043406744311437;37,333333333333336;4,7942791001902325;4,4414649047219354;6,790457409889796;6,5979381443298974;5,2363089520334665
27;35;3;100;2;3;4;6;0,02;0,05;BAC;8,42204623772024;0,4480580664797836;-20,3023396433118;34,666666666666664;3,6565843745220605;4,536388487047728;5,050894010609832;5,773195876288658;4,409517140651447
28;35;4;50;2;3;3;6;0,02;0,05;BAC;6,669871116961616;0,3577357434365594;-17,80477698442999;35,333333333333336;2,8263935041496047;3,692490481264152;6,384050820966934;5,97938144329897;4,032513391320431
29;35;4;50;2;3;4;6;0,02;0,05;BAC;2,8004051525924187;0,12220202992854035;-20,649353355208394;31,666666666666668;0,9930177880023429;1,4918558604174694;4,86566394574757;4,845360824742269;2,239112836475972
30;35;4;100;2;3;3;6;0,02;0,05;BAC;3,5306781344100657;0,02553313288568715;-23,85604384777919;32,666666666666664;1,3390254188618607;0,5886606514465741;3,1539866616260546;5,1546391752577305;1,9290033423375021
31;35;4;100;2;3;4;6;0,02;0,05;BAC;4,454061046752855;0,1760013020935757;-25,129295861458846;31,333333333333332;1,7765296697800061;1,9945123130305655;2,4743462180513998;4,7422680412371125;2,3621754135270945
32;42;3;50;2;3;3;6;0,02;0,05;BAC;21,810262654274464;0,6553467650583036;-16,1823765553201;45,0;10,0;6,473124760628423;7,250060798135033;8,969072164948454;8,452197497762905
