;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;cenario;return_ann;sharpe_ratio;max_drawdown;trades
0;14;3;50;2;3;3;6;0,02;0,05;JNJ;in_sample_1_1x;6,802533740648653;0,6103564543594852;-17,470197201584504;35,0
1;14;3;100;2;3;3;6;0,02;0,05;JNJ;in_sample_1_1x;0,7758803654986046;0,06707873615691709;-24,740180164920712;29,0
2;14;4;50;2;3;3;6;0,02;0,05;JNJ;in_sample_1_1x;4,9262677532273536;0,5280808102882252;-13,422937671912871;25,0
3;14;4;100;2;3;3;6;0,02;0,05;JNJ;in_sample_1_1x;2,7872167124149305;0,3114904859272792;-16,78957891043764;22,0
4;21;3;50;2;3;3;6;0,02;0,05;JNJ;in_sample_1_1x;11,393655164550353;0,9156156648377638;-9,303925388459888;35,0
5;21;3;100;2;3;3;6;0,02;0,05;JNJ;in_sample_1_1x;6,82190570984007;0,5793143594988246;-11,837318031040667;36,0
6;21;4;50;2;3;3;6;0,02;0,05;JNJ;in_sample_1_1x;7,704614701914259;0,6893570281494033;-16,145944823892467;29,0
7;21;4;100;2;3;3;6;0,02;0,05;JNJ;in_sample_1_1x;6,694976413732112;0,6301895894586642;-11,837318031040667;30,0
8;28;3;50;2;3;3;6;0,02;0,05;JNJ;in_sample_1_1x;0,7993971174868664;0,06010671735143459;-35,16847685453909;45,0
9;28;3;100;2;3;3;6;0,02;0,05;JNJ;in_sample_1_1x;-1,3274751350281444;-0,10575407883646508;-32,32171056378107;41,0
10;28;4;50;2;3;3;6;0,02;0,05;JNJ;in_sample_1_1x;3,395623774762657;0,2789667304690765;-28,880169532600487;33,0
11;28;4;100;2;3;3;6;0,02;0,05;JNJ;in_sample_1_1x;-1,8274526459703622;-0,15213908160971892;-29,71600403871344;35,0
12;35;3;50;2;3;3;6;0,02;0,05;JNJ;in_sample_1_1x;3,2285953276792956;0,2566223576949841;-14,84680564350941;48,0
13;35;3;100;2;3;3;6;0,02;0,05;JNJ;in_sample_1_1x;1,2276355043504772;0,09064731577940227;-27,212479992889193;39,0
14;35;4;50;2;3;3;6;0,02;0,05;JNJ;in_sample_1_1x;3,3821613763820313;0,33587666360648494;-12,820029868118787;28,0
15;35;4;100;2;3;3;6;0,02;0,05;JNJ;in_sample_1_1x;5,561723578383937;0,5219792935725868;-16,743937319063885;31,0
16;42;3;50;2;3;3;6;0,02;0,05;JNJ;in_sample_1_1x;-6,4665006081595084;-0,5612851827121024;-37,89558235312428;48,0
17;42;3;100;2;3;3;6;0,02;0,05;JNJ;in_sample_1_1x;0,7076835852847019;0,06441444238512864;-27,69835787244268;40,0
18;42;4;50;2;3;3;6;0,02;0,05;JNJ;in_sample_1_1x;-2,2021888389163413;-0,20276745796102918;-24,529133892601372;34,0
19;42;4;100;2;3;3;6;0,02;0,05;JNJ;in_sample_1_1x;2,0310878301607715;0,20170104210984918;-15,156492052303271;32,0
20;49;3;50;2;3;3;6;0,02;0,05;JNJ;in_sample_1_1x;0,375554529265254;0,027879162768079807;-29,27586314616253;54,0
21;49;3;100;2;3;3;6;0,02;0,05;JNJ;in_sample_1_1x;0,8366926580515077;0,06791422419273391;-23,785501041100698;46,0
22;49;4;50;2;3;3;6;0,02;0,05;JNJ;in_sample_1_1x;-0,9674551933456677;-0,07453873293173108;-29,784449859284656;49,0
23;49;4;100;2;3;3;6;0,02;0,05;JNJ;in_sample_1_1x;4,02374914418695;0,360107510585123;-18,40045099740243;40,0
24;14;3;50;2;3;4;6;0,02;0,05;JNJ;in_sample_1_1x;6,560608881901264;0,6153114406219786;-17,641884743823567;34,0
25;14;3;100;2;3;4;6;0,02;0,05;JNJ;in_sample_1_1x;5,162567632843151;0,4969601122889291;-18,19055994019455;30,0
26;14;4;50;2;3;4;6;0,02;0,05;JNJ;in_sample_1_1x;3,0580208010279497;0,3306285562385602;-13,422915272714553;25,0
27;14;4;100;2;3;4;6;0,02;0,05;JNJ;in_sample_1_1x;2,654649405054954;0,2878144002838492;-16,78961318502964;23,0
28;21;3;50;2;3;4;6;0,02;0,05;JNJ;in_sample_1_1x;11,0469170587006;0,874072913154837;-9,53474022646683;35,0
29;21;3;100;2;3;4;6;0,02;0,05;JNJ;in_sample_1_1x;5,602657190868787;0,5066033192925563;-12,17696880352882;34,0
30;21;4;50;2;3;4;6;0,02;0,05;JNJ;in_sample_1_1x;7,53887848438477;0,6740753367411499;-14,522948572258887;29,0
31;21;4;100;2;3;4;6;0,02;0,05;JNJ;in_sample_1_1x;4,942898064374313;0,49702951683446533;-11,64713913265536;30,0
32;28;3;50;2;3;4;6;0,02;0,05;JNJ;in_sample_1_1x;1,5076734784263968;0,1060418217501741;-34,13626047919938;48,0
33;28;3;100;2;3;4;6;0,02;0,05;JNJ;in_sample_1_1x;-4,800958342605965;-0,40150600192285973;-41,569667688733944;40,0
34;28;4;50;2;3;4;6;0,02;0,05;JNJ;in_sample_1_1x;4,5095495965010945;0,3506172307017842;-30,93926743787957;34,0
35;28;4;100;2;3;4;6;0,02;0,05;JNJ;in_sample_1_1x;-2,6790897305620343;-0,22846079159730773;-36,937129744728225;34,0
36;35;3;50;2;3;4;6;0,02;0,05;JNJ;in_sample_1_1x;-3,2624664766421563;-0,2744686823122855;-28,21327097321291;45,0
37;35;3;100;2;3;4;6;0,02;0,05;JNJ;in_sample_1_1x;-1,832605860857306;-0,13253975929458248;-32,39187798356235;37,0
38;35;4;50;2;3;4;6;0,02;0,05;JNJ;in_sample_1_1x;-1,7554188006156268;-0,1785446986948307;-24,400071954199255;28,0
39;35;4;100;2;3;4;6;0,02;0,05;JNJ;in_sample_1_1x;3,8821563069904474;0,3666690921886111;-19,368568208673775;28,0
40;42;3;50;2;3;4;6;0,02;0,05;JNJ;in_sample_1_1x;-5,9659476679092;-0,5092112611068376;-34,42669900920421;46,0
41;42;3;100;2;3;4;6;0,02;0,05;JNJ;in_sample_1_1x;-2,736176152965042;-0,2454664459292684;-31,17605786670469;43,0
