;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;cenario;return_ann;sharpe_ratio;max_drawdown;trades
0;14;3;50;2;3;3;6;0,02;0,05;PNC;in_sample_1_1x;7,461198849449602;0,6575500370557669;-11,895406389326046;28,0
1;14;3;100;2;3;3;6;0,02;0,05;PNC;in_sample_1_1x;4,335615268441506;0,4646491716134014;-14,972641231188788;28,0
2;14;4;50;2;3;3;6;0,02;0,05;PNC;in_sample_1_1x;1,9323878415220985;0,2330928763693812;-7,139004875661281;17,0
3;14;4;100;2;3;3;6;0,02;0,05;PNC;in_sample_1_1x;-1,693877726445403;-0,19907494937183662;-18,912814264414045;24,0
4;21;3;50;2;3;3;6;0,02;0,05;PNC;in_sample_1_1x;12,022698464864767;0,9732083475256645;-12,684049642874328;34,0
5;21;3;100;2;3;3;6;0,02;0,05;PNC;in_sample_1_1x;12,154813777983886;0,8122364590319855;-13,983359975005992;30,0
6;21;4;50;2;3;3;6;0,02;0,05;PNC;in_sample_1_1x;6,676922265272456;0,6640834763558047;-11,033108623846966;20,0
7;21;4;100;2;3;3;6;0,02;0,05;PNC;in_sample_1_1x;5,048136990814123;0,5041656340673668;-17,677560319493846;22,0
8;28;3;50;2;3;3;6;0,02;0,05;PNC;in_sample_1_1x;4,751469683511589;0,343163492689315;-30,514560760262764;42,0
9;28;3;100;2;3;3;6;0,02;0,05;PNC;in_sample_1_1x;2,9212449043349187;0,2378467249631434;-27,2114005411076;38,0
10;28;4;50;2;3;3;6;0,02;0,05;PNC;in_sample_1_1x;1,4683769730883478;0,1475846404636219;-28,150166426528646;26,0
11;28;4;100;2;3;3;6;0,02;0,05;PNC;in_sample_1_1x;4,470547734430119;0,48073285974879615;-24,509775883099316;23,0
12;35;3;50;2;3;3;6;0,02;0,05;PNC;in_sample_1_1x;7,067884929418011;0,5110530256134826;-16,105597990923393;43,0
13;35;3;100;2;3;3;6;0,02;0,05;PNC;in_sample_1_1x;2,2186656047165743;0,17675661459988398;-34,175697836571274;37,0
14;35;4;50;2;3;3;6;0,02;0,05;PNC;in_sample_1_1x;8,54856893386209;0,6788651941242297;-16,10563287755672;32,0
15;35;4;100;2;3;3;6;0,02;0,05;PNC;in_sample_1_1x;4,656810593547411;0,37254285265125336;-29,566168868639075;31,0
16;42;3;50;2;3;3;6;0,02;0,05;PNC;in_sample_1_1x;6,101859409298793;0,39895310000898604;-16,404374521098585;56,0
17;42;3;100;2;3;3;6;0,02;0,05;PNC;in_sample_1_1x;12,52072959347721;0,8762022882029064;-11,144695737078326;43,0
18;42;4;50;2;3;3;6;0,02;0,05;PNC;in_sample_1_1x;-0,5816800419391033;-0,044430486426672494;-17,770561300986554;43,0
19;42;4;100;2;3;3;6;0,02;0,05;PNC;in_sample_1_1x;4,511302783722182;0,37580064094752896;-18,694218732127876;35,0
20;49;3;50;2;3;3;6;0,02;0,05;PNC;in_sample_1_1x;10,59314113176395;0,6413900247753812;-16,057904867558925;52,0
21;49;3;100;2;3;3;6;0,02;0,05;PNC;in_sample_1_1x;3,436482705818511;0,22751345045396315;-26,106356349101734;46,0
22;49;4;50;2;3;3;6;0,02;0,05;PNC;in_sample_1_1x;6,065301930587852;0,4072076126402425;-15,302424208411026;45,0
23;49;4;100;2;3;3;6;0,02;0,05;PNC;in_sample_1_1x;2,210563568256685;0,15221633242741606;-19,388615031363067;44,0
24;14;3;50;2;3;4;6;0,02;0,05;PNC;in_sample_1_1x;7,701917546733461;0,6637336724235111;-14,51681661448081;28,0
25;14;3;100;2;3;4;6;0,02;0,05;PNC;in_sample_1_1x;2,0114894343247203;0,22106127758628444;-16,246262352655883;28,0
26;14;4;50;2;3;4;6;0,02;0,05;PNC;in_sample_1_1x;2,0863715370222247;0,23942902848860645;-8,359457185649333;16,0
27;14;4;100;2;3;4;6;0,02;0,05;PNC;in_sample_1_1x;-4,2963547118052166;-0,5474921601126707;-28,857391795323228;22,0
28;21;3;50;2;3;4;6;0,02;0,05;PNC;in_sample_1_1x;8,667428851330161;0,7740206769078551;-13,518090618835021;33,0
29;21;3;100;2;3;4;6;0,02;0,05;PNC;in_sample_1_1x;7,793205053025987;0,6383438843307304;-13,74632515259563;29,0
30;21;4;50;2;3;4;6;0,02;0,05;PNC;in_sample_1_1x;3,0742184864319233;0,32813288089129583;-13,518105404745317;20,0
31;21;4;100;2;3;4;6;0,02;0,05;PNC;in_sample_1_1x;4,16314633973669;0,4555515282809721;-10,390698484358706;22,0
32;28;3;50;2;3;4;6;0,02;0,05;PNC;in_sample_1_1x;2,208134382122462;0,1634484040801139;-31,340680994677083;40,0
33;28;3;100;2;3;4;6;0,02;0,05;PNC;in_sample_1_1x;6,996155329970066;0,567203203740886;-12,18606514310181;36,0
34;28;4;50;2;3;4;6;0,02;0,05;PNC;in_sample_1_1x;1,8785379782853884;0,19329164450397368;-26,347487925221913;27,0
35;28;4;100;2;3;4;6;0,02;0,05;PNC;in_sample_1_1x;4,526160257243883;0,5277111593466033;-19,46937381311329;22,0
