;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;return_ann;sharpe_ratio;max_drawdown;trades;Pontos_return_ann;Pontos_sharpe_ratio;Pontos_max_drawdown;Pontos_trades;Pontos_ponderados
0;14;2;50;2;3;3;6;0,02;0,05;HSY;6,787403866601793;0,4763888852696576;-16,421754710233547;32,333333333333336;6,011305399268076;4,637591281201737;4,310385402521336;2,361111111111112;4,854370753405736
1;14;2;50;2;3;4;6;0,02;0,05;HSY;4,954202985924727;0,3588263418605053;-17,84779235893226;32,333333333333336;3,5541790279689436;2,4758823208306726;2,3428538362957467;2,361111111111112;2,902609524710719
2;14;2;100;2;3;3;6;0,02;0,05;HSY;3,3172795524509993;0,30224310531178356;-17,53006673155903;27,0;1,3601326588114608;1,4354447298501005;2,7812259941599544;0,13888888888888842;1,4102003313119182
3;14;2;100;2;3;4;6;0,02;0,05;HSY;2,302518400116575;0,2241777706815963;-16,523101036680618;26,666666666666668;0,0;0,0;4,170555927060029;0,0;0,5957937038657184
4;56;2;50;2;3;3;6;0,02;0,05;HSY;9,509921897437254;0,7139932906195449;-19,54585801302753;49,666666666666664;9,660425864141786;9,006598255480107;0,0;9,583333333333334;8,082543919531272
5;56;2;50;2;3;4;6;0,02;0,05;HSY;9,44131776153605;0,6277135560567024;-18,3872424540121;43,666666666666664;9,568472476338057;7,420109311856132;1,5985641666355423;7,083333333333333;7,461076221813616
6;56;2;100;2;3;3;6;0,02;0,05;HSY;4,16688227490084;0,3412334365665804;-18,56264220374326;40,666666666666664;2,498895615159171;2,152388630493616;1,3565617590419987;5,833333333333333;2,713051314120011
7;56;2;100;2;3;4;6;0,02;0,05;HSY;4,8663572391795045;0,4041316670417148;-16,476431916783465;33,0;3,4364351935592468;3,3089446598776937;4,234946209216609;2,638888888888889;3,4001471426483754
8;63;2;50;2;3;3;6;0,02;0,05;HSY;9,717162349183768;0,7237654757506506;-14,920511935177862;50,666666666666664;9,938200102935646;9,186286611547704;6,3816789277557575;10,0;9,224121779951158
9;63;2;50;2;3;4;6;0,02;0,05;HSY;9,555761615048622;0,7417314851955238;-14,049763399065611;46,333333333333336;9,721867018890851;9,51664084235001;7,583067427287257;8,194444444444446;9,139484944729181
10;63;2;100;2;3;3;6;0,02;0,05;HSY;9,24364078047592;0,7270326775051044;-12,298006577361113;42,333333333333336;9,303516612372809;9,246363053440954;10,0;6,5277777777777795;8,990150531682586
11;63;2;100;2;3;4;6;0,02;0,05;HSY;9,763269715515206;0,768018526140982;-13,709350880191169;36,333333333333336;10,0;10,0;8,05274112561844;4,0277777777777795;8,868645557628032
