;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;cenario;return_ann;sharpe_ratio;max_drawdown;trades
0;14;2;50;2;3;3;6;0,02;0,05;NEM;in_sample_1_1x;14,163569259470087;0,7526343381753876;-28,452584625731127;52,0
1;14;2;100;2;3;3;6;0,02;0,05;NEM;in_sample_1_1x;7,061172291706264;0,45284489121141586;-27,550787553920507;41,0
2;56;2;50;2;3;3;6;0,02;0,05;NEM;in_sample_1_1x;31,859633886040296;1,0475942569405052;-18,44883651258319;89,0
3;56;2;100;2;3;3;6;0,02;0,05;NEM;in_sample_1_1x;14,561236199694827;0,6516776725734312;-19,288716314530575;71,0
4;63;2;50;2;3;3;6;0,02;0,05;NEM;in_sample_1_1x;33,15973243751542;1,1054923452420269;-26,944604662864723;93,0
5;63;2;100;2;3;3;6;0,02;0,05;NEM;in_sample_1_1x;25,49908241347061;0,997555182557688;-19,512822257380037;80,0
6;14;2;50;2;3;4;6;0,02;0,05;NEM;in_sample_1_1x;13,183044536929378;0,6745778285486318;-22,149416580220993;51,0
7;14;2;100;2;3;4;6;0,02;0,05;NEM;in_sample_1_1x;6,662483311924006;0,4449950508097818;-23,286777277418036;37,0
8;56;2;50;2;3;4;6;0,02;0,05;NEM;in_sample_1_1x;25,110372913040347;0,8859473622831173;-19,074273357828876;84,0
9;56;2;100;2;3;4;6;0,02;0,05;NEM;in_sample_1_1x;22,404465884888246;0,9804463617271679;-20,61585649062484;65,0
10;63;2;50;2;3;4;6;0,02;0,05;NEM;in_sample_1_1x;15,437011521123223;0,6726265571010956;-19,228274312111427;70,0
11;63;2;100;2;3;4;6;0,02;0,05;NEM;in_sample_1_1x;21,84297463469815;0,9288748514263417;-17,63455251813566;70,0
12;14;2;50;2;3;3;6;0,02;0,05;NEM;in_sample_2_1x;20,324964835596184;1,0213285802310537;-21,73552356866547;55,0
13;14;2;100;2;3;3;6;0,02;0,05;NEM;in_sample_2_1x;6,300100050968882;0,5078432797966526;-18,874512474247073;41,0
14;56;2;50;2;3;3;6;0,02;0,05;NEM;in_sample_2_1x;22,351566205676598;0,9496546458220944;-28,796765916196275;78,0
15;56;2;100;2;3;3;6;0,02;0,05;NEM;in_sample_2_1x;23,192378146993843;1,0749684597134026;-19,47413718754627;63,0
16;63;2;50;2;3;3;6;0,02;0,05;NEM;in_sample_2_1x;8,59350509590131;0,38963569531145054;-33,945468582064265;87,0
17;63;2;100;2;3;3;6;0,02;0,05;NEM;in_sample_2_1x;11,032249915319303;0,501290717011682;-27,912379790223618;67,0
18;14;2;50;2;3;4;6;0,02;0,05;NEM;in_sample_2_1x;22,32861628294911;1,1310869617748198;-21,013614551304414;54,0
19;14;2;100;2;3;4;6;0,02;0,05;NEM;in_sample_2_1x;8,099040071003971;0,6267523613788435;-18,874539267987156;38,0
20;56;2;50;2;3;4;6;0,02;0,05;NEM;in_sample_2_1x;18,380135032522205;0,7879953252226625;-39,81091633825772;74,0
21;56;2;100;2;3;4;6;0,02;0,05;NEM;in_sample_2_1x;19,858598521514125;0,8556825942808641;-32,930113860709476;67,0
22;63;2;50;2;3;4;6;0,02;0,05;NEM;in_sample_2_1x;9,391092675594681;0,4761622940601533;-23,783576741663015;68,0
23;63;2;100;2;3;4;6;0,02;0,05;NEM;in_sample_2_1x;-2,7125026905043703;-0,16677904987228243;-28,359079471655512;60,0
24;14;2;50;2;3;3;6;0,02;0,05;NEM;in_sample_3_1x;9,768079378872585;0,7360334221900641;-10,482027946895956;19,0
25;14;2;100;2;3;3;6;0,02;0,05;NEM;in_sample_3_1x;6,14600011316897;0,6167701416354647;-10,636174429207323;13,0
26;56;2;50;2;3;3;6;0,02;0,05;NEM;in_sample_3_1x;7,298153353950854;0,37410001466955395;-23,253397074754435;42,0
27;56;2;100;2;3;3;6;0,02;0,05;NEM;in_sample_3_1x;5,190989212844355;0,32870557322603716;-15,338186990523695;33,0
28;63;2;50;2;3;3;6;0,02;0,05;NEM;in_sample_3_1x;13,62678075016377;0,7407634915086535;-12,791188434466127;42,0
29;63;2;100;2;3;3;6;0,02;0,05;NEM;in_sample_3_1x;6,2666163671937;0,44072089965512806;-11,075894841606448;30,0
30;14;2;50;2;3;4;6;0,02;0,05;NEM;in_sample_3_1x;8,757788847717896;0,660227451240333;-10,482027946895956;20,0
31;14;2;100;2;3;4;6;0,02;0,05;NEM;in_sample_3_1x;4,234544318567868;0,4431855692233385;-10,636174429207323;14,0
32;56;2;50;2;3;4;6;0,02;0,05;NEM;in_sample_3_1x;13,189416468810577;0,6631139496169022;-16,496824969184598;40,0
33;56;2;100;2;3;4;6;0,02;0,05;NEM;in_sample_3_1x;14,272033227192127;0,8228318575559782;-11,214173341248246;34,0
34;63;2;50;2;3;4;6;0,02;0,05;NEM;in_sample_3_1x;6,003929288362597;0,4149010551847316;-11,070672733373566;30,0
35;63;2;100;2;3;4;6;0,02;0,05;NEM;in_sample_3_1x;4,913326969290366;0,3807016205691902;-22,564286565228663;28,0
