;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;cenario;return_ann;sharpe_ratio;max_drawdown;trades
0;21;2;50;2;3;3;6;0,02;0,05;MU;in_sample_1_1x;41,16911885351904;1,2029914855132722;-23,537789383588624;70,0
1;21;2;100;2;3;3;6;0,02;0,05;MU;in_sample_1_1x;25,318856551919346;0,9594477252976579;-19,357236266703016;53,0
2;21;2;50;2;3;4;6;0,02;0,05;MU;in_sample_1_1x;52,688663350115085;1,3407060929806751;-23,537789383588624;70,0
3;21;2;100;2;3;4;6;0,02;0,05;MU;in_sample_1_1x;22,303345840141418;0,897911763862708;-17,103146363061718;51,0
4;21;2;50;2;3;3;6;0,02;0,05;MU;in_sample_2_1x;39,37887127932984;1,2556960363264589;-16,937177872090757;76,0
5;21;2;100;2;3;3;6;0,02;0,05;MU;in_sample_2_1x;21,261648423521827;0,8584683049953565;-30,774769541632796;64,0
6;21;2;50;2;3;4;6;0,02;0,05;MU;in_sample_2_1x;29,51615104824532;1,011382029569609;-17,069993182155784;74,0
7;21;2;100;2;3;4;6;0,02;0,05;MU;in_sample_2_1x;20,390301801815426;0,8508336588862262;-29,49385651305062;58,0
8;21;2;50;2;3;3;6;0,02;0,05;MU;in_sample_3_1x;28,949397261031805;1,2744400764436117;-17,820794998926836;34,0
9;21;2;100;2;3;3;6;0,02;0,05;MU;in_sample_3_1x;2,702886045747732;0,15696920274202766;-21,362257468762714;31,0
10;21;2;50;2;3;4;6;0,02;0,05;MU;in_sample_3_1x;32,32296253320277;1,3844013622988214;-15,487291506327638;34,0
11;21;2;100;2;3;4;6;0,02;0,05;MU;in_sample_3_1x;1,2111394905802708;0,07421823696910086;-27,878035366460185;30,0
