;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;cenario;return_ann;sharpe_ratio;max_drawdown;trades
0;28;2;50;2;3;3;6;0,02;0,05;CSCO;in_sample_1_1x;41,23195533154238;1,1457417104499228;-13,055175731686608;84,0
1;28;2;100;2;3;3;6;0,02;0,05;CSCO;in_sample_1_1x;28,550298020691113;0,9024574365843402;-19,984379761430926;70,0
2;28;2;50;2;3;4;6;0,02;0,05;CSCO;in_sample_1_1x;29,932245969969795;0,9741511439814786;-30,099857025771648;83,0
3;28;2;100;2;3;4;6;0,02;0,05;CSCO;in_sample_1_1x;24,800511220041543;0,899064467421178;-33,959998439800806;72,0
4;28;2;50;2;3;3;6;0,02;0,05;CSCO;in_sample_2_1x;26,43133785895133;1,2129139804593065;-19,808592729998477;69,0
5;28;2;100;2;3;3;6;0,02;0,05;CSCO;in_sample_2_1x;16,188669858243298;0,9488775232235838;-14,851430010815026;52,0
6;28;2;50;2;3;4;6;0,02;0,05;CSCO;in_sample_2_1x;20,138106121526313;1,0083397023620955;-18,84550769523826;61,0
7;28;2;100;2;3;4;6;0,02;0,05;CSCO;in_sample_2_1x;12,60940817635996;0,7307513683883502;-15,221619537764097;50,0
8;28;2;50;2;3;3;6;0,02;0,05;CSCO;in_sample_3_1x;9,644084966640243;0,6620780236708521;-18,745352164183682;31,0
9;28;2;100;2;3;3;6;0,02;0,05;CSCO;in_sample_3_1x;5,087751222622261;0,4153191958101182;-19,733828275461985;24,0
10;28;2;50;2;3;4;6;0,02;0,05;CSCO;in_sample_3_1x;6,958416475022267;0,5006208986393095;-15,268724742195584;28,0
11;28;2;100;2;3;4;6;0,02;0,05;CSCO;in_sample_3_1x;8,793448117718071;0,6870214963369251;-17,348351954109308;23,0
