;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;cenario;return_ann;sharpe_ratio;max_drawdown;trades
0;35;2;50;2;3;3;6;0,02;0,05;COF;in_sample_1_1x;41,86075763166479;1,322271289576796;-13,653849674903284;84,0
1;35;2;100;2;3;3;6;0,02;0,05;COF;in_sample_1_1x;22,79135138273205;0,9263596034301625;-21,83934311896981;69,0
2;42;2;50;2;3;3;6;0,02;0,05;COF;in_sample_1_1x;42,96701509140879;1,1068381892635888;-15,770400045672028;83,0
3;42;2;100;2;3;3;6;0,02;0,05;COF;in_sample_1_1x;32,34211464533858;1,0044290855557352;-17,661484215883238;68,0
4;49;2;50;2;3;3;6;0,02;0,05;COF;in_sample_1_1x;37,45407763998636;1,2195371692568653;-18,02431280299701;78,0
5;49;2;100;2;3;3;6;0,02;0,05;COF;in_sample_1_1x;14,99303120961255;0,6785526494034151;-24,132057796516836;66,0
6;35;2;50;2;3;4;6;0,02;0,05;COF;in_sample_1_1x;37,20379823474582;1,240120398542558;-13,073365832148431;78,0
7;35;2;100;2;3;4;6;0,02;0,05;COF;in_sample_1_1x;15,44855959324536;0,6786655986409602;-21,61437479889512;66,0
8;42;2;50;2;3;4;6;0,02;0,05;COF;in_sample_1_1x;36,74112292642386;1,0032616512046164;-17,47763561961365;82,0
9;42;2;100;2;3;4;6;0,02;0,05;COF;in_sample_1_1x;26,852555396501977;0,8352942858536269;-16,5283081724939;66,0
10;49;2;50;2;3;4;6;0,02;0,05;COF;in_sample_1_1x;38,895813765957364;1,1217695199967592;-19,389079196782035;74,0
11;49;2;100;2;3;4;6;0,02;0,05;COF;in_sample_1_1x;23,19757348624405;0,7505049409042156;-24,356053340006767;60,0
12;35;2;50;2;3;3;6;0,02;0,05;COF;in_sample_2_1x;18,518876043488408;0,5157707118506266;-31,67927234907414;89,0
13;35;2;100;2;3;3;6;0,02;0,05;COF;in_sample_2_1x;16,981365474253842;0,5898349111433068;-35,67940538900739;71,0
14;42;2;50;2;3;3;6;0,02;0,05;COF;in_sample_2_1x;32,142972217279684;0,8245012049714985;-25,786156077412524;94,0
15;42;2;100;2;3;3;6;0,02;0,05;COF;in_sample_2_1x;17,70350114546457;0,548230284596841;-48,20108291776918;79,0
16;49;2;50;2;3;3;6;0,02;0,05;COF;in_sample_2_1x;27,964573729255026;0,7193650283871715;-28,876216731521932;90,0
17;49;2;100;2;3;3;6;0,02;0,05;COF;in_sample_2_1x;16,937939541873035;0,5241917830347935;-28,55854212205675;77,0
18;35;2;50;2;3;4;6;0,02;0,05;COF;in_sample_2_1x;17,998672924972947;0,5414857890061636;-29,908581840501512;85,0
19;35;2;100;2;3;4;6;0,02;0,05;COF;in_sample_2_1x;13,59999574992643;0,4789284034416701;-37,253718417372525;66,0
20;42;2;50;2;3;4;6;0,02;0,05;COF;in_sample_2_1x;29,32351855848685;0,8731932905850011;-28,72774945246268;84,0
21;42;2;100;2;3;4;6;0,02;0,05;COF;in_sample_2_1x;7,358925159712015;0,2534520824233969;-35,51446399927192;69,0
22;49;2;50;2;3;4;6;0,02;0,05;COF;in_sample_2_1x;17,316706948650772;0,5716499673734288;-25,731025239993034;83,0
23;49;2;100;2;3;4;6;0,02;0,05;COF;in_sample_2_1x;19,462780065328424;0,6478798916612878;-29,149851018534655;62,0
24;35;2;50;2;3;3;6;0,02;0,05;COF;in_sample_3_1x;20,97663188056975;1,2298604626067233;-9,073565213166157;33,0
25;35;2;100;2;3;3;6;0,02;0,05;COF;in_sample_3_1x;24,79672474829988;1,4331887519873348;-12,23756537378713;33,0
26;42;2;50;2;3;3;6;0,02;0,05;COF;in_sample_3_1x;12,173738696080338;0,7428750948025771;-13,71475479224593;39,0
27;42;2;100;2;3;3;6;0,02;0,05;COF;in_sample_3_1x;1,5571789704584837;0,11346893254839008;-16,555074794195523;33,0
28;49;2;50;2;3;3;6;0,02;0,05;COF;in_sample_3_1x;10,253249161522904;0,6321889688956128;-17,14839437242155;42,0
29;49;2;100;2;3;3;6;0,02;0,05;COF;in_sample_3_1x;16,131054519326483;0,9783137182640669;-15,874558800630068;36,0
30;35;2;50;2;3;4;6;0,02;0,05;COF;in_sample_3_1x;17,831725687139265;1,0804468075668037;-15,469663352293194;34,0
31;35;2;100;2;3;4;6;0,02;0,05;COF;in_sample_3_1x;16,381208543026293;1,0006974155403425;-14,529409907095914;32,0
32;42;2;50;2;3;4;6;0,02;0,05;COF;in_sample_3_1x;15,114375392500644;0,9497573775353977;-12,399154465657581;34,0
33;42;2;100;2;3;4;6;0,02;0,05;COF;in_sample_3_1x;-3,1620605112196;-0,2204042203366114;-17,9698985948746;32,0
34;49;2;50;2;3;4;6;0,02;0,05;COF;in_sample_3_1x;4,229663925231475;0,29666709014689324;-18,3556682543653;40,0
35;49;2;100;2;3;4;6;0,02;0,05;COF;in_sample_3_1x;11,537367302535406;0,7435245356204995;-12,472726759678155;31,0
