;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;cenario;return_ann;sharpe_ratio;max_drawdown;trades
0;35;2;50;2;3;3;6;0,02;0,05;MCO;in_sample_1_1x;25,677923195171214;1,247754373378058;-17,693290527453943;67,0
1;35;2;100;2;3;3;6;0,02;0,05;MCO;in_sample_1_1x;12,460824864382246;0,8564666631647306;-10,894008638430396;47,0
2;42;2;50;2;3;3;6;0,02;0,05;MCO;in_sample_1_1x;12,533550971945907;0,7231062098899894;-22,090588448246717;65,0
3;42;2;100;2;3;3;6;0,02;0,05;MCO;in_sample_1_1x;10,530148272647022;0,643133576287324;-19,708641263882075;56,0
4;49;2;50;2;3;3;6;0,02;0,05;MCO;in_sample_1_1x;10,490552270079423;0,631675358699972;-34,984650094460356;71,0
5;49;2;100;2;3;3;6;0,02;0,05;MCO;in_sample_1_1x;2,487342172639573;0,17722117758708575;-34,422243399144726;58,0
6;35;2;50;2;3;4;6;0,02;0,05;MCO;in_sample_1_1x;25,804654397920878;1,3336511564570273;-8,99131576057851;66,0
7;35;2;100;2;3;4;6;0,02;0,05;MCO;in_sample_1_1x;4,003560913782511;0,31409609271008876;-16,848974579447162;49,0
8;42;2;50;2;3;4;6;0,02;0,05;MCO;in_sample_1_1x;7,824304424874784;0,4674259918522725;-23,37315569936189;59,0
9;42;2;100;2;3;4;6;0,02;0,05;MCO;in_sample_1_1x;14,162043448372309;0,8076214909214469;-14,191827896723852;50,0
10;49;2;50;2;3;4;6;0,02;0,05;MCO;in_sample_1_1x;16,747322490768134;0,9329911683056531;-19,087242686844373;66,0
11;49;2;100;2;3;4;6;0,02;0,05;MCO;in_sample_1_1x;6,706988642612854;0,45433774621864337;-38,63046836524078;51,0
12;35;2;50;2;3;3;6;0,02;0,05;MCO;in_sample_2_1x;35,347538662164354;1,162506998423459;-26,38795508152354;80,0
13;35;2;100;2;3;3;6;0,02;0,05;MCO;in_sample_2_1x;24,117813454363144;0,9684092307477719;-39,715016742319655;68,0
14;42;2;50;2;3;3;6;0,02;0,05;MCO;in_sample_2_1x;27,674589041963337;0,9633273678186539;-26,505919411278978;80,0
15;42;2;100;2;3;3;6;0,02;0,05;MCO;in_sample_2_1x;28,57963679598159;1,1020057440527113;-26,177188090168723;70,0
16;49;2;50;2;3;3;6;0,02;0,05;MCO;in_sample_2_1x;28,53402650578001;0,9995480253171832;-23,674472368851042;86,0
17;49;2;100;2;3;3;6;0,02;0,05;MCO;in_sample_2_1x;32,329332646979346;1,2278181562805834;-14,038501436204221;78,0
18;35;2;50;2;3;4;6;0,02;0,05;MCO;in_sample_2_1x;24,810474438949925;0,930225735306504;-26,54921366131564;77,0
19;35;2;100;2;3;4;6;0,02;0,05;MCO;in_sample_2_1x;17,646637538306752;0,7502178658261401;-27,032177323021944;64,0
20;42;2;50;2;3;4;6;0,02;0,05;MCO;in_sample_2_1x;24,504283505673374;0,8845396990958161;-22,412547892832503;79,0
21;42;2;100;2;3;4;6;0,02;0,05;MCO;in_sample_2_1x;28,19795341984779;1,1104544306774207;-40,23198551725344;63,0
22;49;2;50;2;3;4;6;0,02;0,05;MCO;in_sample_2_1x;26,185903031427515;0,9675457644803311;-28,261880967066823;77,0
23;49;2;100;2;3;4;6;0,02;0,05;MCO;in_sample_2_1x;22,07265104950227;0,9050537107848624;-15,737184217574763;66,0
24;35;2;50;2;3;3;6;0,02;0,05;MCO;in_sample_3_1x;11,64215636511936;0,9844727827295551;-10,368385553019188;30,0
25;35;2;100;2;3;3;6;0,02;0,05;MCO;in_sample_3_1x;7,302476994452678;0,6699144430157643;-8,824687774179129;27,0
26;42;2;50;2;3;3;6;0,02;0,05;MCO;in_sample_3_1x;15,76972971459918;1,1697726375348727;-10,478347395567788;36,0
27;42;2;100;2;3;3;6;0,02;0,05;MCO;in_sample_3_1x;9,035514412359724;0,6662655268189658;-19,724851356702533;29,0
28;49;2;50;2;3;3;6;0,02;0,05;MCO;in_sample_3_1x;7,312606154765633;0,56863536000841;-17,063588262515772;33,0
29;49;2;100;2;3;3;6;0,02;0,05;MCO;in_sample_3_1x;6,852468462348238;0,5745761731876459;-23,147327642528957;26,0
30;35;2;50;2;3;4;6;0,02;0,05;MCO;in_sample_3_1x;10,128000904021706;0,8801719033358686;-8,23083333695589;29,0
31;35;2;100;2;3;4;6;0,02;0,05;MCO;in_sample_3_1x;8,874183508597365;0,8040630008909;-8,824794432654826;23,0
32;42;2;50;2;3;4;6;0,02;0,05;MCO;in_sample_3_1x;8,897838905346012;0,6776253428594323;-14,515753184245817;36,0
33;42;2;100;2;3;4;6;0,02;0,05;MCO;in_sample_3_1x;4,76026796126876;0,39826730413946326;-21,82939197458338;26,0
34;49;2;50;2;3;4;6;0,02;0,05;MCO;in_sample_3_1x;9,929302081813042;0,7630573572656691;-14,559902862695873;32,0
35;49;2;100;2;3;4;6;0,02;0,05;MCO;in_sample_3_1x;2,1859492977572392;0,20237675054555407;-16,378269332098217;23,0
