;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;cenario;return_ann;sharpe_ratio;max_drawdown;trades
0;42;2;100;2;3;3;6;0,02;0,05;GE;in_sample_1_1x;5,419682619893207;0,32695398313108265;-28,778505612242967;62,0
1;42;3;100;2;3;3;6;0,02;0,05;GE;in_sample_1_1x;10,811066453742747;0,666891196996886;-24,788547572769147;46,0
2;42;4;100;2;3;3;6;0,02;0,05;GE;in_sample_1_1x;9,986364707775742;0,6882919968963326;-19,234799157728276;38,0
3;42;5;100;2;3;3;6;0,02;0,05;GE;in_sample_1_1x;2,4846674506462163;0,2086979428839154;-17,861989767862152;30,0
4;42;7;100;2;3;3;6;0,02;0,05;GE;in_sample_1_1x;-0,249510094189076;-0,028474503601833318;-17,21984140143623;19,0
5;42;9;100;2;3;3;6;0,02;0,05;GE;in_sample_1_1x;-0,3887136157389559;-0,050225705784968266;-13,963260075426131;14,0
6;42;10;100;2;3;3;6;0,02;0,05;GE;in_sample_1_1x;0,3187173225215112;0,04334392872792606;-13,963260075426131;13,0
7;42;15;100;2;3;3;6;0,02;0,05;GE;in_sample_1_1x;3,0017716527835026;0,46750821919986374;-6,709336537690613;9,0
8;42;20;100;2;3;3;6;0,02;0,05;GE;in_sample_1_1x;1,7961553197853197;0,33491347315126513;-6,709281382733567;5,0
9;42;2;100;2;3;3;6;0,02;0,05;GE;in_sample_2_1x;31,526360929146403;1,2368852583345755;-14,567130570267818;62,0
10;42;3;100;2;3;3;6;0,02;0,05;GE;in_sample_2_1x;17,420705016353665;0,8886498519748038;-11,447178794210256;45,0
11;42;4;100;2;3;3;6;0,02;0,05;GE;in_sample_2_1x;12,945949765469056;0,8318074632227781;-11,447190396669138;36,0
12;42;5;100;2;3;3;6;0,02;0,05;GE;in_sample_2_1x;11,282504228777102;0,8070068846078743;-13,810034367181402;28,0
13;42;7;100;2;3;3;6;0,02;0,05;GE;in_sample_2_1x;3,7500166465424867;0,3299850128763452;-16,8078252465962;22,0
14;42;9;100;2;3;3;6;0,02;0,05;GE;in_sample_2_1x;1,4956636574363191;0,17374908025549712;-13,810057014297394;15,0
15;42;10;100;2;3;3;6;0,02;0,05;GE;in_sample_2_1x;1,3450152107955526;0,1615277287354802;-13,810057014297394;13,0
16;42;15;100;2;3;3;6;0,02;0,05;GE;in_sample_2_1x;1,957665997535507;0,5021922513145317;-6,6300731157397985;4,0
17;42;20;100;2;3;3;6;0,02;0,05;GE;in_sample_2_1x;-0,16083066980412397;-0,4178672788288706;-0,926946504430548;1,0
18;42;2;100;2;3;3;6;0,02;0,05;GE;in_sample_3_1x;7,811617941361471;0,404045910400553;-22,367297154654963;35,0
19;42;3;100;2;3;3;6;0,02;0,05;GE;in_sample_3_1x;5,71954611061003;0,3460734456404544;-17,052831337033513;25,0
20;42;4;100;2;3;3;6;0,02;0,05;GE;in_sample_3_1x;3,5450079765066533;0,21645833478419738;-18,486465765559203;23,0
21;42;5;100;2;3;3;6;0,02;0,05;GE;in_sample_3_1x;7,186185987541727;0,4613322056438452;-15,99788643637875;20,0
22;42;7;100;2;3;3;6;0,02;0,05;GE;in_sample_3_1x;-2,233069755558381;-0,21449970886077352;-16,77314508764699;13,0
23;42;9;100;2;3;3;6;0,02;0,05;GE;in_sample_3_1x;1,0262248091074344;0,12671770486185885;-11,915461013902917;7,0
24;42;10;100;2;3;3;6;0,02;0,05;GE;in_sample_3_1x;2,087678797826098;0,3163048530857319;-7,649905513382316;4,0
25;42;15;100;2;3;3;6;0,02;0,05;GE;in_sample_3_1x;3,8773207188930847;0,972011052608827;-1,4396395407975215;2,0
26;42;20;100;2;3;3;6;0,02;0,05;GE;in_sample_3_1x;-0,45667134821388844;-0,11684132435173773;-6,94643558201019;1,0
