;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;cenario;return_ann;sharpe_ratio;max_drawdown;trades
0;42;2;100;2;3;3;6;0,02;0,05;K;in_sample_1_1x;2,1252837118327372;0,1400546927224609;-34,80709818674163;50,0
1;42;3;100;2;3;3;6;0,02;0,05;K;in_sample_1_1x;6,1676967246548475;0,4222777885864299;-26,976737952749964;44,0
2;42;4;100;2;3;3;6;0,02;0,05;K;in_sample_1_1x;1,0742118668031653;0,08107477815052984;-27,480045438433798;32,0
3;42;5;100;2;3;3;6;0,02;0,05;K;in_sample_1_1x;-1,2914723353622204;-0,12738902082397377;-28,133326980308738;25,0
4;42;7;100;2;3;3;6;0,02;0,05;K;in_sample_1_1x;-4,119640436998706;-0,45802736790601134;-32,53691709211536;17,0
5;42;9;100;2;3;3;6;0,02;0,05;K;in_sample_1_1x;-1,981478284020044;-0,22747466714441708;-27,33536930685907;16,0
6;42;10;100;2;3;3;6;0,02;0,05;K;in_sample_1_1x;-2,1346122021042357;-0,270038040189697;-24,469289407736163;13,0
7;42;15;100;2;3;3;6;0,02;0,05;K;in_sample_1_1x;0,28984384353449855;0,061119383836654786;-12,114089953074124;5,0
8;42;20;100;2;3;3;6;0,02;0,05;K;in_sample_1_1x;1,9875722733287304;0,31618060177517354;-11,017109185084994;5,0
9;42;2;100;2;3;3;6;0,02;0,05;K;in_sample_2_1x;6,880613656502788;0,5788751437752407;-19,25875211710657;47,0
10;42;3;100;2;3;3;6;0,02;0,05;K;in_sample_2_1x;6,806863786259343;0,6198019588712341;-19,250005605709998;41,0
11;42;4;100;2;3;3;6;0,02;0,05;K;in_sample_2_1x;6,8110584596990265;0,684895194418616;-12,975156806223398;37,0
12;42;5;100;2;3;3;6;0,02;0,05;K;in_sample_2_1x;6,080168677403663;0,6362566977965401;-9,702567825643493;32,0
13;42;7;100;2;3;3;6;0,02;0,05;K;in_sample_2_1x;1,6496237252909607;0,19162703115985738;-12,389088774724478;24,0
14;42;9;100;2;3;3;6;0,02;0,05;K;in_sample_2_1x;3,7405496938313743;0,47111170642915773;-10,367465757175099;13,0
15;42;10;100;2;3;3;6;0,02;0,05;K;in_sample_2_1x;0,9190941302768874;0,16824172942997434;-7,554540676139765;8,0
16;42;15;100;2;3;3;6;0,02;0,05;K;in_sample_2_1x;0,4535099274925791;0,23894719585619242;-4,043642605440945;2,0
17;42;20;100;2;3;3;6;0,02;0,05;K;in_sample_2_1x;0,4535099274925791;0,23894719585619242;-4,043642605440945;2,0
18;42;2;100;2;3;3;6;0,02;0,05;K;in_sample_3_1x;6,9141896636858435;0,5270786872381897;-13,952691982491928;28,0
19;42;3;100;2;3;3;6;0,02;0,05;K;in_sample_3_1x;5,423928723408755;0,3713046612357193;-14,641681782562099;27,0
20;42;4;100;2;3;3;6;0,02;0,05;K;in_sample_3_1x;0,8190709641441085;0,06497704575070633;-18,32797392341269;20,0
21;42;5;100;2;3;3;6;0,02;0,05;K;in_sample_3_1x;1,846233887159765;0,1490234675897551;-18,32797171759517;19,0
22;42;7;100;2;3;3;6;0,02;0,05;K;in_sample_3_1x;5,504572512671335;0,43250115611731926;-13,535169972638139;15,0
23;42;9;100;2;3;3;6;0,02;0,05;K;in_sample_3_1x;1,25561356309698;0,1897596081153532;-9,219027753145092;8,0
24;42;10;100;2;3;3;6;0,02;0,05;K;in_sample_3_1x;0,4310043562390842;0,07031565958308017;-8,704943950336308;6,0
25;42;15;100;2;3;3;6;0,02;0,05;K;in_sample_3_1x;-2,7142352728633745;-0,634349907187057;-11,914409577523877;3,0
26;42;20;100;2;3;3;6;0,02;0,05;K;in_sample_3_1x;0,0;;-0,0;0,0
