;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;return_ann;sharpe_ratio;max_drawdown;trades;Pontos_return_ann;Pontos_sharpe_ratio;Pontos_max_drawdown;Pontos_trades;Pontos_ponderados
0;56;3;50;2;3;3;6;0,02;0,05;BSX;16,498072008124197;0,7807228699414589;-20,911700805486067;56,333333333333336;7,419086918568844;5,442862263068821;3,212003683377109;9,859154929577468;6,602020556399822
1;56;3;50;2;3;4;6;0,02;0,05;BSX;13,095077922973141;0,6164517019158838;-25,051657697876976;50,0;3,842335025738137;0,9132324821901934;0,0;7,183098591549297;2,9337955190205847
2;56;3;100;2;3;3;6;0,02;0,05;BSX;16,89875657165274;0,9096141274783562;-14,674399159852781;44,333333333333336;7,8402305453774535;8,996922818254816;8,051241477599172;4,788732394366199;7,764930163515338
3;56;3;100;2;3;4;6;0,02;0,05;BSX;18,953604908799708;0,9459916391594811;-12,162641057528207;40,333333333333336;10,0;10,0;10,0;3,098591549295776;9,014084507042254
4;56;4;50;2;3;3;6;0,02;0,05;BSX;11,724752760107641;0,6871672851584649;-21,75420778253577;40,0;2,4020406856863654;2,863151117808147;2,5583409559877643;2,95774647887324;2,6355016753623417
5;56;4;50;2;3;4;6;0,02;0,05;BSX;9,43940267416312;0,5833324904603333;-22,500216923825366;36,666666666666664;0,0;0,0;1,9795464970263001;1,5492957746478864;0,5041203245248838
6;56;4;100;2;3;3;6;0,02;0,05;BSX;15,265484275242658;0,8356049322231391;-16,038374479336365;39,333333333333336;6,1235629193056305;6,956185792298437;6,992995253280017;2,6760563380281703;5,993158847688849
7;56;4;100;2;3;4;6;0,02;0,05;BSX;11,280774106733046;0,6140472870426167;-16,096284715669384;35,333333333333336;1,9353923609762973;0,8469329035943758;6,948065342838493;0,9859154929577476;2,204860532273412
8;63;3;50;2;3;3;6;0,02;0,05;BSX;18,693106901567912;0,8872905828001395;-17,967482158469235;56,666666666666664;9,726200893351365;8,381371142299834;5,496288613074556;10,0;8,77680479681833
9;63;3;50;2;3;4;6;0,02;0,05;BSX;16,616236516997088;0,8821199826925485;-22,470429676190463;47,666666666666664;7,5432849395471155;8,238796492628433;2,002657063538919;6,197183098591548;6,758183995146955
10;63;3;100;2;3;3;6;0,02;0,05;BSX;12,813573912284758;0,6736560923063565;-22,94320803089664;48,666666666666664;3,546457343357618;2,490592121280061;1,635849906795748;6,619718309859154;3,410874927041125
11;63;3;100;2;3;4;6;0,02;0,05;BSX;12,905768085108432;0,7603971466198245;-19,68464938600762;42,0;3,643358975832951;4,8823987150088195;4,164016900302587;3,802816901408451;4,094529737032504
12;63;4;50;2;3;3;6;0,02;0,05;BSX;17,05672863649627;0,8673967462369735;-15,794084302331934;43,666666666666664;8,006268707009578;7,8328164833445895;7,182528856828707;4,507042253521126;7,339144314009678
13;63;4;50;2;3;4;6;0,02;0,05;BSX;13,091972428491694;0,7860904682005639;-18,588789821344605;38,666666666666664;3,8390709638600518;5,590868959669708;5,014244342194821;2,3943661971830976;4,301080192899641
14;63;4;100;2;3;3;6;0,02;0,05;BSX;10,465507839841607;0,5983865833788307;-20,499276622075097;37,333333333333336;1,0784983757681088;0,415103078813705;3,5319847920366207;1,8309859154929589;1,346953141780188
15;63;4;100;2;3;4;6;0,02;0,05;BSX;10,254212086635661;0,6819409271470454;-17,28704424544702;33,0;0,8564138036778497;2,7190389940642286;6,024209347455579;0,0;2,004504106659655
