;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;cenario;return_ann;sharpe_ratio;max_drawdown;trades
0;56;3;50;2;3;3;6;0,02;0,05;CI;in_sample_1_1x;7,2434332653732;0,4096844660327264;-19,22365428120233;53,0
1;56;3;100;2;3;3;6;0,02;0,05;CI;in_sample_1_1x;-0,6234893441603884;-0,03027191178455473;-49,24368507576917;45,0
2;56;4;50;2;3;3;6;0,02;0,05;CI;in_sample_1_1x;14,54617450913107;0,8813976653375601;-14,366184465278742;43,0
3;56;4;100;2;3;3;6;0,02;0,05;CI;in_sample_1_1x;-5,066561549001214;-0,26858001445714347;-49,691545635598345;38,0
4;63;3;50;2;3;3;6;0,02;0,05;CI;in_sample_1_1x;13,07893353533447;0,6685292651223954;-20,817844959512367;53,0
5;63;3;100;2;3;3;6;0,02;0,05;CI;in_sample_1_1x;8,681895080437352;0,4753591505884431;-28,786973013304006;46,0
6;63;4;50;2;3;3;6;0,02;0,05;CI;in_sample_1_1x;15,79017942911034;0,8893393325465554;-17,681221529990598;40,0
7;63;4;100;2;3;3;6;0,02;0,05;CI;in_sample_1_1x;9,728243572454076;0,5473313376216213;-26,453924428545715;37,0
8;56;3;50;2;3;4;6;0,02;0,05;CI;in_sample_1_1x;19,63840327758184;0,9753811145253226;-21,52958938372761;52,0
9;56;3;100;2;3;4;6;0,02;0,05;CI;in_sample_1_1x;14,345180231505395;0,7611362609461326;-19,70063220538347;42,0
10;56;4;50;2;3;4;6;0,02;0,05;CI;in_sample_1_1x;11,51913094837347;0,779944906374991;-28,909444270112694;40,0
11;56;4;100;2;3;4;6;0,02;0,05;CI;in_sample_1_1x;10,387421724368973;0,6110526993608013;-23,795855028234627;35,0
12;63;3;50;2;3;4;6;0,02;0,05;CI;in_sample_1_1x;6,69844811517426;0,36144585267981544;-19,875055346309278;49,0
13;63;3;100;2;3;4;6;0,02;0,05;CI;in_sample_1_1x;11,72168592650291;0,5715526532018649;-23,47877273550355;40,0
14;63;4;50;2;3;4;6;0,02;0,05;CI;in_sample_1_1x;10,737185579299947;0,6367254394299271;-14,3661768469605;37,0
15;63;4;100;2;3;4;6;0,02;0,05;CI;in_sample_1_1x;9,536556948379982;0,522947345841217;-23,478755626763782;30,0
16;56;3;50;2;3;3;6;0,02;0,05;CI;in_sample_2_1x;11,133612215164268;0,6181889650357343;-27,892553601127577;58,0
17;56;3;100;2;3;3;6;0,02;0,05;CI;in_sample_2_1x;6,58903818623835;0,3781013414286386;-23,170158165609877;55,0
18;56;4;50;2;3;3;6;0,02;0,05;CI;in_sample_2_1x;17,846825214569616;0,9710916778153403;-17,57355639918654;52,0
19;56;4;100;2;3;3;6;0,02;0,05;CI;in_sample_2_1x;9,537872817933458;0,5670034233196446;-23,170183659613986;51,0
20;63;3;50;2;3;3;6;0,02;0,05;CI;in_sample_2_1x;15,860320427281449;0,6848145187931437;-30,08902162045477;64,0
